tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,                      Bacteroides_fragilis,Bacteroides fragilis,species,22.496139220537685,fraction_reads,22.5,67737,67674
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,674529,674529,                      Bacteroides_faecis,Bacteroides faecis,species,0.17701466265920526,fraction_reads,0.18,533,533
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,                      Bacteroides_stercoris,Bacteroides stercoris,species,0.05679082047790638,fraction_reads,0.06,171,153
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,                      Bacteroides_ovatus,Bacteroides ovatus,species,0.03786054698527092,fraction_reads,0.04,114,114
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,                      Bacteroides_uniformis,Bacteroides uniformis,species,0.03487155643380216,fraction_reads,0.03,105,98
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,371601,371601,                      Bacteroides_xylanisolvens,Bacteroides xylanisolvens,species,0.02524036465684728,fraction_reads,0.03,76,76
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,818,818,                      Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.022915594227927136,fraction_reads,0.02,69,69
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47678,47678,                      Bacteroides_caccae,Bacteroides caccae,species,0.00631009116421182,fraction_reads,0.01,19,18
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,291644,291644,                      Bacteroides_salyersiae,Bacteroides salyersiae,species,0.005645871041663207,fraction_reads,0.01,17,17
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2763022,2763022,                        Bacteroides_sp._M10,Bacteroides_sp._M10,species,0.001992660367645838,fraction_reads,0.0,6,6
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2847299,2847299,                        Bacteroides_sp._DH3716P,Bacteroides_sp._DH3716P,species,0.0013284402450972252,fraction_reads,0.0,4,4
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2972761,2972761,                        Bacteroides_sp._BFG-257,Bacteroides_sp._BFG-257,species,0.0006642201225486126,fraction_reads,0.0,2,2
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2025659,2025659,                        Bacteroides_sp._KFT8,Bacteroides_sp._KFT8,species,0.0003321100612743063,fraction_reads,0.0,1,1
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2755405,2755405,                        Bacteroides_sp._CACC_737,Bacteroides_sp._CACC_737,species,0.0003321100612743063,fraction_reads,0.0,1,1
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,338188,338188,                      Bacteroides_finegoldii,Bacteroides finegoldii,species,0.001992660367645838,fraction_reads,0.0,6,6
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1796613,1796613,                      Bacteroides_caecimuris,Bacteroides caecimuris,species,0.000996330183822919,fraction_reads,0.0,3,3
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,246787,246787,                      Bacteroides_cellulosilyticus,Bacteroides cellulosilyticus,species,0.0006642201225486126,fraction_reads,0.0,2,2
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2650158,2650158,                      Bacteroides_luhongzhouii,Bacteroides luhongzhouii,species,0.0006642201225486126,fraction_reads,0.0,2,2
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2792859,2792859,                      Bacteroides_humanifaecis,Bacteroides humanifaecis,species,0.0006642201225486126,fraction_reads,0.0,2,2
