tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,                  Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,14.340106762318399,fraction_reads,14.34,427212,427102
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3030638,3030638,                  Faecalibacterium_taiwanense,Faecalibacterium taiwanense,species,0.02621561047295177,fraction_reads,0.03,781,781
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929489,2929489,                    Faecalibacterium_sp._IP-3-29,Faecalibacterium_sp._IP-3-29,species,0.007149711947168663,fraction_reads,0.01,213,213
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929493,2929493,                    Faecalibacterium_sp._I3-3-89,Faecalibacterium_sp._I3-3-89,species,0.004397240681122511,fraction_reads,0.0,131,131
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929492,2929492,                    Faecalibacterium_sp._I3-3-33,Faecalibacterium_sp._I3-3-33,species,0.0036587727804759827,fraction_reads,0.0,109,109
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929494,2929494,                    Faecalibacterium_sp._I4-1-79,Faecalibacterium_sp._I4-1-79,species,0.0031888386618827377,fraction_reads,0.0,95,95
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929495,2929495,                    Faecalibacterium_sp._I4-3-84,Faecalibacterium_sp._I4-3-84,species,0.0013091021875097555,fraction_reads,0.0,39,39
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3141184,3141184,                    Faecalibacterium_sp._i21-0019-B1,Faecalibacterium_sp._i21-0019-B1,species,0.0010741351282131325,fraction_reads,0.0,32,32
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3141185,3141185,                    Faecalibacterium_sp._i25-0019-C1,Faecalibacterium_sp._i25-0019-C1,species,0.000939868237186491,fraction_reads,0.0,28,28
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929488,2929488,                    Faecalibacterium_sp._IP-1-18,Faecalibacterium_sp._IP-1-18,species,0.00043636739583658514,fraction_reads,0.0,13,13
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929490,2929490,                    Faecalibacterium_sp._I2-3-92,Faecalibacterium_sp._I2-3-92,species,0.00043636739583658514,fraction_reads,0.0,13,13
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,411483,411483,                  Faecalibacterium_duncaniae,Faecalibacterium duncaniae,species,0.006411244046522136,fraction_reads,0.01,191,191
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929491,2929491,                  Faecalibacterium_wellingii,Faecalibacterium wellingii,species,0.0006377677323765474,fraction_reads,0.0,19,19
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2714358,2714358,                  Pusillibacter_faecalis,Pusillibacter faecalis,species,0.001812603028859661,fraction_reads,0.0,54,54
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2714353,2714353,                  Vescimonas_fastidiosa,Vescimonas fastidiosa,species,0.0004699341185932455,fraction_reads,0.0,14,14
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2714355,2714355,                  Vescimonas_coprocola,Vescimonas coprocola,species,0.0003356672275666039,fraction_reads,0.0,10,10
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,292800,292800,                  Flavonifractor_plautii,Flavonifractor plautii,species,0.00026853378205328313,fraction_reads,0.0,8,8
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2093857,2093857,                  Dysosmobacter_welbionis,Dysosmobacter welbionis,species,0.00026853378205328313,fraction_reads,0.0,8,8
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,438033,438033,                  Ruminococcus_gauvreauii,Ruminococcus gauvreauii,species,6.713344551332078e-05,fraction_reads,0.0,2,2
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,657323,657323,                    Ruminococcus_sp._SR1/5,Ruminococcus_sp._SR1/5,species,3.356672275666039e-05,fraction_reads,0.0,1,1
