tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,418240,418240,                  Blautia_wexlerae,Blautia wexlerae,species,1.1364149616409542,fraction_reads,1.14,14090,112
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,89014,89014,                  Blautia_luti,Blautia luti,species,0.905502538988147,fraction_reads,0.91,11227,11227
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,40520,40520,                  Blautia_obeum,Blautia obeum,species,0.8993728344399062,fraction_reads,0.9,11151,236
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1737424,1737424,                  Blautia_massiliensis_(ex_Durand_et_al._2017),Blautia massiliensis_(ex_Durand et_al._2017),species,0.07250795248511127,fraction_reads,0.07,899,899
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1322,1322,                  Blautia_hansenii,Blautia hansenii,species,0.00604905054102708,fraction_reads,0.01,75,26
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1796616,1796616,                  Blautia_pseudococcoides,Blautia pseudococcoides,species,0.00403270036068472,fraction_reads,0.0,50,50
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,2479767,2479767,                    Blautia_sp._SC05B48,Blautia_sp._SC05B48,species,0.002177658194769749,fraction_reads,0.0,27,27
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,2860051,2860051,                    Blautia_sp._KLE_1732_HM_1032,Blautia_sp._KLE_1732_HM_1032,species,0.001613080144273888,fraction_reads,0.0,20,20
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,2877527,2877527,                  Blautia_parvula,Blautia parvula,species,0.003790738339043637,fraction_reads,0.0,47,47
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1912897,1912897,                  Blautia_argi,Blautia argi,species,0.0030648522741203877,fraction_reads,0.0,38,38
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,2779518,2779518,                  Blautia_liquoris,Blautia liquoris,species,0.0024196202164108323,fraction_reads,0.0,30,30
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,33035,33035,                  Blautia_producta,Blautia producta,species,0.002258312201983443,fraction_reads,0.0,28,28
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,53443,53443,                  Blautia_hydrogenotrophica,Blautia hydrogenotrophica,species,0.0015324261370601939,fraction_reads,0.0,19,0
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1532,1532,                  Blautia_coccoides,Blautia coccoides,species,0.0012098101082054162,fraction_reads,0.0,15,15
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,166486,166486,                  Roseburia_intestinalis,Roseburia intestinalis,species,1.0949588019331153,fraction_reads,1.09,13576,11942
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,301301,301301,                  Roseburia_hominis,Roseburia hominis,species,0.8684016956698477,fraction_reads,0.87,10767,10757
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,301302,301302,                  Roseburia_faecis,Roseburia faecis,species,0.8195253672983488,fraction_reads,0.82,10161,10161
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,2763062,2763062,                  Roseburia_rectibacter,Roseburia rectibacter,species,0.00879128678629269,fraction_reads,0.01,109,109
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1261635,1261635,                    Roseburia_sp._831b,Roseburia_sp._831b,species,0.005000548447249053,fraction_reads,0.01,62,62
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1261634,1261634,                    Roseburia_sp._499,Roseburia_sp._499,species,0.0016937341514875824,fraction_reads,0.0,21,21
