tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,200,200,Campylobacter curvus,Campylobacter curvus,species,0.00033,fraction_reads,0.00033,200,1||29547|3031852|213849|72294|194|200,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.00199,fraction_reads,0.00199,287,1||1224|1236|72274|135621|286|287,6,0,0,6
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,562,562,Escherichia coli,Escherichia coli,species,17.30127,fraction_reads,17.30127,562,1||1224|1236|91347|543|561|562,52095,0,0,52095
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,571,571,Klebsiella oxytoca,Klebsiella oxytoca,species,0.00033,fraction_reads,0.00033,571,1||1224|1236|91347|543|570|571,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.05845,fraction_reads,0.05845,573,1||1224|1236|91347|543|570|573,176,0,0,176
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,582,582,Morganella morganii,Morganella morganii,species,0.00066,fraction_reads,0.00066,582,1||1224|1236|91347|1903414|581|582,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,621,621,Shigella boydii,Shigella boydii,species,0.00033,fraction_reads,0.00033,621,1||1224|1236|91347|543|620|621,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,622,622,Shigella dysenteriae,Shigella dysenteriae,species,0.00066,fraction_reads,0.00066,622,1||1224|1236|91347|543|620|622,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,623,623,Shigella flexneri,Shigella flexneri,species,0.00664,fraction_reads,0.00664,623,1||1224|1236|91347|543|620|623,20,0,0,20
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,Bacteroides fragilis,Bacteroides fragilis,species,19.34408,fraction_reads,19.34408,817,1||976|200643|171549|815|816|817,58246,0,0,58246
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00498,fraction_reads,0.00498,818,1||976|200643|171549|815|816|818,15,0,0,15
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.0176,fraction_reads,0.0176,820,1||976|200643|171549|815|816|820,53,0,0,53
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.02126,fraction_reads,0.02126,821,1||976|200643|171549|815|909656|821,64,0,0,64
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.03089,fraction_reads,0.03089,823,1||976|200643|171549|2005525|375288|823,93,0,0,93
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,4.3885,fraction_reads,4.3885,851,1||32066|203490|203491|203492|848|851,13214,0,0,13214
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,9.51628,fraction_reads,9.51628,853,1||1239|186801|186802|216572|216851|853,28654,0,0,28654
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00266,fraction_reads,0.00266,1351,1||1239|91061|186826|81852|1350|1351,8,0,0,8
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1352,1352,Enterococcus faecium,Enterococcus faecium,species,0.00066,fraction_reads,0.00066,1352,1||1239|91061|186826|81852|1350|1352,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1496,1496,Clostridioides difficile,Clostridioides difficile,species,1.67815,fraction_reads,1.67815,1496,1||1239|186801|3082720|186804|1870884|1496,5053,0,0,5053
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1502,1502,Clostridium perfringens,Clostridium perfringens,species,0.00066,fraction_reads,0.00066,1502,1||1239|186801|186802|31979|1485|1502,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1509,1509,Clostridium sporogenes,Clostridium sporogenes,species,0.00033,fraction_reads,0.00033,1509,1||1239|186801|186802|31979|1485|1509,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1512,1512,[Clostridium] symbiosum,[Clostridium] symbiosum,species,0.00033,fraction_reads,0.00033,1512,1||1239|186801|3085636|186803|2941495|1512,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,0.00365,fraction_reads,0.00365,1522,1||1239|186801|186802|31979|1485|1522,11,0,0,11
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1547,1547,Thomasclavelia ramosa,Thomasclavelia ramosa,species,0.00033,fraction_reads,0.00033,1547,1||1239|526524|526525|2810280|3025755|1547,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,4.23175,fraction_reads,4.23175,1613,1||1239|91061|186826|33958|2742598|1613,12742,0,0,12742
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1639,1639,Listeria monocytogenes,Listeria monocytogenes,species,0.00033,fraction_reads,0.00033,1639,1||1239|91061|1385|186820|1637|1639,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.15543,fraction_reads,0.15543,1680,1||201174|1760|85004|31953|1678|1680,468,0,0,468
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.03985,fraction_reads,0.03985,2173,1||28890|183925|2158|2159|2172|2173,120,0,0,120
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.25274,fraction_reads,0.25274,4932,1||4890|4891|4892|4893|4930|4932,761,0,0,761
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,5059,5059,Aspergillus flavus,Aspergillus flavus,species,0.00033,fraction_reads,0.00033,5059,1||4890|147545|5042|1131492|5052|5059,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.01561,fraction_reads,0.01561,28116,1||976|200643|171549|815|816|28116,47,0,0,47
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.00133,fraction_reads,0.00133,28117,1||976|200643|171549|171550|239759|28117,4,0,0,4
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.001,fraction_reads,0.001,28118,1||976|200643|171549|1853231|283168|28118,3,0,0,3
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28128,28128,Prevotella corporis,Prevotella corporis,species,7.94706,fraction_reads,7.94706,28128,1||976|200643|171549|171552|838|28128,23929,0,0,23929
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01959,fraction_reads,0.01959,28901,1||1224|1236|91347|543|590|28901,59,0,0,59
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29360,29360,Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,species,0.00066,fraction_reads,0.00066,29360,1||1239|186801|3085636|3018741|698776|29360,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29466,29466,Veillonella parvula,Veillonella parvula,species,0.00066,fraction_reads,0.00066,29466,1||1239|909932|1843489|31977|29465|29466,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33035,33035,Blautia producta,Blautia producta,species,0.00033,fraction_reads,0.00033,33035,1||1239|186801|3085636|186803|572511|33035,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.00797,fraction_reads,0.00797,33038,1||1239|186801|3085636|186803|2316020|33038,24,0,0,24
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35703,35703,Citrobacter amalonaticus,Citrobacter amalonaticus,species,0.00266,fraction_reads,0.00266,35703,1||1224|1236|91347|543|544|35703,8,0,0,8
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35833,35833,Bilophila wadsworthia,Bilophila wadsworthia,species,0.00033,fraction_reads,0.00033,35833,1||200940|3031449|213115|194924|35832|35833,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.00133,fraction_reads,0.00133,39491,1||1239|186801|3085636|186803|1766253|39491,4,0,0,4
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,40520,40520,Blautia obeum,Blautia obeum,species,0.00033,fraction_reads,0.00033,40520,1||1239|186801|3085636|186803|572511|40520,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,40545,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.00166,fraction_reads,0.00166,40545,1||1224|28216|80840|995019|40544|40545,5,0,0,5
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,42374,42374,Candida dubliniensis,Candida dubliniensis,species,0.001,fraction_reads,0.001,42374,1||4890|3239874|2916678|766764|5475|42374,3,0,0,3
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.01461,fraction_reads,0.01461,46503,1||976|200643|171549|2005525|375288|46503,44,0,0,44
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.03421,fraction_reads,0.03421,46506,1||976|200643|171549|815|816|46506,103,0,0,103
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47678,47678,Bacteroides caccae,Bacteroides caccae,species,0.00266,fraction_reads,0.00266,47678,1||976|200643|171549|815|816|47678,8,0,0,8
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,47715,47715,Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus,species,0.001,fraction_reads,0.001,47715,1||1239|91061|186826|33958|2759736|47715,3,0,0,3
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,53443,53443,Blautia hydrogenotrophica,Blautia hydrogenotrophica,species,0.00033,fraction_reads,0.00033,53443,1||1239|186801|3085636|186803|572511|53443,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,71452,71452,Enterococcus raffinosus,Enterococcus raffinosus,species,0.00033,fraction_reads,0.00033,71452,1||1239|91061|186826|81852|1350|71452,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76517,76517,Campylobacter hominis,Campylobacter hominis,species,0.001,fraction_reads,0.001,76517,1||29547|3031852|213849|72294|194|76517,3,0,0,3
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76857,76857,Fusobacterium polymorphum,Fusobacterium polymorphum,species,0.00033,fraction_reads,0.00033,76857,1||32066|203490|203491|203492|848|76857,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.12255,fraction_reads,0.12255,76859,1||32066|203490|203491|203492|848|76859,369,0,0,369
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,84112,84112,Eggerthella lenta,Eggerthella lenta,species,0.00066,fraction_reads,0.00066,84112,1||201174|84998|1643822|1643826|84111|84112,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,88431,88431,Dorea longicatena,Dorea longicatena,species,0.00066,fraction_reads,0.00066,88431,1||1239|186801|3085636|186803|189330|88431,2,0,0,2
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,96241,96241,Bacillus spizizenii,Bacillus spizizenii,species,0.00033,fraction_reads,0.00033,96241,1||1239|91061|1385|186817|1386|96241,1,0,0,1
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,133448,133448,Citrobacter youngae,Citrobacter youngae,species,0.00133,fraction_reads,0.00133,133448,1||1224|1236|91347|543|544|133448,4,0,0,4
