tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter concisus,Campylobacter concisus,species,0.44376,fraction_reads,0.44376,199,1||29547|3031852|213849|72294|194|199,5502,0,0,5502
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.46876,fraction_reads,0.46876,726,1||1224|1236|135625|712|724|726,5812,0,0,5812
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.45973,fraction_reads,0.45973,727,1||1224|1236|135625|712|724|727,5700,0,0,5700
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.5207,fraction_reads,0.5207,729,1||1224|1236|135625|712|724|729,6456,0,0,6456
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.56716,fraction_reads,0.56716,732,1||1224|1236|135625|712|416916|732,7032,0,0,7032
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.50764,fraction_reads,0.50764,735,1||1224|1236|135625|712|724|735,6294,0,0,6294
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,817,817,Bacteroides fragilis,Bacteroides fragilis,species,0.00097,fraction_reads,0.00097,817,1||976|200643|171549|815|816|817,12,0,0,12
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.60969,fraction_reads,1.60969,818,1||976|200643|171549|815|816|818,19958,0,0,19958
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides uniformis,Bacteroides uniformis,species,1.09996,fraction_reads,1.09996,820,1||976|200643|171549|815|816|820,13638,0,0,13638
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,1.27998,fraction_reads,1.27998,821,1||976|200643|171549|815|909656|821,15870,0,0,15870
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,2.41583,fraction_reads,2.41583,823,1||976|200643|171549|2005525|375288|823,29953,0,0,29953
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.52756,fraction_reads,0.52756,851,1||32066|203490|203491|203492|848|851,6541,0,0,6541
Ganon2,unified,Ganon2_unified,simulated,simulated,pacbio,sim_pacbio,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.8688,fraction_reads,0.8688,853,1||1239|186801|186802|216572|216851|853,10772,0,0,10772
