tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,418240,418240,                  Blautia wexlerae,Blautia wexlerae,species,1.1631114380286869,abund,1.16,14421,323
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,40520,40520,                  Blautia obeum,Blautia obeum,species,0.9298600491666827,abund,0.93,11529,337
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,89014,89014,                  Blautia luti,Blautia luti,species,0.9180039101062697,abund,0.92,11382,11382
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2479767,2479767,                    Blautia sp. SC05B48,Blautia sp. SC05B48,species,0.29737132459689125,abund,0.3,3687,3687
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2860051,2860051,                    Blautia sp. KLE_1732_HM_1032,Blautia sp. KLE_1732_HM_1032,species,0.007339514656446191,abund,0.01,91,91
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1737424,1737424,                  Blautia massiliensis (ex Durand et al. 2017),Blautia massiliensis (ex Durand et al. 2017),species,0.030083944690708013,abund,0.03,373,373
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1322,1322,                  Blautia hansenii,Blautia hansenii,species,0.008871940793506386,abund,0.01,110,89
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1912897,1912897,                  Blautia argi,Blautia argi,species,0.006452320577095552,abund,0.01,80,80
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,33035,33035,                  Blautia producta,Blautia producta,species,0.005081202454462748,abund,0.01,63,63
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2779518,2779518,                  Blautia liquoris,Blautia liquoris,species,0.004919894440035359,abund,0.0,61,61
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2877527,2877527,                  Blautia parvula,Blautia parvula,species,0.0045972784111805816,abund,0.0,57,57
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1796616,1796616,                  Blautia pseudococcoides,Blautia pseudococcoides,species,0.0034681223101888595,abund,0.0,43,43
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,53443,53443,                  Blautia hydrogenotrophica,Blautia hydrogenotrophica,species,0.001855042165914971,abund,0.0,23,0
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1532,1532,                  Blautia coccoides,Blautia coccoides,species,0.001371118122632805,abund,0.0,17,17
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,166486,166486,                  Roseburia intestinalis,Roseburia intestinalis,species,1.0899582534858663,abund,1.09,13514,8620
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,301301,301301,                  Roseburia hominis,Roseburia hominis,species,0.8690469277275572,abund,0.87,10775,10775
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,301302,301302,                  Roseburia faecis,Roseburia faecis,species,0.8170250930747244,abund,0.82,10130,10130
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1261634,1261634,                    Roseburia sp. 499,Roseburia sp. 499,species,0.004677932418394275,abund,0.0,58,58
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1261635,1261635,                    Roseburia sp. 831b,Roseburia sp. 831b,species,0.002822890252479304,abund,0.0,35,35
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2763062,2763062,                  Roseburia rectibacter,Roseburia rectibacter,species,0.005323164476103831,abund,0.01,66,66
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,154046,154046,                  Hungatella hathewayi,Hungatella hathewayi,species,1.6837330545930844,abund,1.68,20876,20610
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,342942,342942,                  Mediterraneibacter glycyrrhizinilyticus,Mediterraneibacter glycyrrhizinilyticus,species,0.8010555996464129,abund,0.8,9932,9932
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,33039,33039,                  [Ruminococcus] torques,[Ruminococcus] torques,species,0.7493563810224346,abund,0.75,9291,8840
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,33038,33038,                  Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.051215294580695944,abund,0.05,635,635
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,46228,46228,                  [Ruminococcus] lactaris,[Ruminococcus] lactaris,species,0.014759683320106078,abund,0.01,183,0
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,39486,39486,                  Dorea formicigenerans,Dorea formicigenerans,species,0.7738751992153978,abund,0.77,9595,9595
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,88431,88431,                  Dorea longicatena,Dorea longicatena,species,0.7662130685300969,abund,0.77,9500,9500
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3081750,3081750,                    Anaerocolumna sp. AGMB13020,Anaerocolumna sp. AGMB13020,species,1.4141873624849177,abund,1.41,17534,17534
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3070997,3070997,                    Anaerocolumna sp. MB42-C2,Anaerocolumna sp. MB42-C2,species,0.00016130801442738882,abund,0.0,2,2
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1727145,1727145,                  Anaerocolumna chitinilytica,Anaerocolumna chitinilytica,species,0.0012098101082054162,abund,0.0,15,15
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2696063,2696063,                  Anaerocolumna sedimenticola,Anaerocolumna sedimenticola,species,8.065400721369441e-05,abund,0.0,1,1
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,410072,410072,                  Coprococcus comes,Coprococcus comes,species,1.007126588077402,abund,1.01,12487,12375
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,33043,33043,                  Coprococcus eutactus,Coprococcus eutactus,species,0.0010485020937780272,abund,0.0,13,12
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,116085,116085,                  Coprococcus catus,Coprococcus catus,species,0.0004839240432821665,abund,0.0,6,6
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2763667,2763667,                  Wansuia hejianensis,Wansuia hejianensis,species,0.9576856816554075,abund,0.96,11874,11874
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,39488,39488,                  Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.8950981720575806,abund,0.9,11098,11098
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2763672,2763672,                  Simiaoa sunii,Simiaoa sunii,species,0.8731602820954556,abund,0.87,10826,10826
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,39491,39491,                  Agathobacter rectalis,Agathobacter rectalis,species,0.8420278353109696,abund,0.84,10440,7706
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,649756,649756,                  Anaerostipes hadrus,Anaerostipes hadrus,species,0.7175787021802391,abund,0.72,8897,7701
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,105841,105841,                  Anaerostipes caccae,Anaerostipes caccae,species,0.0026615822380519154,abund,0.0,33,11
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1229621,1229621,                  Anaerostipes rhamnosivorans,Anaerostipes rhamnosivorans,species,0.000403270036068472,abund,0.0,5,5
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,3036926,3036926,                    Anaerostipes sp. PC18,Anaerostipes sp. PC18,species,0.00024196202164108324,abund,0.0,3,3
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,45851,45851,                  Eshraghiella crossota,Eshraghiella crossota,species,0.6031306659440068,abund,0.6,7478,7478
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,39485,39485,                  Lachnospira eligens,Lachnospira eligens,species,0.5215894646509617,abund,0.52,6467,4274
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,29347,29347,                  [Clostridium] scindens,[Clostridium] scindens,species,0.05903873328042431,abund,0.06,732,732
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,89153,89153,                  [Clostridium] hylemonae,[Clostridium] hylemonae,species,0.021695927940483795,abund,0.02,269,260
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,1512,1512,                  [Clostridium] symbiosum,[Clostridium] symbiosum,species,0.00032261602885477763,abund,0.0,4,4
Kraken2,default,Kraken2_default,simulated,simulated,pacbio,sim_pacbio,2994035,2994035,                  Sellimonas catena,Sellimonas catena,species,0.0172599575437306,abund,0.02,214,214
