tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,199,Campylobacter concisus,Campylobacter concisus,species,0.4100632304006659,abund,0.41,42147000,42147000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.49420271402951155,abund,0.49,50795000,50795000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,727,Haemophilus influenzae,Haemophilus influenzae,species,0.35860465860221946,abund,0.36,36858000,36858000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.5222427223341292,abund,0.52,53677000,53677000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.542061423554291,abund,0.54,55714000,55714000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.4664837745222751,abund,0.47,47946000,47946000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.6466159214053075,abund,1.65,169242000,169242000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,820,Bacteroides uniformis,Bacteroides uniformis,species,1.0812429572896483,abund,1.08,111132000,111132000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.7301396333171511,abund,0.73,75045000,75045000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.5449704917163563,abund,0.54,56012999,56012999
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.5023948330414783,abund,0.5,51637000,51637000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.2527881664714001,abund,0.25,25982000,25982000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.41003404232817675,abund,0.41,42144000,42144000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.49620696167376943,abund,0.5,51001000,51001000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1303,Streptococcus oralis,Streptococcus oralis,species,0.4394556193972827,abund,0.44,45168000,45168000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.6140683983851288,abund,0.61,63115000,63115000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.5858338029305833,abund,0.59,60213000,60213000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.4082341111913431,abund,0.41,41959000,41959000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.3484861268059661,abund,0.35,35818000,35818000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.40515962449312404,abund,0.41,41642999,41642999
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.44690830723952324,abund,0.45,45934000,45934000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.31727434795752285,abund,0.32,32610000,32610000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.1058485023980376,abund,1.11,113661000,113661000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.5565678955814196,abund,0.56,57205000,57205000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.7394700871561964,abund,0.74,76004000,76004000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.6640189197716337,abund,0.66,68249000,68249000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.6293824070844586,abund,0.63,64689000,64689000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.5549722809520105,abund,0.55,57041000,57041000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.13775796306213486,abund,0.14,14158999,14158999
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.5677663860597731,abund,0.57,58356000,58356000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.3822956441059474,abund,0.38,39293000,39293000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,28037,Streptococcus mitis,Streptococcus mitis,species,0.39837827204749243,abund,0.4,40946000,40946000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.9172157192578826,abund,0.92,94273000,94273000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.7020217901525624,abund,0.7,72155000,72155000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,28117,Alistipes putredinis,Alistipes putredinis,species,0.547373652747324,abund,0.55,56260000,56260000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.9893102583061881,abund,0.99,101683000,101683000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,28125,Prevotella bivia,Prevotella bivia,species,0.5208319654971516,abund,0.52,53532000,53532000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,28128,Prevotella corporis,Prevotella corporis,species,0.667083667382999,abund,0.67,68564000,68564000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,29347,[Clostridium] scindens,[Clostridium] scindens,species,0.025617398288014646,abund,0.03,2633000,2633000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,29466,Veillonella parvula,Veillonella parvula,species,0.6213362284349379,abund,0.62,63862000,63862000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,33031,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,species,0.3708636490476803,abund,0.37,38118000,38118000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.6093885774293617,abund,0.61,62634000,62634000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,39485,Lachnospira eligens,Lachnospira eligens,species,0.48506684734039435,abund,0.49,49856000,49856000
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.6155861684252094,abund,0.62,63270999,63270999
Sourmash,unified,Sourmash_unified,simulated,simulated,ont,sim_ont,0,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.864969069502228,abund,0.86,88903000,88903000
