tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,199,Campylobacter concisus,Campylobacter concisus,species,0.4256372659580638,abund,0.43,43892000,43892000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.5141161229015639,abund,0.51,53015999,53015999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,727,Haemophilus influenzae,Haemophilus influenzae,species,0.37439632653123406,abund,0.37,38608000,38608000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.538563219710038,abund,0.54,55537000,55537000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.5624575563390517,abund,0.56,58001000,58001000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.472834399226493,abund,0.47,48759000,48759000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.7165811681756733,abund,1.72,177015000,177015000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,820,Bacteroides uniformis,Bacteroides uniformis,species,1.1342245847842383,abund,1.13,116961999,116961999
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.765336378017459,abund,0.77,78922000,78922000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.5593253036072451,abund,0.56,57678000,57678000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.5199054665954996,abund,0.52,53613000,53613000
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,0,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.26413715142089084,abund,0.26,27238000,27238000
