tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,562,562,Escherichia coli,Escherichia coli,species,17.2649,fraction_reads,11.0387,17.2649
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,817,817,Bacteroides fragilis,Bacteroides fragilis,species,22.0593,fraction_reads,13.4441,22.0593
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,4.523,fraction_reads,5.8177,4.523
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,14.2522,fraction_reads,15.4019,14.2522
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1496,1496,Clostridioides difficile,Clostridioides difficile,species,2.6589,fraction_reads,2.0325,2.6589
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,0.9034,fraction_reads,1.4917,0.9034
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,2.0169,fraction_reads,3.0394,2.0169
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.0654,fraction_reads,0.1111,0.0654
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.2365,fraction_reads,0.0613,0.2365
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5476,5476,Candida albicans,Candida albicans,species,0.2656,fraction_reads,0.0586,0.2656
