tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter concisus,Campylobacter concisus,species,0.4251,fraction_reads,0.7458,0.4251
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.4656,fraction_reads,0.7769,0.4656
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.4368,fraction_reads,0.7458,0.4368
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.4948,fraction_reads,0.7458,0.4948
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.54,fraction_reads,0.7458,0.54
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.4837,fraction_reads,0.7458,0.4837
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.5172,fraction_reads,0.7769,1.5172
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides uniformis,Bacteroides uniformis,species,1.0881,fraction_reads,0.7458,1.0881
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,1.1929,fraction_reads,0.7458,1.1929
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,1.2358,fraction_reads,0.7458,1.2358
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.5037,fraction_reads,0.7458,0.5037
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.6904,fraction_reads,0.7769,0.6904
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.4233,fraction_reads,0.7458,0.4233
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1302,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.5054,fraction_reads,0.7458,0.5054
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1303,1303,Streptococcus oralis,Streptococcus oralis,species,0.4463,fraction_reads,0.7458,0.4463
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1304,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.5107,fraction_reads,0.7458,0.5107
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1305,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.5307,fraction_reads,0.7458,0.5307
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.4139,fraction_reads,0.7458,0.4139
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.4976,fraction_reads,0.7458,0.4976
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.4702,fraction_reads,0.7769,0.4702
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.4466,fraction_reads,0.7458,0.4466
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.5069,fraction_reads,0.839,0.5069
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.0902,fraction_reads,0.7458,1.0902
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1580,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.5763,fraction_reads,0.7458,0.5763
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.7448,fraction_reads,0.7458,0.7448
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.699,fraction_reads,0.7458,0.699
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1655,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.7586,fraction_reads,0.7769,0.7586
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1660,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.5674,fraction_reads,0.7458,0.5674
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.9052,fraction_reads,1.3984,0.9052
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2047,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.579,fraction_reads,0.7458,0.579
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2702,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.3852,fraction_reads,0.7458,0.3852
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28037,28037,Streptococcus mitis,Streptococcus mitis,species,0.4404,fraction_reads,0.7458,0.4404
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28111,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,1.0123,fraction_reads,0.7769,1.0123
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,1.5577,fraction_reads,0.7769,1.5577
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.5952,fraction_reads,0.7458,0.5952
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,1.0147,fraction_reads,0.7458,1.0147
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28125,28125,Prevotella bivia,Prevotella bivia,species,0.5609,fraction_reads,0.7458,0.5609
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28128,28128,Prevotella corporis,Prevotella corporis,species,0.6809,fraction_reads,0.7458,0.6809
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,29466,29466,Veillonella parvula,Veillonella parvula,species,0.4926,fraction_reads,0.7458,0.4926
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,33031,33031,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,species,0.3871,fraction_reads,0.7458,0.3871
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,33039,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.6884,fraction_reads,0.7458,0.6884
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39485,39485,Lachnospira eligens,Lachnospira eligens,species,0.6406,fraction_reads,0.7458,0.6406
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39486,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.7366,fraction_reads,0.7458,0.7366
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39488,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.8467,fraction_reads,0.7458,0.8467
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39490,39490,Eubacterium ramulus,Eubacterium ramulus,species,0.7804,fraction_reads,0.7458,0.7804
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.7974,fraction_reads,0.7458,0.7974
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39496,39496,Eubacterium ventriosum,Eubacterium ventriosum,species,0.6599,fraction_reads,0.7458,0.6599
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39777,39777,Veillonella atypica,Veillonella atypica,species,0.4787,fraction_reads,0.7458,0.4787
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,40520,40520,Blautia obeum,Blautia obeum,species,0.8433,fraction_reads,0.7458,0.8433
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,40545,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.6992,fraction_reads,0.7458,0.6992
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,43675,43675,Rothia mucilaginosa,Rothia mucilaginosa,species,0.5297,fraction_reads,0.7458,0.5297
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,45851,45851,Eshraghiella crossota,Eshraghiella crossota,species,0.5825,fraction_reads,0.7458,0.5825
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,1.1089,fraction_reads,0.7458,1.1089
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.8973,fraction_reads,0.7458,0.8973
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,47678,47678,Bacteroides caccae,Bacteroides caccae,species,1.2706,fraction_reads,0.7458,1.2706
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,74426,74426,Collinsella aerofaciens,Collinsella aerofaciens,species,0.5673,fraction_reads,0.7458,0.5673
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,84112,84112,Eggerthella lenta,Eggerthella lenta,species,0.8012,fraction_reads,0.7458,0.8012
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,84135,84135,Gemella sanguinis,Gemella sanguinis,species,0.4151,fraction_reads,0.7458,0.4151
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,88431,88431,Dorea longicatena,Dorea longicatena,species,0.6746,fraction_reads,0.7458,0.6746
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,89014,89014,Blautia luti,Blautia luti,species,0.8644,fraction_reads,0.7458,0.8644
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,113107,113107,Streptococcus australis,Streptococcus australis,species,0.5202,fraction_reads,0.7769,0.5202
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,114527,114527,Mogibacterium diversum,Mogibacterium diversum,species,0.4195,fraction_reads,0.7458,0.4195
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,116090,116090,Caloranaerobacter azorensis,Caloranaerobacter azorensis,species,0.5867,fraction_reads,0.7458,0.5867
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,154046,154046,Hungatella hathewayi,Hungatella hathewayi,species,1.6015,fraction_reads,0.7458,1.6015
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,154288,154288,Turicibacter sanguinis,Turicibacter sanguinis,species,0.693,fraction_reads,0.7458,0.693
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,166486,166486,Roseburia intestinalis,Roseburia intestinalis,species,1.0381,fraction_reads,0.7458,1.0381
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,169435,169435,Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.8234,fraction_reads,0.7458,0.8234
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,214856,214856,Alistipes finegoldii,Alistipes finegoldii,species,0.9512,fraction_reads,0.7458,0.9512
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,216816,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.5511,fraction_reads,0.7458,0.5511
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,249188,249188,Haemophilus pittmaniae,Haemophilus pittmaniae,species,0.504,fraction_reads,0.7458,0.504
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,261299,261299,Intestinibacter bartlettii,Intestinibacter bartlettii,species,0.6946,fraction_reads,0.7458,0.6946
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,292800,292800,Flavonifractor plautii,Flavonifractor plautii,species,0.9208,fraction_reads,0.7458,0.9208
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,301301,301301,Roseburia hominis,Roseburia hominis,species,0.8299,fraction_reads,0.7458,0.8299
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,301302,301302,Roseburia faecis,Roseburia faecis,species,0.7821,fraction_reads,0.7458,0.7821
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,328812,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,1.6296,fraction_reads,0.7458,1.6296
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,328813,328813,Alistipes onderdonkii,Alistipes onderdonkii,species,0.8441,fraction_reads,0.7769,0.8441
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,342942,342942,Mediterraneibacter glycyrrhizinilyticus,Mediterraneibacter glycyrrhizinilyticus,species,0.7559,fraction_reads,0.7458,0.7559
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,357276,357276,Phocaeicola dorei,Phocaeicola dorei,species,1.4621,fraction_reads,0.839,1.4621
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,371601,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,1.5152,fraction_reads,0.7458,1.5152
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,387661,387661,Parabacteroides johnsonii,Parabacteroides johnsonii,species,1.143,fraction_reads,0.7769,1.143
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,410072,410072,Coprococcus comes,Coprococcus comes,species,0.7793,fraction_reads,0.7458,0.7793
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,411483,411483,Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,1.9712,fraction_reads,2.051,1.9712
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,411486,411486,Clostridium sp. M62/1,Clostridium sp. M62/1,species,0.9066,fraction_reads,0.7458,0.9066
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,418240,418240,Blautia wexlerae,Blautia wexlerae,species,1.1277,fraction_reads,0.7769,1.1277
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,423477,423477,Veillonella rogosae,Veillonella rogosae,species,0.5096,fraction_reads,0.7458,0.5096
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,454154,454154,Paraprevotella clara,Paraprevotella clara,species,0.9322,fraction_reads,0.7458,0.9322
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,487174,487174,Barnesiella intestinihominis,Barnesiella intestinihominis,species,0.7532,fraction_reads,0.7458,0.7532
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,544580,544580,Actinomyces oris,Actinomyces oris,species,0.7371,fraction_reads,0.7458,0.7371
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,649756,649756,Anaerostipes hadrus,Anaerostipes hadrus,species,0.6807,fraction_reads,0.7458,0.6807
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,674529,674529,Bacteroides faecis,Bacteroides faecis,species,1.4676,fraction_reads,0.7458,1.4676
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,712411,712411,Olsenella sp. oral taxon 807,Olsenella sp. oral taxon 807,species,0.7424,fraction_reads,0.7458,0.7424
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,938288,938288,Fenollaria massiliensis,Fenollaria massiliensis,species,0.3719,fraction_reads,0.7458,0.3719
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1099853,1099853,Coprobacter fastidiosus,Coprobacter fastidiosus,species,0.7958,fraction_reads,0.7458,0.7958
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1160721,1160721,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus bicirculans (ex Wegman et al. 2014),species,0.6858,fraction_reads,0.7458,0.6858
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1297617,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.745,fraction_reads,0.7458,0.745
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1335613,1335613,Gordonibacter urolithinfaciens,Gordonibacter urolithinfaciens,species,0.7587,fraction_reads,0.7458,0.7587
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1550024,1550024,Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.0211,fraction_reads,0.7458,1.0211
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1737424,1737424,Blautia massiliensis (ex Durand et al. 2017),Blautia massiliensis (ex Durand et al. 2017),species,0.8983,fraction_reads,0.7769,0.8983
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1796613,1796613,Bacteroides caecimuris,Bacteroides caecimuris,species,1.1648,fraction_reads,0.7769,1.1648
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1796652,1796652,Turicimonas muris,Turicimonas muris,species,0.6672,fraction_reads,0.7458,0.6672
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1982626,1982626,Faecalibacillus intestinalis,Faecalibacillus intestinalis,species,0.6631,fraction_reads,0.7458,0.6631
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2025876,2025876,Parabacteroides sp. CT06,Parabacteroides sp. CT06,species,1.9136,fraction_reads,1.1498,1.9136
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2108523,2108523,Lawsonibacter asaccharolyticus,Lawsonibacter asaccharolyticus,species,0.7222,fraction_reads,0.7458,0.7222
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2109687,2109687,Oscillibacter sp. PEA192,Oscillibacter sp. PEA192,species,0.7671,fraction_reads,0.7458,0.7671
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2382163,2382163,Streptococcus koreensis,Streptococcus koreensis,species,0.4643,fraction_reads,0.7458,0.4643
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2585118,2585118,Alistipes communis,Alistipes communis,species,0.7627,fraction_reads,0.7458,0.7627
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2610896,2610896,Streptococcus sp. LPB0220,Streptococcus sp. LPB0220,species,0.5545,fraction_reads,0.839,0.5545
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2682455,2682455,Veillonella orientalis,Veillonella orientalis,species,0.6385,fraction_reads,0.9944,0.6385
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2682456,2682456,Veillonella nakazawae,Veillonella nakazawae,species,0.5049,fraction_reads,0.7769,0.5049
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2714355,2714355,Vescimonas coprocola,Vescimonas coprocola,species,0.5909,fraction_reads,0.7458,0.5909
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2714358,2714358,Pusillibacter faecalis,Pusillibacter faecalis,species,0.7873,fraction_reads,0.7458,0.7873
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2734112,2734112,Lagaffevirus lagaffe,Lagaffevirus lagaffe,species,0.0237,fraction_reads,1.5848,0.0237
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2735723,2735723,Turicibacter bilis,Turicibacter bilis,species,0.6153,fraction_reads,0.7458,0.6153
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2763667,2763667,Wansuia hejianensis,Wansuia hejianensis,species,0.9125,fraction_reads,0.7458,0.9125
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2763672,2763672,Simiaoa sunii,Simiaoa sunii,species,0.8255,fraction_reads,0.7458,0.8255
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2806443,2806443,Turicibacter sp. TJ11,Turicibacter sp. TJ11,species,0.6126,fraction_reads,0.7458,0.6126
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2847299,2847299,Bacteroides sp. DH3716P,Bacteroides sp. DH3716P,species,2.8767,fraction_reads,1.3984,2.8767
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2922857,2922857,Bifidobacterium sp. FKU,Bifidobacterium sp. FKU,species,0.6799,fraction_reads,0.839,0.6799
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2929488,2929488,Faecalibacterium sp. IP-1-18,Faecalibacterium sp. IP-1-18,species,0.702,fraction_reads,0.7458,0.702
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2929489,2929489,Faecalibacterium sp. IP-3-29,Faecalibacterium sp. IP-3-29,species,0.7803,fraction_reads,0.839,0.7803
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2929490,2929490,Faecalibacterium sp. I2-3-92,Faecalibacterium sp. I2-3-92,species,0.8843,fraction_reads,0.9633,0.8843
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2929493,2929493,Faecalibacterium sp. I3-3-89,Faecalibacterium sp. I3-3-89,species,0.6506,fraction_reads,0.7458,0.6506
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2929494,2929494,Faecalibacterium sp. I4-1-79,Faecalibacterium sp. I4-1-79,species,0.8079,fraction_reads,0.808,0.8079
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2929495,2929495,Faecalibacterium sp. I4-3-84,Faecalibacterium sp. I4-3-84,species,0.7207,fraction_reads,0.7458,0.7207
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2944914,2944914,Allocoprobacillus halotolerans,Allocoprobacillus halotolerans,species,0.6772,fraction_reads,0.7458,0.6772
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2985571,2985571,Bifidobacterium sp. KRGSERBCFTRI,Bifidobacterium sp. KRGSERBCFTRI,species,0.7811,fraction_reads,0.7458,0.7811
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,3081750,3081750,Anaerocolumna sp. AGMB13020,Anaerocolumna sp. AGMB13020,species,1.3425,fraction_reads,0.7458,1.3425
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,194,194,Campylobacter,Campylobacter,genus,0.4251,fraction_reads,0.7458,0.4251
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,724,724,Haemophilus,Haemophilus,genus,2.3849,fraction_reads,3.7601,2.3849
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,816,816,Bacteroides,Bacteroides,genus,14.3675,fraction_reads,8.235,14.3675
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,838,838,Prevotella,Prevotella,genus,1.2418,fraction_reads,1.4916,1.2418
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,841,841,Roseburia,Roseburia,genus,2.6501,fraction_reads,2.2374,2.6501
