tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Qiagen_report.tsv,643,464,179,0,0,95.88316368044369,97.25942777436441,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Zymo_report.tsv,1532,1086,446,0,0,93.63276192701181,97.00651966456101,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Kraken2_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Qiagen_kreport.tsv,1905,1363,542,0,0,84.56319224190894,77.97479284634926,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Zymo_kreport.tsv,4487,3414,1073,0,0,79.72136934774142,75.1355843848948,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuge_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Qiagen_kreport.tsv,463,308,155,0,0,97.83829561116555,98.46631573703525,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Zymo_kreport.tsv,1377,933,444,0,0,95.72309601996008,98.35328371500373,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Centrifuger_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Qiagen_reads.tre,179,112,67,0,0,85.04830999999999,85.04835000000003,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Zymo_reads.tre,345,211,134,0,0,69.30808999999999,69.30816999999999,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Ganon2_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Qiagen.kreport.txt,65,38,27,0,0,83.33756482612992,83.3375648261299,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Zymo.kreport.txt,69,44,25,0,0,71.24894967871882,71.24894969353805,results/metadata/20260629_144812/analysis-prep/preprocessed/detection/Sourmash_unified/ZymoMockD6331_ont_D6331_Zymo.csv
