tool,db,tool_db,project,technology,sample,total_for_normalization
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ont,D6331_Qiagen,301105.0
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ont,D6331_Zymo,2979141.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ont,D6331_Qiagen,301105.0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ont,D6331_Qiagen,301105.0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ont,D6331_Zymo,2979141.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ont,D6331_Zymo,2979141.0
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ont,D6331_Qiagen,1236769997.0
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ont,D6331_Zymo,6747989998.0
Kraken2,unified,Kraken2_unified,ZymoMockD6331,pacbio,SRR13128013,2770833.0
Kraken2,unified,Kraken2_unified,ZymoMockD6331,pacbio,SRR13128014,1978852.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,pacbio,SRR13128013,2770833.0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,pacbio,SRR13128013,2770833.0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,pacbio,SRR13128014,1978852.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,pacbio,SRR13128014,1978852.0
Sourmash,unified,Sourmash_unified,ZymoMockD6331,pacbio,SRR13128013,25627728998.0
Sourmash,unified,Sourmash_unified,ZymoMockD6331,pacbio,SRR13128014,17878466000.0
Kraken2,unified,Kraken2_unified,simulated,ont,sim_ont,2388554.0
Centrifuger,unified,Centrifuger_unified,simulated,ont,sim_ont,2388554.0
Centrifuge,unified,Centrifuge_unified,simulated,ont,sim_ont,2388554.0
Kraken2,unified,Kraken2_unified,simulated,pacbio,sim_pacbio,1239864.0
Centrifuge,unified,Centrifuge_unified,simulated,pacbio,sim_pacbio,1239864.0
Centrifuger,unified,Centrifuger_unified,simulated,pacbio,sim_pacbio,1239864.0
Sourmash,unified,Sourmash_unified,simulated,pacbio,sim_pacbio,10312066990.0
Sourmash,unified,Sourmash_unified,simulated,ont,sim_ont,10278170993.0
Kraken2,default,Kraken2_default,ZymoMockD6331,ont,D6331_Qiagen,301105.0
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ont,D6331_Qiagen,301105.0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ont,D6331_Qiagen,301105.0
Kraken2,default,Kraken2_default,ZymoMockD6331,ont,D6331_Zymo,2979141.0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ont,D6331_Zymo,2979141.0
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ont,D6331_Zymo,2979141.0
Sourmash,default,Sourmash_default,ZymoMockD6331,ont,D6331_Qiagen,1236769997.0
Kraken2,default,Kraken2_default,ZymoMockD6331,pacbio,SRR13128013,2770833.0
Kraken2,default,Kraken2_default,ZymoMockD6331,pacbio,SRR13128014,1978852.0
Sourmash,default,Sourmash_default,ZymoMockD6331,ont,D6331_Zymo,6747989993.0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,pacbio,SRR13128014,1978852.0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,pacbio,SRR13128013,2770833.0
Centrifuger,default,Centrifuger_default,ZymoMockD6331,pacbio,SRR13128014,1978852.0
Centrifuger,default,Centrifuger_default,ZymoMockD6331,pacbio,SRR13128013,2770833.0
Sourmash,default,Sourmash_default,ZymoMockD6331,pacbio,SRR13128014,17878465996.0
Sourmash,default,Sourmash_default,ZymoMockD6331,pacbio,SRR13128013,25627728998.0
Kraken2,default,Kraken2_default,simulated,ont,sim_ont,2388554.0
Centrifuge,default,Centrifuge_default,simulated,ont,sim_ont,2388554.0
Kraken2,default,Kraken2_default,simulated,pacbio,sim_pacbio,1239864.0
Centrifuger,default,Centrifuger_default,simulated,ont,sim_ont,2388554.0
Centrifuger,default,Centrifuger_default,simulated,pacbio,sim_pacbio,1239864.0
Centrifuge,default,Centrifuge_default,simulated,pacbio,sim_pacbio,1239864.0
Sourmash,default,Sourmash_default,simulated,ont,sim_ont,10278170991.0
Sourmash,default,Sourmash_default,simulated,pacbio,sim_pacbio,10312066988.0
