tool,db,tool_db,data_type,project,technology,sample,raw_path,mode
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv,detection
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv,detection
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_kreport.tsv,detection
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_kreport.tsv,detection
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_kreport.tsv,detection
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_kreport.tsv,detection
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013_reads.tre,detection
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014_reads.tre,detection
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013.kreport.txt,detection
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014.kreport.txt,detection
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa,detection
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa,detection
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv,detection
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/default-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv,detection
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_kreport.tsv,detection
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/default-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_kreport.tsv,detection
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_kreport.tsv,detection
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/default-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_kreport.tsv,detection
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013_reads.tre,detection
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/default-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014_reads.tre,detection
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013.kreport.txt,detection
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/default-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014.kreport.txt,detection
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa,detection
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,reports/default-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa,detection
