cohort,db_mode,tool,rank,n_files,root,pattern,out_name
illumina,default,Kraken2,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,Kraken2-results/*_report.tsv,illumina_Kraken2_default_species.tsv
illumina,default,Kraken2,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,Kraken2-results/*_report.tsv,illumina_Kraken2_default_genus.tsv
illumina,default,Centrifuge,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,Centrifuge-results/*_report.tsv,illumina_Centrifuge_default_species.tsv
illumina,default,Centrifuge,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,Centrifuge-results/*_report.tsv,illumina_Centrifuge_default_genus.tsv
illumina,default,Centrifuger,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,Centrifuger-results/*_report.tsv,illumina_Centrifuger_default_species.tsv
illumina,default,Centrifuger,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,Centrifuger-results/*_report.tsv,illumina_Centrifuger_default_genus.tsv
illumina,default,sourmash,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,sourmash-results/*-report.csv.summarized.csv,illumina_sourmash_default_species.tsv
illumina,default,sourmash,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,sourmash-results/*-report.csv.summarized.csv,illumina_sourmash_default_genus.tsv
illumina,default,sylph,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,sylph-results/*.fastq.sylphmpa,illumina_sylph_default_species.tsv
illumina,default,sylph,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,sylph-results/*.fastq.sylphmpa,illumina_sylph_default_genus.tsv
illumina,default,ganon2,species,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,ganon2-results/*.tre,illumina_ganon2_default_species.tsv
illumina,default,ganon2,genus,9,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/illumina,ganon2-results/*.tre,illumina_ganon2_default_genus.tsv
illumina,unified,Kraken2,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,Kraken2-results/*_report.tsv,illumina_Kraken2_unified_species.tsv
illumina,unified,Kraken2,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,Kraken2-results/*_report.tsv,illumina_Kraken2_unified_genus.tsv
illumina,unified,Centrifuge,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,Centrifuge-results/*_report.tsv,illumina_Centrifuge_unified_species.tsv
illumina,unified,Centrifuge,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,Centrifuge-results/*_report.tsv,illumina_Centrifuge_unified_genus.tsv
illumina,unified,Centrifuger,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,Centrifuger-results/*_report.tsv,illumina_Centrifuger_unified_species.tsv
illumina,unified,Centrifuger,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,Centrifuger-results/*_report.tsv,illumina_Centrifuger_unified_genus.tsv
illumina,unified,sourmash,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,sourmash-results/*-report.csv.summarized.csv,illumina_sourmash_unified_species.tsv
illumina,unified,sourmash,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,sourmash-results/*-report.csv.summarized.csv,illumina_sourmash_unified_genus.tsv
illumina,unified,sylph,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,sylph-results/*.fastq.sylphmpa,illumina_sylph_unified_species.tsv
illumina,unified,sylph,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,sylph-results/*.fastq.sylphmpa,illumina_sylph_unified_genus.tsv
illumina,unified,ganon2,species,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,ganon2-results/*.tre,illumina_ganon2_unified_species.tsv
illumina,unified,ganon2,genus,9,/dodo/eh58/bakeoff/reports/archive/unified-reports/DYN/illumina,ganon2-results/*.tre,illumina_ganon2_unified_genus.tsv
pacbio,default,Kraken2,species,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,Kraken2-results/*_report.tsv,pacbio_Kraken2_default_species.tsv
pacbio,default,Kraken2,genus,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,Kraken2-results/*_report.tsv,pacbio_Kraken2_default_genus.tsv
pacbio,default,Centrifuge,species,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,Centrifuge-results/*_report.tsv,pacbio_Centrifuge_default_species.tsv
pacbio,default,Centrifuge,genus,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,Centrifuge-results/*_report.tsv,pacbio_Centrifuge_default_genus.tsv
pacbio,default,Centrifuger,species,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,Centrifuger-results/*_report.tsv,pacbio_Centrifuger_default_species.tsv
pacbio,default,Centrifuger,genus,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,Centrifuger-results/*_report.tsv,pacbio_Centrifuger_default_genus.tsv
pacbio,default,sourmash,species,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,sourmash-results/*-report.csv.summarized.csv,pacbio_sourmash_default_species.tsv
pacbio,default,sourmash,genus,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,sourmash-results/*-report.csv.summarized.csv,pacbio_sourmash_default_genus.tsv
pacbio,default,sylph,species,7,/dodo/eh58/bakeoff/reports/archive/default-reports/DYN/pacbio,sylph-results/*.fastq.sylphmpa,pacbio_sylph_default_species.tsv
