tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,5369772,77,52,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,602805,183,112,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,14,14,Dictyoglomus thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1959987,33,25,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,19,19,Pelobacter carbinolicus,Pelobacter carbinolicus,species,0.0,abund,0.0,3665893,45,17,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,4749735,58,6,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,34,34,Myxococcus xanthus,Myxococcus xanthus,species,0.0,abund,0.0,9139763,88,10,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,35,35,Corallococcus macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,8973512,50,24,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,41,41,Stigmatella aurantiaca,Stigmatella aurantiaca,species,0.0,abund,0.0,10260756,68,49,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,43,43,Cystobacter fuscus,Cystobacter fuscus,species,0.0,abund,0.0,12349744,36,26,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,48,48,Archangium gephyra,Archangium gephyra,species,0.0,abund,0.0,12489432,44,24,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,52,52,Chondromyces crocatus,Chondromyces crocatus,species,0.0,abund,0.0,11388132,11,8,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,56,56,Sorangium cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,13907952,128,27,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,63,63,Vitreoscilla filiformis,Vitreoscilla filiformis,species,0.0,abund,0.0,3787551,21,18,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,69,69,Lysobacter enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,12227539,36,5,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,2469862,16,4,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,94,94,Stella humosa,Stella humosa,species,0.0,abund,0.0,5832650,41,16,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,104,104,Cyclobacterium marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6221273,68,51,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,114,114,Gemmata obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,17998094,35,25,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,119,119,Rubinisphaera brasiliensis,Rubinisphaera brasiliensis,species,0.0,abund,0.0,6006602,17,14,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,120,120,Planctopirus limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5460085,17,14,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,122,122,Gimesia maris,Gimesia maris,species,0.0,abund,0.0,15634937,42,15,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,125,125,Pirellula staleyi,Pirellula staleyi,species,0.0,abund,0.0,6196199,2,1,0.0,0.9267020492508667
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,128,128,Isosphaera pallida,Isosphaera pallida,species,0.0,abund,0.0,5529304,41,9,0.0,0.9267020492508667
