tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.21555,abund,0.0021555,8303437,26921,0,0.215550032159827,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,903670,2,2,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,35,35,Corallococcus macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,7510222,1,0,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,17308306,152,76,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,134,134,Methylocystis parvus,Methylocystis parvus,species,0.0,abund,0.0,47685817,1,0,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,139,139,Borreliella burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,4320408,2,0,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,142,142,Borrelia turicatae,Borrelia turicatae,species,0.0,abund,0.0,2713451,1,0,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,144,144,Borrelia coriaceae,Borrelia coriaceae,species,0.0,abund,0.0,10061818,2,0,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,159,159,Brachyspira hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,16619061,6,3,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,160,160,Treponema pallidum,Treponema pallidum,species,6.180919999999999e-05,abund,6.18092e-07,166097296,9160,2962,6.180920922186582e-05,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,162,162,Treponema phagedenis,Treponema phagedenis,species,9.93847e-06,abund,9.93847e-08,68863425,53,11,9.93847148280898e-06,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,163,163,Treponema bryantii,Treponema bryantii,species,0.0,abund,0.0,9521342,13,7,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,172,172,Leptospira biflexa,Leptospira biflexa,species,0.0,abund,0.0,6830969,2,2,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,173,173,Leptospira interrogans,Leptospira interrogans,species,5.51038e-05,abund,5.51038e-07,12550552,5904,284,5.510380822142739e-05,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,174,174,Leptospira borgpetersenii,Leptospira borgpetersenii,species,5.2377100000000004e-05,abund,5.23771e-07,16082397,151,108,5.2377107814606706e-05,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,193,193,Azospirillum lipoferum,Azospirillum lipoferum,species,0.0,abund,0.0,39434868,1,0,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,195,195,Campylobacter coli,Campylobacter coli,species,0.0,abund,0.0,5765114,538,35,0.0,0.9999998508011032
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,196,196,Campylobacter fetus,Campylobacter fetus,species,0.0,abund,0.0,15065459,2,0,0.0,0.9999998508011032
