tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,562,562,Escherichia coli,Escherichia coli,species,10.13097,abund,10.13097,562,1||1224|1236|91347|543|561|562,321259,0,0,321259,10.182207888314789,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,564,564,Escherichia fergusonii,Escherichia fergusonii,species,3e-05,abund,3e-05,564,1||1224|1236|91347|543|561|564,1,0,0,1,3.015172650293542e-05,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,623,623,Shigella flexneri,Shigella flexneri,species,0.00016,abund,0.00016,623,1||1224|1236|91347|543|620|623,5,0,0,5,0.00016080920801565557,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,624,624,Shigella sonnei,Shigella sonnei,species,0.00016,abund,0.00016,624,1||1224|1236|91347|543|620|624,5,0,0,5,0.00016080920801565557,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,817,817,Bacteroides fragilis,Bacteroides fragilis,species,11.74118,abund,11.74118,817,1||976|200643|171549|815|816|817,380186,0,0,380186,11.800561606057842,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00028,abund,0.00028,818,1||976|200643|171549|815|816|818,11,0,0,11,0.0002814161140273972,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,8.05425,abund,8.05425,851,1||32066|203490|203491|203492|848|851,108361,0,0,108361,8.094984772875586,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,22.30098,abund,22.30098,853,1||1239|186801|186802|216572|216851|853,415432,0,0,415432,22.413768323581092,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1282,1282,Staphylococcus epidermidis,Staphylococcus epidermidis,species,7e-05,abund,7e-05,1282,1||1239|91061|1385|90964|1279|1282,1,0,0,1,7.03540285068493e-05,0.9949679
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00215,abund,0.00215,1351,1||1239|91061|186826|81852|1350|1351,39,0,0,39,0.0021608737327103718,0.9949679
