tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,158,158,Treponema denticola,Treponema denticola,species,5e-05,abund,5e-05,158,1||203691|203692|136|2845253|157|158,1,0,0,1,5.170631886376812e-05,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,199,199,Campylobacter concisus,Campylobacter concisus,species,0.73406,abund,0.73406,199,1||29547|3031852|213849|72294|194|199,10709,0,0,10709,0.7591108085027526,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.80517,abund,0.80517,726,1||1224|1236|135625|712|724|726,11333,0,0,11333,0.8326475351908037,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.81128,abund,0.81128,727,1||1224|1236|135625|712|724|727,10986,0,0,10986,0.838966047355956,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.81589,abund,0.81589,729,1||1224|1236|135625|712|724|729,12367,0,0,12367,0.8437333699551954,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.79235,abund,0.79235,732,1||1224|1236|135625|712|416916|732,13471,0,0,13471,0.8193900350341334,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.77922,abund,0.77922,735,1||1224|1236|135625|712|724|735,11989,0,0,11989,0.8058119557005079,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,817,817,Bacteroides fragilis,Bacteroides fragilis,species,0.00525,abund,0.00525,817,1||976|200643|171549|815|816|817,203,0,0,203,0.005429163480695653,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.8025,abund,0.8025,818,1||976|200643|171549|815|816|818,38061,0,0,38061,0.8298864177634784,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.73057,abund,0.73057,820,1||976|200643|171549|815|816|820,26091,0,0,26091,0.7555017074460616,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.78553,abund,0.78553,821,1||976|200643|171549|815|909656|821,29912,0,0,29912,0.8123372931411155,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,1.62118,abund,1.62118,823,1||976|200643|171549|2005525|375288|823,61630,0,0,61630,1.676505000311272,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.79135,abund,0.79135,851,1||32066|203490|203491|203492|848|851,12708,0,0,12708,0.8183559086568581,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,1.30344,abund,1.30344,853,1||1239|186801|186802|216572|216851|853,28982,0,0,28982,1.3479216851957985,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.79529,abund,0.79529,1255,1||1239|91061|186826|33958|1253|1255,10660,0,0,10660,0.8224303665833231,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1302,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.77487,abund,0.77487,1302,1||1239|91061|186826|1300|1301|1302,12532,0,0,12532,0.80131350595936,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1303,1303,Streptococcus oralis,Streptococcus oralis,species,0.72351,abund,0.72351,1303,1||1239|91061|186826|1300|1301|1303,11140,0,0,11140,0.7482007752224975,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1304,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.80804,abund,0.80804,1304,1||1239|91061|186826|1300|1301|1304,12992,0,0,12992,0.8356154778935839,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1305,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.76908,abund,0.76908,1305,1||1239|91061|186826|1300|1301|1305,13357,0,0,13357,0.7953259142349358,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1307,1307,Streptococcus suis,Streptococcus suis,species,0.00209,abund,0.00209,1307,1||1239|91061|186826|1300|1301|1307,33,0,0,33,0.0021613241285055075,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.7739,abund,0.7739,1308,1||1239|91061|186826|1300|1301|1308,10280,0,0,10280,0.800310403373403,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.82801,abund,0.82801,1318,1||1239|91061|186826|1300|1301|1318,13008,0,0,13008,0.8562669816477729,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1322,1322,Blautia hansenii,Blautia hansenii,species,0.01305,abund,0.01305,1322,1||1239|186801|3085636|186803|572511|1322,294,0,0,294,0.013495349223443481,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.75367,abund,0.75367,1328,1||1239|91061|186826|1300|1301|1328,11076,0,0,11076,0.7793900267611223,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.78616,abund,0.78616,1338,1||1239|91061|186826|1300|1301|1338,11239,0,0,11239,0.812988792758799,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.78814,abund,0.78814,1343,1||1239|91061|186826|1300|1301|1343,11166,0,0,11166,0.8150363629858041,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00042,abund,0.00042,1351,1||1239|91061|186826|81852|1350|1351,9,0,0,9,0.00043433307845565226,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1353,1353,Enterococcus gallinarum,Enterococcus gallinarum,species,4e-05,abund,4e-05,1353,1||1239|91061|186826|81852|1350|1353,1,0,0,1,4.13650550910145e-05,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1496,1496,Clostridioides difficile,Clostridioides difficile,species,0.00857,abund,0.00857,1496,1||1239|186801|3082720|186804|1870884|1496,227,0,0,227,0.008862463053249857,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1502,1502,Clostridium perfringens,Clostridium perfringens,species,4e-05,abund,4e-05,1502,1||1239|186801|186802|31979|1485|1502,1,0,0,1,4.13650550910145e-05,0.9669998
Ganon2,default,Ganon2_default,simulated,simulated,ont,sim_ont,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.1292,abund,1.1292,1522,1||1239|186801|186802|31979|1485|1522,27387,0,0,27387,1.1677355052193392,0.9669998
