tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes,norm_abund,classified_fraction
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,562,Escherichia coli,Escherichia coli,species,17.92014683409203,abund_weighted,0.1792014683409203,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0341074677489729,0.1792014683409203,8286000,0.896752433278436,1236770,21.50308432958767,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,817,Bacteroides fragilis,Bacteroides fragilis,species,20.269654018127863,abund_weighted,0.2026965401812786,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0210424058813359,0.2026965401812786,5112000,0.8828894006393638,1236770,24.32234979538062,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,1496,Clostridioides difficile,Clostridioides difficile,species,1.7014481269759099,abund_weighted,0.0170144812697591,;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0165638969613646,0.0170144812697591,4024000,0.876099897825521,1236770,2.0416340834428057,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,301301,Roseburia hominis,Roseburia hominis,species,1.4359177535030698,abund_weighted,0.0143591775350307,;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Roseburia hominis,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0141929216507915,0.0143591775350307,3448000,0.8717448955606094,1236770,1.7230138139932845,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,5476,Candida albicans,Candida albicans,species,0.30523056024968,abund_weighted,0.0030523056024968,;Ascomycota;Pichiomycetes;Serinales;Debaryomycetaceae;Candida;Candida albicans,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.012377643678634,0.0030523056024968,3007000,0.8679050048729888,1236770,0.36625807465649096,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,1.81011829200255,abund_weighted,0.0181011829200255,;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0117725510212482,0.0181011829200255,2860000,0.8665028964264302,1236770,2.1720316602211684,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,6.72590699968466,abund_weighted,0.0672590699968466,;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0115461558093011,0.0672590699968466,2805000,0.8659602977498364,1236770,8.07067859131809,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,28128,Prevotella corporis,Prevotella corporis,species,8.569903862480489,abund_weighted,0.0856990386248049,;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0111674583638623,0.0856990386248049,2713000,0.865029234717142,1236770,10.283362472275972,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.27005829701561,abund_weighted,0.0027005829701561,;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0105212029406679,0.0027005829701561,2556000,0.863367423737295,1236770,0.3240535018152783,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,4.03349046306103,abund_weighted,0.0403349046306103,;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium nucleatum,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0098255521985033,0.0403349046306103,2387000,0.8614643733775681,1236770,4.839942795824946,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,423477,Veillonella rogosae,Veillonella rogosae,species,18.285129813950853,abund_weighted,0.1828512981395085,;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0090393433715598,0.1828512981395085,2196000,0.8591498759821306,1236770,21.94104166707095,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,1.28536429570574,abund_weighted,0.0128536429570574,;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus fermentum,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0073928327392174,0.0128536429570574,1796000,0.8535951992558444,1236770,1.5423588378315876,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,674529,Bacteroides faecis,Bacteroides faecis,species,0.16154984354406998,abund_weighted,0.0016154984354407,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0066930657204718,0.0016154984354407,1626000,0.8508615016066947,1236770,0.19384996904997964,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.13292689829151,abund_weighted,0.0013292689829151,;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.004688439025595,0.0013292689829151,1139000,0.8411469601446969,1236770,0.15950417873781264,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.11335980012451,abund_weighted,0.0011335980012451,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0044085322180967,0.0011335980012451,1071000,0.8394783195455979,1236770,0.13602485315718382,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.04479410076246,abund_weighted,0.0004479410076246,;Methanobacteriota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0019264174398406,0.0004479410076246,468000,0.8173560908098296,1236770,0.053750191618451,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,28901,Salmonella enterica,Salmonella enterica,species,0.030886907023939997,abund_weighted,0.0003088690702394,;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0014653944627847,0.0003088690702394,356000,0.8101756363386813,1236770,0.03706240649503958,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.031129474356589998,abund_weighted,0.0003112947435659,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0013871852077484,0.0003112947435659,337000,0.8087434729649875,1236770,0.03735347251463564,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.031129474356589998,abund_weighted,0.0003112947435659,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0013089759527122,0.0003112947435659,318000,0.8072309331546879,1236770,0.03735347251463564,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,820,Bacteroides uniformis,Bacteroides uniformis,species,0.024903579485269996,abund_weighted,0.0002490357948527,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0009632087199203,0.0002490357948527,234000,0.7992831513068753,1236770,0.02988277801170611,0.8333756478569164
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.01512003040177,abund_weighted,0.0001512003040177,;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis,,9bed66ac,/dodo/eh58/bakeoff/data/ZymoMockD6331/ont/D6331_Qiagen.fastq,0.0007203484016498,0.0001512003040177,175000,0.7918271822403324,1236770,0.018143115221391715,0.8333756478569164
