tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,0,0,Scatavimonas sp900540275,Scatavimonas sp900540275,species,0.0025,abund,0.0025,0.0159,0.021478585849907642,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,0,0,Scatomorpha merdavium,Scatomorpha merdavium,species,0.0016,abund,0.0016,0.009,0.013746294943940892,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,562,562,Escherichia coli,Escherichia coli,species,1.5331,abund,1.5331,19.1772,13.171527986597363,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.0111,abund,0.0111,0.1532,0.09536492117358994,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,Bacteroides fragilis,Bacteroides fragilis,species,1.8781,abund,1.8781,24.4572,16.135572833884616,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.0022,abund,0.0022,0.0258,0.018901155547918724,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.0025,abund,0.0025,0.0322,0.021478585849907642,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.0016,abund,0.0016,0.0197,0.013746294943940892,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,853,853,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii,species,1.0348,abund,1.0348,7.5524,8.89041625499377,0.116395
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1496,1496,Clostridioides difficile,Clostridioides difficile,species,0.1949,abund,0.1949,2.0118,1.6744705528587998,0.116395
