tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39778,39778,                  Veillonella dispar,Veillonella dispar,species,11.410637485262615,fraction_reads,11.41,34358,34358,12.487370157954803,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29466,29466,                  Veillonella parvula,Veillonella parvula,species,3.8265721260025574,fraction_reads,3.83,11522,11522,4.1876558286266725,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39777,39777,                  Veillonella atypica,Veillonella atypica,species,1.756530114079806,fraction_reads,1.76,5289,5289,1.9222801317138059,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,248315,248315,                  Veillonella rodentium,Veillonella rodentium,species,0.23911924411750052,fraction_reads,0.24,720,720,0.2616830582026735,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,907,907,                  Megasphaera elsdenii,Megasphaera elsdenii,species,0.001992660367645838,fraction_reads,0.0,6,2,0.0021806921516889467,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2161821,2161821,                  Dialister massiliensis,Dialister massiliensis,species,0.0003321100612743063,fraction_reads,0.0,1,1,0.0003634486919481577,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,365349,365349,                  Pelosinus fermentans,Pelosinus fermentans,species,0.0076385314093090455,fraction_reads,0.01,23,0,0.008359319914807628,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,484770,484770,                    Pelosinus sp. UFO1,Pelosinus sp. UFO1,species,0.005977981102937513,fraction_reads,0.01,18,18,0.006542076455066838,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2377,2377,                  Sporomusa termitida,Sporomusa termitida,species,0.000996330183822919,fraction_reads,0.0,3,3,0.0010903460758444733,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,971,971,                  Selenomonas ruminantium,Selenomonas ruminantium,species,0.001992660367645838,fraction_reads,0.0,6,0,0.0021806921516889467,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,712538,712538,                    Selenomonas sp. oral taxon 478,Selenomonas sp. oral taxon 478,species,0.001992660367645838,fraction_reads,0.0,6,6,0.0021806921516889467,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,69823,69823,                  Selenomonas sputigena,Selenomonas sputigena,species,0.0006642201225486126,fraction_reads,0.0,2,0,0.0007268973838963153,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158847,158847,                  Megamonas hypermegale,Megamonas hypermegale,species,0.000996330183822919,fraction_reads,0.0,3,3,0.0010903460758444733,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,437897,437897,                  Megamonas funiformis,Megamonas funiformis,species,0.000996330183822919,fraction_reads,0.0,3,3,0.0010903460758444733,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,905,905,                  Acidaminococcus fermentans,Acidaminococcus fermentans,species,0.01428073263479517,fraction_reads,0.01,43,0,0.01562829375377078,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,187327,187327,                  Acidaminococcus intestini,Acidaminococcus intestini,species,0.0013284402450972252,fraction_reads,0.0,4,0,0.0014537947677926307,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,9.224024841832582,fraction_reads,9.22,27774,20245,10.094423970168132,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,292800,292800,                  Flavonifractor plautii,Flavonifractor plautii,species,0.05247338968134039,fraction_reads,0.05,158,158,0.05742489332780891,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1550024,1550024,                  Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,0.030554125637236182,fraction_reads,0.03,92,92,0.03343727965923051,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1160721,1160721,                  Ruminococcus bicirculans,Ruminococcus bicirculans,species,0.003985320735291676,fraction_reads,0.0,12,12,0.004361384303377893,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1264,1264,                  Ruminococcus albus,Ruminococcus albus,species,0.000996330183822919,fraction_reads,0.0,3,0,0.0010903460758444733,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2564099,2564099,                    Ruminococcus sp. JE7A12,Ruminococcus sp. JE7A12,species,0.0006642201225486126,fraction_reads,0.0,2,2,0.0007268973838963153,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1572656,1572656,                    Ruminococcaceae bacterium CPB6,Ruminococcaceae bacterium CPB6,species,0.005313760980388901,fraction_reads,0.01,16,16,0.005815179071170523,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,253239,253239,                  Ethanoligenens harbinense,Ethanoligenens harbinense,species,0.004649540857840288,fraction_reads,0.0,14,14,0.005088281687274207,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2507162,2507162,                    Caproiciproducens sp. NJN-50,Caproiciproducens sp. NJN-50,species,0.0003321100612743063,fraction_reads,0.0,1,1,0.0003634486919481577,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1496,1496,                  Clostridioides difficile,Clostridioides difficile,species,1.9581209212733102,fraction_reads,1.96,5896,5873,2.142893487726338,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2081703,2081703,                  Peptostreptococcaceae bacterium oral taxon 929,Peptostreptococcaceae bacterium oral taxon 929,species,0.007970641470583352,fraction_reads,0.01,24,24,0.008722768606755787,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,89152,89152,                  [Clostridium] hiranonis,[Clostridium] hiranonis,species,0.0003321100612743063,fraction_reads,0.0,1,1,0.0003634486919481577,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1505,1505,                  Paeniclostridium sordellii,Paeniclostridium sordellii,species,0.004317430796565982,fraction_reads,0.0,13,13,0.00472483299532605,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,143361,143361,                  Filifactor alocis,Filifactor alocis,species,0.0003321100612743063,fraction_reads,0.0,1,0,0.0003634486919481577,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,301301,301301,                  Roseburia hominis,Roseburia hominis,species,1.6140548977931286,fraction_reads,1.61,4860,4858,1.7663606428680463,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,166486,166486,                  Roseburia intestinalis,Roseburia intestinalis,species,0.05579449029408346,fraction_reads,0.06,168,0,0.0610593802472905,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2109691,2109691,                  Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,species,0.08568439580877102,fraction_reads,0.09,258,258,0.09376976252262469,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2594789,2594789,                  Lachnospiraceae bacterium KGMB03038,Lachnospiraceae bacterium KGMB03038,species,0.010627521960777802,fraction_reads,0.01,32,32,0.011630358142341046,0.9137742647913518
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2109690,2109690,                  Lachnospiraceae bacterium Choco86,Lachnospiraceae bacterium Choco86,species,0.005313760980388901,fraction_reads,0.01,16,16,0.005815179071170523,0.9137742647913518
