tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,418240,418240,                  Blautia wexlerae,Blautia wexlerae,species,1.1056898860147184,abund,1.11,26410,1775,1.180205966274084,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,40520,40520,                  Blautia obeum,Blautia obeum,species,0.8969862100668438,abund,0.9,21425,2095,0.9574370627573741,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,89014,89014,                  Blautia luti,Blautia luti,species,0.8910411906115584,abund,0.89,21283,21283,0.9510913888758552,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,2479767,2479767,                    Blautia sp. SC05B48,Blautia sp. SC05B48,species,0.17236369786908734,abund,0.17,4117,4117,0.18397985471981843,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,2860051,2860051,                    Blautia sp. KLE_1732_HM_1032,Blautia sp. KLE_1732_HM_1032,species,0.005317024442403228,abund,0.01,127,127,0.005675356217978367,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,1737424,1737424,                  Blautia massiliensis (ex Durand et al. 2017),Blautia massiliensis (ex Durand et al. 2017),species,0.015616142653672473,abund,0.02,373,373,0.0166685659000467,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,1322,1322,                  Blautia hansenii,Blautia hansenii,species,0.006614880802359922,abund,0.01,158,117,0.007060679389295921,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,1912897,1912897,                  Blautia argi,Blautia argi,species,0.004144767085022989,abund,0.0,99,99,0.004424096579368963,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,2877527,2877527,                  Blautia parvula,Blautia parvula,species,0.004102900750830838,abund,0.0,98,98,0.004379408735132914,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,1796616,1796616,                  Blautia pseudococcoides,Blautia pseudococcoides,species,0.0034749057379485668,abund,0.0,83,83,0.0037090910715921613,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,33035,33035,                  Blautia producta,Blautia producta,species,0.003223707732795658,abund,0.0,77,77,0.0034409640061758605,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,2779518,2779518,                  Blautia liquoris,Blautia liquoris,species,0.0027631780566819922,abund,0.0,66,66,0.0029493977195793088,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,53443,53443,                  Blautia hydrogenotrophica,Blautia hydrogenotrophica,species,0.0023445147147604785,abund,0.0,56,0,0.0025025192772188073,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,1532,1532,                  Blautia coccoides,Blautia coccoides,species,0.0020095840412232674,abund,0.0,48,48,0.0021450165233304064,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,166486,166486,                  Roseburia intestinalis,Roseburia intestinalis,species,1.0683451159153194,abund,1.07,25518,19941,1.1403444092155273,0.9368618000681583
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,301301,301301,                  Roseburia hominis,Roseburia hominis,species,0.8477514010568737,abund,0.85,20249,20249,0.9048841579357791,0.9368618000681583
