tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,0,Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,1.8803248181921595,abund,1.88,193263000,193263000,2.085862014347689,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,199,Campylobacter concisus,Campylobacter concisus,species,0.41006323048045895,abund,0.41,42147000,42147000,0.4548870001951332,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.49420271412567707,abund,0.49,50795000,50795000,0.5482237211405745,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,727,Haemophilus influenzae,Haemophilus influenzae,species,0.3586046586719993,abund,0.36,36858000,36858000,0.3978035222718633,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.5222427224357509,abund,0.52,53677000,53677000,0.5793287662105052,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.5420614236597691,abund,0.54,55714000,55714000,0.6013138379688151,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.4664837746130468,abund,0.47,47946000,47946000,0.5174748407088489,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.6941632918198648,abund,1.69,174129000,174129000,1.8793512813955526,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,820,Bacteroides uniformis,Bacteroides uniformis,species,1.0565109307393892,abund,1.06,108590000,108590000,1.1719975170519732,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.730908252701592,abund,0.73,75124000,75124000,0.8108034024404865,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.5462839648140273,abund,0.55,56148000,56148000,0.6059979426046063,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.5023948331392378,abund,0.5,51637000,51637000,0.5573113158487222,0.9014617483123365
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,0,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,2.084067293563865,abund,2.08,214204000,214204000,2.311875459458521,0.9014617483123365
