tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,5369772,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,602805,4,3,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,4749735,15,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,34,34,Myxococcus xanthus,Myxococcus xanthus,species,0.0,abund,0.0,9139763,2,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35,35,Corallococcus macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,8973512,4,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,41,41,Stigmatella aurantiaca,Stigmatella aurantiaca,species,0.0,abund,0.0,10260756,1,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,43,43,Cystobacter fuscus,Cystobacter fuscus,species,0.0,abund,0.0,12349744,2,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,48,48,Archangium gephyra,Archangium gephyra,species,0.0,abund,0.0,12489432,2,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,52,52,Chondromyces crocatus,Chondromyces crocatus,species,0.0,abund,0.0,11388132,3,3,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,56,56,Sorangium cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,13907952,4,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,69,69,Lysobacter enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,12227539,3,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,94,94,Stella humosa,Stella humosa,species,0.0,abund,0.0,5832650,5,4,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,104,104,Cyclobacterium marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6221273,5,3,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,114,114,Gemmata obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,17998094,7,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,119,119,Rubinisphaera brasiliensis,Rubinisphaera brasiliensis,species,0.0,abund,0.0,6006602,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,120,120,Planctopirus limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5460085,7,4,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,122,122,Gimesia maris,Gimesia maris,species,0.0,abund,0.0,15634937,3,2,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,134,134,Methylocystis parvus,Methylocystis parvus,species,0.0,abund,0.0,4529043,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,139,139,Borreliella burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,1339539,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,141,141,Borrelia parkeri,Borrelia parkeri,species,0.0,abund,0.0,1030684,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,142,142,Borrelia turicatae,Borrelia turicatae,species,0.0,abund,0.0,1165365,6,6,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,143,143,Borrelia anserina,Borrelia anserina,species,0.0,abund,0.0,1042690,1,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,154,154,Spirochaeta thermophila,Spirochaeta thermophila,species,0.0,abund,0.0,2472645,12,2,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,159,159,Brachyspira hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,3055339,4,1,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,160,160,Treponema pallidum,Treponema pallidum,species,0.0,abund,0.0,1139838,3,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,162,162,Treponema phagedenis,Treponema phagedenis,species,0.0,abund,0.0,17151030,6,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,167,167,Treponema succinifaciens,Treponema succinifaciens,species,0.0,abund,0.0,2897425,1,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,172,172,Leptospira biflexa,Leptospira biflexa,species,0.0,abund,0.0,3956089,2,0,0.0,0.9892029803029516
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,173,173,Leptospira interrogans,Leptospira interrogans,species,0.0,abund,0.0,6128534,2,1,0.0,0.9892029803029516
