tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,487923,3,2,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,56,56,Sorangium_cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,17333149,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158,158,Treponema_denticola,Treponema denticola,species,0.0,abund,0.0,5434457,1,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,199,199,Campylobacter_concisus,Campylobacter concisus,species,0.0,abund,0.0,5573110,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,200,200,Campylobacter_curvus,Campylobacter curvus,species,0.0,abund,0.0,1938585,6,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,201,201,Campylobacter_lari,Campylobacter lari,species,0.0,abund,0.0,1426313,1,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,210,210,Helicobacter_pylori,Helicobacter pylori,species,0.0,abund,0.0,2727064,3,2,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,213,213,Helicobacter_cinaedi,Helicobacter cinaedi,species,0.0,abund,0.0,2853066,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,246,246,Chryseobacterium_balustinum,Chryseobacterium balustinum,species,0.0,abund,0.0,4787482,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,247,247,Empedobacter_brevis,Empedobacter brevis,species,0.0,abund,0.0,3672495,2,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,253,253,Chryseobacterium_indologenes,Chryseobacterium indologenes,species,0.0,abund,0.0,5176564,3,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,254,254,Chryseobacterium_indoltheticum,Chryseobacterium indoltheticum,species,0.0,abund,0.0,8144275,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,258,258,Sphingobacterium_spiritivorum,Sphingobacterium spiritivorum,species,0.0,abund,0.0,15381790,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,285,285,Comamonas_testosteroni,Comamonas testosteroni,species,0.0,abund,0.0,6002654,1,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,287,287,Pseudomonas_aeruginosa,Pseudomonas aeruginosa,species,0.0,abund,0.0,11221436,25,18,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,294,294,Pseudomonas_fluorescens,Pseudomonas fluorescens,species,0.0,abund,0.0,8213379,2,2,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,303,303,Pseudomonas_putida,Pseudomonas putida,species,0.0,abund,0.0,7014267,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,317,317,Pseudomonas_syringae,Pseudomonas syringae,species,0.0,abund,0.0,6780025,1,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,339,339,Xanthomonas_campestris,Xanthomonas campestris,species,0.0,abund,0.0,6632086,1,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,358,358,Agrobacterium_tumefaciens,Agrobacterium tumefaciens,species,0.0,abund,0.0,19621376,2,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,446,446,Legionella_pneumophila,Legionella pneumophila,species,0.0,abund,0.0,12645427,2,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,454,454,Legionella_israelensis,Legionella israelensis,species,0.0,abund,0.0,3213130,2,1,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,470,470,Acinetobacter_baumannii,Acinetobacter baumannii,species,0.0,abund,0.0,12866776,2,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,476,476,Moraxella_bovis,Moraxella bovis,species,0.0,abund,0.0,22490922,2,0,species,0.0,0.9923284000000001
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,485,485,Neisseria_gonorrhoeae,Neisseria gonorrhoeae,species,0.0,abund,0.0,7500826,1,1,species,0.0,0.9923284000000001
