tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,487923,22,9,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,48,48,Archangium_gephyra,Archangium gephyra,species,0.0,abund,0.0,12349166,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,69,69,Lysobacter_enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,11220614,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,72,72,Simonsiella_muelleri,Simonsiella muelleri,species,0.0,abund,0.0,2431675,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,104,104,Cyclobacterium_marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6121867,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,106,106,Runella_slithyformis,Runella slithyformis,species,0.0,abund,0.0,6638891,5,5,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,114,114,Gemmata_obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,8869928,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,120,120,Planctopirus_limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5451312,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,140,140,Borrelia_hermsii,Borrelia hermsii,species,0.0,abund,0.0,1168923,2,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,141,141,Borrelia_parkeri,Borrelia parkeri,species,0.0,abund,0.0,1165943,3,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,172,172,Leptospira_biflexa,Leptospira biflexa,species,0.0,abund,0.0,3514958,1,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,173,173,Leptospira_interrogans,Leptospira interrogans,species,0.0,abund,0.0,7213989,4,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,195,195,Campylobacter_coli,Campylobacter coli,species,0.0,abund,0.0,2998663,3,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,196,196,Campylobacter_fetus,Campylobacter fetus,species,0.0,abund,0.0,2979227,1,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,198,198,Campylobacter_hyointestinalis,Campylobacter hyointestinalis,species,0.0,abund,0.0,1668200,3,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,201,201,Campylobacter_lari,Campylobacter lari,species,0.0,abund,0.0,1426313,5,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,202,202,Campylobacter_mucosalis,Campylobacter mucosalis,species,0.0,abund,0.0,1741395,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,210,210,Helicobacter_pylori,Helicobacter pylori,species,0.0,abund,0.0,2727064,8,4,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,212,212,Helicobacter_acinonychis,Helicobacter acinonychis,species,0.0,abund,0.0,1497104,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,213,213,Helicobacter_cinaedi,Helicobacter cinaedi,species,0.0,abund,0.0,2853066,6,5,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,238,238,Elizabethkingia_meningoseptica,Elizabethkingia meningoseptica,species,0.0,abund,0.0,3989186,3,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,246,246,Chryseobacterium_balustinum,Chryseobacterium balustinum,species,0.0,abund,0.0,4787482,3,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,247,247,Empedobacter_brevis,Empedobacter brevis,species,0.0,abund,0.0,3672495,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,250,250,Chryseobacterium_gleum,Chryseobacterium gleum,species,0.0,abund,0.0,5473996,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,253,253,Chryseobacterium_indologenes,Chryseobacterium indologenes,species,0.0,abund,0.0,5176564,11,8,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,254,254,Chryseobacterium_indoltheticum,Chryseobacterium indoltheticum,species,0.0,abund,0.0,8144275,4,4,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,259,259,Sphingobacterium_thalpophilum,Sphingobacterium thalpophilum,species,0.0,abund,0.0,5906941,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,271,271,Thermus_aquaticus,Thermus aquaticus,species,0.0,abund,0.0,2283263,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,287,287,Pseudomonas_aeruginosa,Pseudomonas aeruginosa,species,0.0,abund,0.0,11221436,2,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,303,303,Pseudomonas_putida,Pseudomonas putida,species,0.0,abund,0.0,7014267,4,4,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,316,316,Stutzerimonas_stutzeri,Stutzerimonas stutzeri,species,0.0,abund,0.0,4627035,2,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,317,317,Pseudomonas_syringae,Pseudomonas syringae,species,0.0,abund,0.0,6780025,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,339,339,Xanthomonas_campestris,Xanthomonas campestris,species,0.0,abund,0.0,6632086,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,343,343,Xanthomonas_translucens,Xanthomonas translucens,species,0.0,abund,0.0,7919519,14,11,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,346,346,Xanthomonas_citri,Xanthomonas citri,species,0.0,abund,0.0,9542591,3,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,347,347,Xanthomonas_oryzae,Xanthomonas oryzae,species,0.0,abund,0.0,9934092,4,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,358,358,Agrobacterium_tumefaciens,Agrobacterium tumefaciens,species,0.0,abund,0.0,19621376,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,382,382,Sinorhizobium_meliloti,Sinorhizobium meliloti,species,0.0,abund,0.0,13118939,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,384,384,Rhizobium_leguminosarum,Rhizobium leguminosarum,species,0.0,abund,0.0,6969849,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,426,426,Methylosinus_trichosporium,Methylosinus trichosporium,species,0.0,abund,0.0,5010724,4,4,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,435,435,Acetobacter_aceti,Acetobacter aceti,species,0.0,abund,0.0,3817660,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,446,446,Legionella_pneumophila,Legionella pneumophila,species,0.0,abund,0.0,12645427,6,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,451,451,Tatlockia_micdadei,Tatlockia micdadei,species,0.0,abund,0.0,6456263,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,454,454,Legionella_israelensis,Legionella israelensis,species,0.0,abund,0.0,3213130,3,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,470,470,Acinetobacter_baumannii,Acinetobacter baumannii,species,0.0,abund,0.0,12866776,5,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,471,471,Acinetobacter_calcoaceticus,Acinetobacter calcoaceticus,species,0.0,abund,0.0,7789158,4,4,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,476,476,Moraxella_bovis,Moraxella bovis,species,0.0,abund,0.0,22490922,2,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,478,478,Moraxella_nonliquefaciens,Moraxella nonliquefaciens,species,0.0,abund,0.0,2301145,1,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,483,483,Neisseria_cinerea,Neisseria cinerea,species,0.0,abund,0.0,1820296,2,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,485,485,Neisseria_gonorrhoeae,Neisseria gonorrhoeae,species,0.0,abund,0.0,7500826,2,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,490,490,Neisseria_sicca,Neisseria sicca,species,0.0,abund,0.0,2556815,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,495,495,Neisseria_elongata,Neisseria elongata,species,0.0,abund,0.0,2379595,1,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,502,502,Kingella_denitrificans,Kingella denitrificans,species,0.0,abund,0.0,2207068,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,504,504,Kingella_kingae,Kingella kingae,species,0.0,abund,0.0,4043742,1,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,511,511,Alcaligenes_faecalis,Alcaligenes faecalis,species,0.0,abund,0.0,4560901,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,537,537,Iodobacter_fluviatilis,Iodobacter fluviatilis,species,0.0,abund,0.0,4552650,3,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,542,542,Zymomonas_mobilis,Zymomonas mobilis,species,0.0,abund,0.0,2325344,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,546,546,Citrobacter_freundii,Citrobacter freundii,species,0.0,abund,0.0,10265957,5,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,548,548,Klebsiella_aerogenes,Klebsiella aerogenes,species,0.0,abund,0.0,8871710,5,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,549,549,Pantoea_agglomerans,Pantoea agglomerans,species,0.0,abund,0.0,6775528,3,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,550,550,Enterobacter_cloacae,Enterobacter cloacae,species,0.0,abund,0.0,7447615,5,5,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,553,553,Pantoea_ananatis,Pantoea ananatis,species,0.0,abund,0.0,4841481,4,3,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,554,554,Pectobacterium_carotovorum,Pectobacterium carotovorum,species,0.0,abund,0.0,6045592,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,556,556,Dickeya_chrysanthemi,Dickeya chrysanthemi,species,0.0,abund,0.0,4792929,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,562,562,Escherichia_coli,Escherichia coli,species,6.6557699999999995,abund,0.0665577,7450150,309183,214658,species,6.66082090048884,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,564,564,Escherichia_fergusonii,Escherichia fergusonii,species,0.0,abund,0.0,9628813,8,8,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,569,569,Hafnia_alvei,Hafnia alvei,species,0.0,abund,0.0,4721994,1,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,571,571,Klebsiella_oxytoca,Klebsiella oxytoca,species,0.0,abund,0.0,10030351,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,573,573,Klebsiella_pneumoniae,Klebsiella pneumoniae,species,0.0,abund,0.0,14769204,61,55,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,582,582,Morganella_morganii,Morganella morganii,species,0.0,abund,0.0,18659263,1,1,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,584,584,Proteus_mirabilis,Proteus mirabilis,species,0.0,abund,0.0,10668605,4,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,587,587,Providencia_rettgeri,Providencia rettgeri,species,0.0,abund,0.0,13513573,3,2,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,621,621,Shigella_boydii,Shigella boydii,species,0.0,abund,0.0,7979920,8,8,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,622,622,Shigella_dysenteriae,Shigella dysenteriae,species,0.0,abund,0.0,14391020,11,11,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,623,623,Shigella_flexneri,Shigella flexneri,species,0.005560000000000001,abund,5.56e-05,7297056,1556,1547,species,0.005564219347531233,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,624,624,Shigella_sonnei,Shigella sonnei,species,0.00011,abund,1.1e-06,16409230,28,28,species,0.00011008347630007835,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,630,630,Yersinia_enterocolitica,Yersinia enterocolitica,species,0.0,abund,0.0,9522838,6,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,632,632,Yersinia_pestis,Yersinia pestis,species,0.0,abund,0.0,6833101,1,0,species,0.0,0.9992417
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,633,633,Yersinia_pseudotuberculosis,Yersinia pseudotuberculosis,species,0.0,abund,0.0,8733048,1,1,species,0.0,0.9992417
