tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,7,7,Azorhizobium_caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,5316790,13,13,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,487923,102,59,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,11,11,Cellulomonas_gilvus,Cellulomonas gilvus,species,0.0,abund,0.0,3389728,1,1,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,14,14,Dictyoglomus_thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1903176,14,14,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,19,19,Syntrophotalea_carbinolica,Syntrophotalea carbinolica,species,0.0,abund,0.0,3648065,4,4,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,24,24,Shewanella_putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,9412355,6,6,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,34,34,Myxococcus_xanthus,Myxococcus xanthus,species,0.0,abund,0.0,24468179,11,6,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,35,35,Corallococcus_macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,8809604,11,8,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,41,41,Stigmatella_aurantiaca,Stigmatella aurantiaca,species,0.0,abund,0.0,10161510,3,3,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,43,43,Cystobacter_fuscus,Cystobacter fuscus,species,0.0,abund,0.0,12216880,7,7,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,48,48,Archangium_gephyra,Archangium gephyra,species,0.0,abund,0.0,12349166,4,4,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,52,52,Chondromyces_crocatus,Chondromyces crocatus,species,0.0,abund,0.0,11193550,1,1,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,56,56,Sorangium_cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,17333149,6,3,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,61,61,Vitreoscilla_stercoraria,Vitreoscilla stercoraria,species,0.0,abund,0.0,2638392,1,1,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,63,63,Vitreoscilla_filiformis,Vitreoscilla filiformis,species,0.0,abund,0.0,3767175,1,1,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,69,69,Lysobacter_enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,11220614,6,5,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,72,72,Simonsiella_muelleri,Simonsiella muelleri,species,0.0,abund,0.0,2431675,4,0,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,104,104,Cyclobacterium_marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6121867,23,23,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,106,106,Runella_slithyformis,Runella slithyformis,species,0.0,abund,0.0,6638891,20,20,species,0.0,0.9991331999999999
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,114,114,Gemmata_obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,8869928,2,2,species,0.0,0.9991331999999999
