tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,9.999999999999999e-06,abund,1e-07,596134,30,15,species,9.9999990000001e-06,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,159,159,Brachyspira_hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,6092864,2,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,160,160,Treponema_pallidum,Treponema pallidum,species,0.0,abund,0.0,2746007,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,196,196,Campylobacter_fetus,Campylobacter fetus,species,0.0,abund,0.0,3154040,2,2,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,200,200,Campylobacter_curvus,Campylobacter curvus,species,0.0,abund,0.0,1973094,1,0,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,253,253,Chryseobacterium_indologenes,Chryseobacterium indologenes,species,0.0,abund,0.0,5314748,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,287,287,Pseudomonas_aeruginosa,Pseudomonas aeruginosa,species,0.0007,abund,7e-06,20861276,54,40,species,0.0006999999300000069,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,294,294,Pseudomonas_fluorescens,Pseudomonas fluorescens,species,0.0,abund,0.0,7768992,1,0,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,301,301,Ectopseudomonas_oleovorans,Ectopseudomonas oleovorans,species,1.9999999999999998e-05,abund,2e-07,4681746,3,2,species,1.99999980000002e-05,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,303,303,Pseudomonas_putida,Pseudomonas putida,species,0.0,abund,0.0,8263216,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,347,347,Xanthomonas_oryzae,Xanthomonas oryzae,species,0.0,abund,0.0,9127922,1,0,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,373,373,Agrobacterium_vitis,Agrobacterium vitis,species,0.0,abund,0.0,17676826,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,470,470,Acinetobacter_baumannii,Acinetobacter baumannii,species,0.0,abund,0.0,11661057,2,2,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,485,485,Neisseria_gonorrhoeae,Neisseria gonorrhoeae,species,0.0,abund,0.0,14680810,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,490,490,Neisseria_sicca,Neisseria sicca,species,0.0,abund,0.0,2577793,2,2,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,495,495,Neisseria_elongata,Neisseria elongata,species,0.0,abund,0.0,2395640,1,0,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,511,511,Alcaligenes_faecalis,Alcaligenes faecalis,species,0.0,abund,0.0,4325802,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,542,542,Zymomonas_mobilis,Zymomonas mobilis,species,0.0,abund,0.0,2360339,4,4,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,545,545,Citrobacter_koseri,Citrobacter koseri,species,0.0,abund,0.0,24202740,7,5,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,546,546,Citrobacter_freundii,Citrobacter freundii,species,9.999999999999999e-06,abund,1e-07,21102308,63,61,species,9.9999990000001e-06,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,548,548,Klebsiella_aerogenes,Klebsiella aerogenes,species,0.0,abund,0.0,28712499,6,5,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,550,550,Enterobacter_cloacae,Enterobacter cloacae,species,0.0,abund,0.0,11672214,11,10,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,562,562,Escherichia_coli,Escherichia coli,species,8.32906,abund,0.0832906,7472123,380442,265504,species,8.329059167094083,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,564,564,Escherichia_fergusonii,Escherichia fergusonii,species,0.0007,abund,7e-06,18076621,179,144,species,0.0006999999300000069,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,565,565,Atlantibacter_hermannii,Atlantibacter hermannii,species,0.0,abund,0.0,4696213,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,571,571,Klebsiella_oxytoca,Klebsiella oxytoca,species,0.0,abund,0.0,12342764,9,8,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,573,573,Klebsiella_pneumoniae,Klebsiella pneumoniae,species,0.00034,abund,3.4e-06,14868525,462,411,species,0.0003399999660000034,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,575,575,Raoultella_planticola,Raoultella planticola,species,0.0,abund,0.0,28458813,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,580,580,Kluyvera_cryocrescens,Kluyvera cryocrescens,species,0.0,abund,0.0,4849988,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,582,582,Morganella_morganii,Morganella morganii,species,7e-05,abund,7e-07,18790342,5,4,species,6.999999300000069e-05,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,584,584,Proteus_mirabilis,Proteus mirabilis,species,0.0,abund,0.0,12517507,4,3,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,587,587,Providencia_rettgeri,Providencia rettgeri,species,0.0,abund,0.0,8967809,2,2,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,614,614,Serratia_liquefaciens,Serratia liquefaciens,species,0.0,abund,0.0,5636930,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,615,615,Serratia_marcescens,Serratia marcescens,species,0.0,abund,0.0,38007251,3,3,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,621,621,Shigella_boydii,Shigella boydii,species,0.00477,abund,4.77e-05,8007425,748,715,species,0.004769999523000047,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,622,622,Shigella_dysenteriae,Shigella dysenteriae,species,0.00142,abund,1.42e-05,14441356,573,525,species,0.0014199998580000143,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,623,623,Shigella_flexneri,Shigella flexneri,species,0.02112,abund,0.0002112,7466647,4114,4027,species,0.021119997888000213,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,624,624,Shigella_sonnei,Shigella sonnei,species,0.00173,abund,1.73e-05,21371158,938,892,species,0.0017299998270000172,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,630,630,Yersinia_enterocolitica,Yersinia enterocolitica,species,0.0,abund,0.0,16760350,2,2,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,631,631,Yersinia_intermedia,Yersinia intermedia,species,0.0,abund,0.0,9857826,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,632,632,Yersinia_pestis,Yersinia pestis,species,0.0,abund,0.0,11972087,8,8,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,633,633,Yersinia_pseudotuberculosis,Yersinia pseudotuberculosis,species,0.0,abund,0.0,9649090,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,645,645,Aeromonas_salmonicida,Aeromonas salmonicida,species,0.00013000000000000002,abund,1.3e-06,9797598,1,1,species,0.00012999998700000131,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,648,648,Aeromonas_caviae,Aeromonas caviae,species,0.0,abund,0.0,13910442,1,0,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,651,651,Aeromonas_media,Aeromonas media,species,0.0,abund,0.0,20948905,3,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,654,654,Aeromonas_veronii,Aeromonas veronii,species,0.0,abund,0.0,27601934,3,3,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,670,670,Vibrio_parahaemolyticus,Vibrio parahaemolyticus,species,0.0,abund,0.0,38981933,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,729,729,Haemophilus_parainfluenzae,Haemophilus parainfluenzae,species,0.0,abund,0.0,8815138,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,731,731,Histophilus_somni,Histophilus somni,species,0.0,abund,0.0,12810272,1,0,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,817,817,Bacteroides_fragilis,Bacteroides fragilis,species,7.05237,abund,0.0705237,10652239,459839,401350,species,7.05236929476307,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,818,818,Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00065,abund,6.5e-06,32028362,437,431,species,0.0006499999350000065,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,820,820,Bacteroides_uniformis,Bacteroides uniformis,species,0.0007,abund,7e-06,7730875,116,101,species,0.0006999999300000069,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,821,821,Phocaeicola_vulgatus,Phocaeicola vulgatus,species,0.0017,abund,1.7e-05,10114784,235,206,species,0.0016999998300000168,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,823,823,Parabacteroides_distasonis,Parabacteroides distasonis,species,0.00049,abund,4.9e-06,5279052,170,138,species,0.000489999951000005,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,831,831,Butyrivibrio_fibrisolvens,Butyrivibrio fibrisolvens,species,0.0,abund,0.0,4934336,2,2,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,837,837,Porphyromonas_gingivalis,Porphyromonas gingivalis,species,0.0,abund,0.0,5791466,3,0,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,839,839,Xylanibacter_ruminicola,Xylanibacter ruminicola,species,0.0,abund,0.0,3529449,1,1,species,0.0,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,851,851,Fusobacterium_nucleatum,Fusobacterium nucleatum,species,6.18194,abund,0.0618194,4887871,134695,134346,species,6.181939381806061,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,7.2604299999999995,abund,0.0726043,8991799,427212,413593,species,7.2604292739570715,1.0000001
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,860,860,Fusobacterium_periodonticum,Fusobacterium periodonticum,species,0.0,abund,0.0,2541084,2,2,species,0.0,1.0000001
