tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,287,287,Pseudomonas_aeruginosa,Pseudomonas aeruginosa,species,0.0,abund,0.0,20861276,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,546,546,Citrobacter_freundii,Citrobacter freundii,species,0.0,abund,0.0,21102308,8,8,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,550,550,Enterobacter_cloacae,Enterobacter cloacae,species,0.0,abund,0.0,11672214,3,3,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,562,562,Escherichia_coli,Escherichia coli,species,6.6388799999999994,abund,0.0663888,7472123,432285,269958,species,6.6388799999999994,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,564,564,Escherichia_fergusonii,Escherichia fergusonii,species,0.0,abund,0.0,18076621,9,9,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,571,571,Klebsiella_oxytoca,Klebsiella oxytoca,species,0.0,abund,0.0,12342764,2,2,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,573,573,Klebsiella_pneumoniae,Klebsiella pneumoniae,species,0.0,abund,0.0,14868525,29,29,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,621,621,Shigella_boydii,Shigella boydii,species,0.00015000000000000001,abund,1.5e-06,8007425,129,129,species,0.00015000000000000001,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,622,622,Shigella_dysenteriae,Shigella dysenteriae,species,0.0,abund,0.0,14441356,17,17,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,623,623,Shigella_flexneri,Shigella flexneri,species,0.00076,abund,7.6e-06,7466647,1160,1160,species,0.0007599999999999999,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,624,624,Shigella_sonnei,Shigella sonnei,species,9.999999999999999e-06,abund,1e-07,21371158,70,69,species,1e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,817,817,Bacteroides_fragilis,Bacteroides fragilis,species,9.93449,abund,0.0993449,10652239,545098,542062,species,9.93449,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,818,818,Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00019999999999999998,abund,2e-06,32028362,75,75,species,0.00019999999999999998,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,820,820,Bacteroides_uniformis,Bacteroides uniformis,species,5.9999999999999995e-05,abund,6e-07,7730875,4,4,species,5.9999999999999995e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,821,821,Phocaeicola_vulgatus,Phocaeicola vulgatus,species,0.00258,abund,2.58e-05,10114784,178,178,species,0.0025800000000000003,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,823,823,Parabacteroides_distasonis,Parabacteroides distasonis,species,0.00013000000000000002,abund,1.3e-06,5279052,44,44,species,0.00013000000000000002,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,851,851,Fusobacterium_nucleatum,Fusobacterium nucleatum,species,5.67574,abund,0.0567574,4887871,143899,143899,species,5.675740000000001,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,853,853,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,12.13712,abund,0.1213712,8991799,542942,542759,species,12.13712,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1280,1280,Staphylococcus_aureus,Staphylococcus aureus,species,2.9999999999999997e-05,abund,3e-07,6920189,1,0,species,2.9999999999999997e-05,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1314,1314,Streptococcus_pyogenes,Streptococcus pyogenes,species,0.0,abund,0.0,4821093,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1351,1351,Enterococcus_faecalis,Enterococcus faecalis,species,0.00019999999999999998,abund,2e-06,8906089,15,10,species,0.00019999999999999998,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1396,1396,Bacillus_cereus,Bacillus cereus,species,0.0,abund,0.0,9578738,1,1,species,0.0,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1496,1496,Clostridioides_difficile,Clostridioides difficile,species,0.84537,abund,0.0084537,16267201,74882,18864,species,0.84537,1.0
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1502,1502,Clostridium_perfringens,Clostridium perfringens,species,1.9999999999999998e-05,abund,2e-07,18735296,2,2,species,2e-05,1.0
