tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,596134,31,19,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,19,19,Syntrophotalea_carbinolica,Syntrophotalea carbinolica,species,0.0,abund,0.0,3665893,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,41,41,Stigmatella_aurantiaca,Stigmatella aurantiaca,species,0.0,abund,0.0,10260756,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,43,43,Cystobacter_fuscus,Cystobacter fuscus,species,0.0,abund,0.0,24084199,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,142,142,Borrelia_turicatae,Borrelia turicatae,species,0.0,abund,0.0,1588872,3,3,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,144,144,Borrelia_coriaceae,Borrelia coriaceae,species,0.0,abund,0.0,1758903,2,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,159,159,Brachyspira_hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,6092864,1,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,162,162,Treponema_phagedenis,Treponema phagedenis,species,0.0,abund,0.0,20395031,2,0,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,163,163,Treponema_bryantii,Treponema bryantii,species,0.0,abund,0.0,3516600,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,165,165,Treponema_saccharophilum,Treponema saccharophilum,species,0.0,abund,0.0,3459320,1,1,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,167,167,Treponema_succinifaciens,Treponema succinifaciens,species,0.0,abund,0.0,2897425,7,7,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,173,173,Leptospira_interrogans,Leptospira interrogans,species,0.0,abund,0.0,7255679,7,2,species,0.0,1.0000002
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,199,199,Campylobacter_concisus,Campylobacter concisus,species,0.2633,abund,0.002633,5760548,10710,10649,species,0.26329994734001055,1.0000002
