tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,200,200,Campylobacter curvus,Campylobacter curvus,species,0.00054,abund,0.00054,200,1||29547|3031852|213849|72294|194|200,1,0,0,1,0.0006372467917574251,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.00099,abund,0.00099,287,1||1224|1236|72274|135621|286|287,6,0,0,6,0.0011682857848886127,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,562,562,Escherichia coli,Escherichia coli,species,10.83397,abund,10.83397,562,1||1224|1236|91347|543|561|562,52095,0,0,52095,12.785023378696652,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,571,571,Klebsiella oxytoca,Klebsiella oxytoca,species,0.00018,abund,0.00018,571,1||1224|1236|91347|543|570|571,1,0,0,1,0.00021241559725247507,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.03366,abund,0.03366,573,1||1224|1236|91347|543|570|573,176,0,0,176,0.039721716686212834,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,582,582,Morganella morganii,Morganella morganii,species,0.00045,abund,0.00045,582,1||1224|1236|91347|1903414|581|582,2,0,0,2,0.0005310389931311876,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,621,621,Shigella boydii,Shigella boydii,species,0.00021,abund,0.00021,621,1||1224|1236|91347|543|620|621,1,0,0,1,0.00024781819679455425,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,622,622,Shigella dysenteriae,Shigella dysenteriae,species,0.00042,abund,0.00042,622,1||1224|1236|91347|543|620|622,2,0,0,2,0.0004956363935891085,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,623,623,Shigella flexneri,Shigella flexneri,species,0.00416,abund,0.00416,623,1||1224|1236|91347|543|620|623,20,0,0,20,0.004909160469834978,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,Bacteroides fragilis,Bacteroides fragilis,species,11.86254,abund,11.86254,817,1||976|200643|171549|815|816|817,58246,0,0,58246,13.998825105729862,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00249,abund,0.00249,818,1||976|200643|171549|815|816|818,15,0,0,15,0.0029384157619925712,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.01168,abund,0.01168,820,1||976|200643|171549|815|816|820,53,0,0,53,0.013783412088382824,0.8473954
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.01323,abund,0.01323,821,1||976|200643|171549|815|909656|821,64,0,0,64,0.015612546398056915,0.8473954
