tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,52,52,Chondromyces crocatus,Chondromyces crocatus,species,1e-05,abund,1e-05,52,1||2818505||3031712|49|50|52,1,0,0,1,1.4595646585684181e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,61,61,Vitreoscilla stercoraria,Vitreoscilla stercoraria,species,5e-05,abund,5e-05,61,1||1224|28216|206351|481|59|61,1,0,0,1,7.29782329284209e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,259,259,Sphingobacterium thalpophilum,Sphingobacterium thalpophilum,species,2e-05,abund,2e-05,259,1||976|117747|200666|84566|28453|259,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.00019,abund,0.00019,287,1||1224|1236|72274|135621|286|287,12,0,0,12,0.0002773172851279994,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,301,301,Ectopseudomonas oleovorans,Ectopseudomonas oleovorans,species,4e-05,abund,4e-05,301,1||1224|1236|72274|135621|3236654|301,2,0,0,2,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,546,546,Citrobacter freundii,Citrobacter freundii,species,0.00014,abund,0.00014,546,1||1224|1236|91347|543|544|546,7,0,0,7,0.0002043390521995785,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,550,550,Enterobacter cloacae,Enterobacter cloacae,species,2e-05,abund,2e-05,550,1||1224|1236|91347|543|547|550,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,562,562,Escherichia coli,Escherichia coli,species,6.09865,abund,6.09865,562,1||1224|1236|91347|543|561|562,307112,0,0,307112,8.901374004978283,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,564,564,Escherichia fergusonii,Escherichia fergusonii,species,6e-05,abund,6e-05,564,1||1224|1236|91347|543|561|564,3,0,0,3,8.757387951410508e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,571,571,Klebsiella oxytoca,Klebsiella oxytoca,species,0.0001,abund,0.0001,571,1||1224|1236|91347|543|570|571,6,0,0,6,0.0001459564658568418,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.00208,abund,0.00208,573,1||1224|1236|91347|543|570|573,114,0,0,114,0.0030358944898223094,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,582,582,Morganella morganii,Morganella morganii,species,4e-05,abund,4e-05,582,1||1224|1236|91347|1903414|581|582,2,0,0,2,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,584,584,Proteus mirabilis,Proteus mirabilis,species,2e-05,abund,2e-05,584,1||1224|1236|91347|1903414|583|584,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,587,587,Providencia rettgeri,Providencia rettgeri,species,2e-05,abund,2e-05,587,1||1224|1236|91347|1903414|586|587,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,621,621,Shigella boydii,Shigella boydii,species,0.0004,abund,0.0004,621,1||1224|1236|91347|543|620|621,20,0,0,20,0.0005838258634273672,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,622,622,Shigella dysenteriae,Shigella dysenteriae,species,0.00062,abund,0.00062,622,1||1224|1236|91347|543|620|622,31,0,0,31,0.0009049300883124192,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,623,623,Shigella flexneri,Shigella flexneri,species,0.00421,abund,0.00421,623,1||1224|1236|91347|543|620|623,212,0,0,212,0.0061447672125730405,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,624,624,Shigella sonnei,Shigella sonnei,species,0.00101,abund,0.00101,624,1||1224|1236|91347|543|620|624,51,0,0,51,0.0014741603051541023,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,638,638,Arsenophonus nasoniae,Arsenophonus nasoniae,species,2e-05,abund,2e-05,638,1||1224|1236|91347|1903414|637|638,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,644,644,Aeromonas hydrophila,Aeromonas hydrophila,species,2e-05,abund,2e-05,644,1||1224|1236|135624|84642|642|644,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,668,668,Aliivibrio fischeri,Aliivibrio fischeri,species,2e-05,abund,2e-05,668,1||1224|1236|135623|641|511678|668,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,817,817,Bacteroides fragilis,Bacteroides fragilis,species,6.21847,abund,6.21847,817,1||976|200643|171549|815|816|817,319762,0,0,319762,9.07625904236795,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00236,abund,0.00236,818,1||976|200643|171549|815|816|818,149,0,0,149,0.0034445725942214666,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.00046,abund,0.00046,820,1||976|200643|171549|815|816|820,22,0,0,22,0.0006713997429414723,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.00043,abund,0.00043,821,1||976|200643|171549|815|909656|821,22,0,0,22,0.0006276128031844197,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.00093,abund,0.00093,823,1||976|200643|171549|2005525|375288|823,47,0,0,47,0.0013573951324686287,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,824,824,Campylobacter gracilis,Campylobacter gracilis,species,4e-05,abund,4e-05,824,1||29547|3031852|213849|72294|194|824,1,0,0,1,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,5.20099,abund,5.20099,851,1||32066|203490|203491|203492|848|851,111120,0,0,111120,7.591181193567757,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,10.28828,abund,10.28828,853,1||1239|186801|186802|216572|216851|853,304353,0,0,304353,15.016409885456284,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1006,1006,Marivirga tractuosa,Marivirga tractuosa,species,6e-05,abund,6e-05,1006,1||976|768503|768507|2762301|869806|1006,2,0,0,2,8.757387951410508e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1249,1249,Weissella paramesenteroides,Weissella paramesenteroides,species,5e-05,abund,5e-05,1249,1||1239|91061|186826|33958|46255|1249,1,0,0,1,7.29782329284209e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1280,1280,Staphylococcus aureus,Staphylococcus aureus,species,4e-05,abund,4e-05,1280,1||1239|91061|1385|90964|1279|1280,1,0,0,1,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1282,1282,Staphylococcus epidermidis,Staphylococcus epidermidis,species,0.00029,abund,0.00029,1282,1||1239|91061|1385|90964|1279|1282,7,0,0,7,0.00042327375098484126,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1290,1290,Staphylococcus hominis,Staphylococcus hominis,species,5e-05,abund,5e-05,1290,1||1239|91061|1385|90964|1279|1290,1,0,0,1,7.29782329284209e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1296,1296,Mammaliicoccus sciuri,Mammaliicoccus sciuri,species,4e-05,abund,4e-05,1296,1||1239|91061|1385|90964|2803850|1296,1,0,0,1,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00166,abund,0.00166,1351,1||1239|91061|186826|81852|1350|1351,48,0,0,48,0.002422877333223574,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1352,1352,Enterococcus faecium,Enterococcus faecium,species,0.00042,abund,0.00042,1352,1||1239|91061|186826|81852|1350|1352,12,0,0,12,0.0006130171565987356,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1353,1353,Enterococcus gallinarum,Enterococcus gallinarum,species,0.00018,abund,0.00018,1353,1||1239|91061|186826|81852|1350|1353,6,0,0,6,0.00026272163854231526,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1406,1406,Paenibacillus polymyxa,Paenibacillus polymyxa,species,2e-05,abund,2e-05,1406,1||1239|91061|1385|186822|44249|1406,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1492,1492,Clostridium butyricum,Clostridium butyricum,species,2e-05,abund,2e-05,1492,1||1239|186801|186802|31979|1485|1492,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1496,1496,Clostridioides difficile,Clostridioides difficile,species,1.02978,abund,1.02978,1496,1||1239|186801|3082720|186804|1870884|1496,36300,0,0,36300,1.5030304941005854,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1502,1502,Clostridium perfringens,Clostridium perfringens,species,9e-05,abund,9e-05,1502,1||1239|186801|186802|31979|1485|1502,3,0,0,3,0.00013136081927115763,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1509,1509,Clostridium sporogenes,Clostridium sporogenes,species,3e-05,abund,3e-05,1509,1||1239|186801|186802|31979|1485|1509,1,0,0,1,4.378693975705254e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,0.00031,abund,0.00031,1522,1||1239|186801|186802|31979|1485|1522,10,0,0,10,0.0004524650441562096,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1547,1547,Thomasclavelia ramosa,Thomasclavelia ramosa,species,3e-05,abund,3e-05,1547,1||1239|526524|526525|2810280|3025755|1547,1,0,0,1,4.378693975705254e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.00019,abund,0.00019,1590,1||1239|91061|186826|33958|2767842|1590,6,0,0,6,0.0002773172851279994,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,7e-05,abund,7e-05,1597,1||1239|91061|186826|33958|2759736|1597,2,0,0,2,0.00010216952609978925,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,10.46862,abund,10.46862,1613,1||1239|91061|186826|33958|2742598|1613,204374,0,0,204374,15.27962777598251,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1639,1639,Listeria monocytogenes,Listeria monocytogenes,species,0.00013,abund,0.00013,1639,1||1239|91061|1385|186820|1637|1639,4,0,0,4,0.00018974340561389434,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,3.67032,abund,3.67032,1680,1||201174|1760|85004|31953|1678|1680,79775,0,0,79775,5.357069357636836,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1747,1747,Cutibacterium acnes,Cutibacterium acnes,species,4e-05,abund,4e-05,1747,1||201174|1760|85009|31957|1912216|1747,1,0,0,1,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.11945,abund,0.11945,2173,1||28890|183925|2158|2159|2172|2173,1997,0,0,1997,0.17434499846599755,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.1727,abund,0.1727,4932,1||4890|4891|4892|4893|4930|4932,18575,0,0,18575,0.25206681653476576,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,5147,5147,Sordaria macrospora,Sordaria macrospora,species,1e-05,abund,1e-05,5147,1||4890|147550|5139|5148|5146|5147,2,0,0,2,1.4595646585684181e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28026,28026,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,species,9e-05,abund,9e-05,28026,1||201174|1760|85004|31953|1678|28026,2,0,0,2,0.00013136081927115763,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28038,28038,Latilactobacillus curvatus,Latilactobacillus curvatus,species,5e-05,abund,5e-05,28038,1||1239|91061|186826|33958|2767885|28038,1,0,0,1,7.29782329284209e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.00145,abund,0.00145,28116,1||976|200643|171549|815|816|28116,95,0,0,95,0.002116368754924206,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28128,28128,Prevotella corporis,Prevotella corporis,species,4.86503,abund,4.86503,28128,1||976|200643|171549|171552|838|28128,134261,0,0,134261,7.10082585087511,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28901,28901,Salmonella enterica,Salmonella enterica,species,0.00638,abund,0.00638,28901,1||1224|1236|91347|543|590|28901,315,0,0,315,0.009312022521666507,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29347,29347,[Clostridium] scindens,[Clostridium] scindens,species,5e-05,abund,5e-05,29347,1||1239|186801|3085636|186803|1506553|29347,2,0,0,2,7.29782329284209e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29360,29360,Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,species,2e-05,abund,2e-05,29360,1||1239|186801|3085636|3018741|698776|29360,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29466,29466,Veillonella parvula,Veillonella parvula,species,0.00048,abund,0.00048,29466,1||1239|909932|1843489|31977|29465|29466,10,0,0,10,0.0007005910361128407,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.00051,abund,0.00051,33038,1||1239|186801|3085636|186803|2316020|33038,17,0,0,17,0.0007443779758698932,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,34085,34085,Riemerella anatipestifer,Riemerella anatipestifer,species,5e-05,abund,5e-05,34085,1||976|117743|200644|2762318|34084|34085,1,0,0,1,7.29782329284209e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,34406,34406,Colletotrichum destructivum,Colletotrichum destructivum,species,0.0,abund,0.0,34406,1||4890|147550|1028384|681950|5455|34406,1,0,0,1,0.0,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,36822,36822,Gordonia rubripertincta,Gordonia rubripertincta,species,2e-05,abund,2e-05,36822,1||201174|1760|85007|85026|2053|36822,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,36914,36914,Lodderomyces elongisporus,Lodderomyces elongisporus,species,1e-05,abund,1e-05,36914,1||4890|3239874|2916678|766764|36913|36914,2,0,0,2,1.4595646585684181e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,37727,37727,Talaromyces marneffei,Talaromyces marneffei,species,0.0,abund,0.0,37727,1||4890|147545|5042|28568|5094|37727,1,0,0,1,0.0,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,37734,37734,Enterococcus casseliflavus,Enterococcus casseliflavus,species,3e-05,abund,3e-05,37734,1||1239|91061|186826|81852|1350|37734,1,0,0,1,4.378693975705254e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,39490,39490,Eubacterium ramulus,Eubacterium ramulus,species,3e-05,abund,3e-05,39490,1||1239|186801|186802|186806|1730|39490,1,0,0,1,4.378693975705254e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.00065,abund,0.00065,39491,1||1239|186801|3085636|186803|1766253|39491,21,0,0,21,0.0009487170280694717,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,40519,40519,Ruminococcus callidus,Ruminococcus callidus,species,7e-05,abund,7e-05,40519,1||1239|186801|186802|216572|1263|40519,2,0,0,2,0.00010216952609978925,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,40520,40520,Blautia obeum,Blautia obeum,species,8e-05,abund,8e-05,40520,1||1239|186801|3085636|186803|572511|40520,3,0,0,3,0.00011676517268547345,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,42374,42374,Candida dubliniensis,Candida dubliniensis,species,0.00154,abund,0.00154,42374,1||4890|3239874|2916678|766764|5475|42374,212,0,0,212,0.0022477295741953635,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,43771,43771,Corynebacterium urealyticum,Corynebacterium urealyticum,species,4e-05,abund,4e-05,43771,1||201174|1760|85007|1653|1716|43771,1,0,0,1,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,44252,44252,Paenibacillus macerans,Paenibacillus macerans,species,1e-05,abund,1e-05,44252,1||1239|91061|1385|186822|44249|44252,1,0,0,1,1.4595646585684181e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.00069,abund,0.00069,46503,1||976|200643|171549|2005525|375288|46503,31,0,0,31,0.0010070996144122084,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.00085,abund,0.00085,46506,1||976|200643|171549|815|816|46506,33,0,0,33,0.0012406299597831551,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,47678,47678,Bacteroides caccae,Bacteroides caccae,species,4e-05,abund,4e-05,47678,1||976|200643|171549|815|816|47678,2,0,0,2,5.8382586342736724e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,47715,47715,Lacticaseibacillus rhamnosus,Lacticaseibacillus rhamnosus,species,0.00035,abund,0.00035,47715,1||1239|91061|186826|33958|2759736|47715,10,0,0,10,0.0005108476304989463,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,54291,54291,Raoultella ornithinolytica,Raoultella ornithinolytica,species,2e-05,abund,2e-05,54291,1||1224|1236|91347|543|160674|54291,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,63577,63577,Trichoderma atroviride,Trichoderma atroviride,species,1e-05,abund,1e-05,63577,1||4890|147550|5125|5129|5543|63577,4,0,0,4,1.4595646585684181e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,66228,66228,Gleimia europaea,Gleimia europaea,species,5e-05,abund,5e-05,66228,1||201174|1760|2037|2049|2692113|66228,1,0,0,1,7.29782329284209e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,67827,67827,Citrobacter werkmanii,Citrobacter werkmanii,species,2e-05,abund,2e-05,67827,1||1224|1236|91347|543|544|67827,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,71452,71452,Enterococcus raffinosus,Enterococcus raffinosus,species,2e-05,abund,2e-05,71452,1||1239|91061|186826|81852|1350|71452,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,76517,76517,Campylobacter hominis,Campylobacter hominis,species,0.00596,abund,0.00596,76517,1||29547|3031852|213849|72294|194|76517,100,0,0,100,0.00869900536506777,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,76758,76758,Pseudomonas orientalis,Pseudomonas orientalis,species,2e-05,abund,2e-05,76758,1||1224|1236|72274|135621|286|76758,1,0,0,1,2.9191293171368362e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,76761,76761,Pseudomonas veronii,Pseudomonas veronii,species,1e-05,abund,1e-05,76761,1||1224|1236|72274|135621|286|76761,1,0,0,1,1.4595646585684181e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,76857,76857,Fusobacterium polymorphum,Fusobacterium polymorphum,species,0.00041,abund,0.00041,76857,1||32066|203490|203491|203492|848|76857,10,0,0,10,0.0005984215100130515,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.14473,abund,0.14473,76859,1||32066|203490|203491|203492|848|76859,3401,0,0,3401,0.21124279303460713,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,84112,84112,Eggerthella lenta,Eggerthella lenta,species,3e-05,abund,3e-05,84112,1||201174|84998|1643822|1643826|84111|84112,1,0,0,1,4.378693975705254e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,88431,88431,Dorea longicatena,Dorea longicatena,species,3e-05,abund,3e-05,88431,1||1239|186801|3085636|186803|189330|88431,1,0,0,1,4.378693975705254e-05,0.6851358000000001
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,92644,92644,Streptomyces malaysiensis,Streptomyces malaysiensis,species,1e-05,abund,1e-05,92644,1||201174|1760|85011|2062|1883|92644,1,0,0,1,1.4595646585684181e-05,0.6851358000000001
