tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,562,562,Escherichia coli,Escherichia coli,species,10.37331,abund,10.37331,562,1||1224|1236|91347|543|561|562,459361,0,0,459361,10.430711247063716,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,8e-05,abund,8e-05,573,1||1224|1236|91347|543|570|573,4,0,0,4,8.044268413506366e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,623,623,Shigella flexneri,Shigella flexneri,species,0.00025,abund,0.00025,623,1||1224|1236|91347|543|620|623,11,0,0,11,0.00025138338792207395,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,624,624,Shigella sonnei,Shigella sonnei,species,0.00011,abund,0.00011,624,1||1224|1236|91347|543|620|624,5,0,0,5,0.00011060869068571256,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,817,817,Bacteroides fragilis,Bacteroides fragilis,species,12.03809,abund,12.03809,817,1||976|200643|171549|815|816|817,544345,0,0,544345,12.104703393243357,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00056,abund,0.00056,818,1||976|200643|171549|815|816|818,31,0,0,31,0.0005630987889454456,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,7.68124,abund,7.68124,851,1||32066|203490|203491|203492|848|851,144315,0,0,144315,7.723744538570205,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,20.87144,abund,20.87144,853,1||1239|186801|186802|216572|216851|853,542951,0,0,542951,20.98693319204916,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1280,1280,Staphylococcus aureus,Staphylococcus aureus,species,4e-05,abund,4e-05,1280,1||1239|91061|1385|90964|1279|1280,1,0,0,1,4.022134206753183e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00217,abund,0.00217,1351,1||1239|91061|186826|81852|1350|1351,55,0,0,55,0.0021820078071636017,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1496,1496,Clostridioides difficile,Clostridioides difficile,species,2.41405,abund,2.41405,1496,1||1239|186801|3082720|186804|1870884|1496,74831,0,0,74831,2.4274082704531303,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1502,1502,Clostridium perfringens,Clostridium perfringens,species,7e-05,abund,7e-05,1502,1||1239|186801|186802|31979|1485|1502,2,0,0,2,7.03873486181807e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,1.69651,abund,1.69651,1613,1||1239|91061|186826|33958|2742598|1613,29125,0,0,29125,1.7058977257747108,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,2.97191,abund,2.97191,1680,1||201174|1760|85004|31953|1678|1680,56803,0,0,56803,2.988355217597963,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.10461,abund,0.10461,2173,1||28890|183925|2158|2159|2172|2173,1538,0,0,1538,0.10518886484211262,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.05817,abund,0.05817,4932,1||4890|4891|4892|4893|4930|4932,5502,0,0,5502,0.05849188670170817,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.0013,abund,0.0013,28116,1||976|200643|171549|815|816|28116,75,0,0,75,0.0013071936171947845,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28128,28128,Prevotella corporis,Prevotella corporis,species,8.87256,abund,8.87256,28128,1||976|200643|171549|171552|838|28128,215321,0,0,215321,8.921656769367505,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01016,abund,0.01016,28901,1||1224|1236|91347|543|590|28901,441,0,0,441,0.010216220885153086,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,33035,33035,Blautia producta,Blautia producta,species,2e-05,abund,2e-05,33035,1||1239|186801|3085636|186803|572511|33035,1,0,0,1,2.0110671033765916e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,42374,42374,Candida dubliniensis,Candida dubliniensis,species,2e-05,abund,2e-05,42374,1||4890|3239874|2916678|766764|5475|42374,3,0,0,3,2.0110671033765916e-05,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.02787,abund,0.02787,76859,1||32066|203490|203491|203492|848|76859,576,0,0,576,0.028024220085552803,0.9944969
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,107400,107400,Methylobacterium fujisawaense,Methylobacterium fujisawaense,species,4e-05,abund,4e-05,107400,1||1224|28211|356|119045|407|107400,2,0,0,2,4.022134206753183e-05,0.9944969
