tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,20.872152136693394,abund,20.87,413029,403685,21.293502328974398,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929495,2929495,                    Faecalibacterium sp. I4-3-84,Faecalibacterium sp. I4-3-84,species,0.005710381574771635,abund,0.01,113,113,0.0058256581575969425,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929494,2929494,                    Faecalibacterium sp. I4-1-79,Faecalibacterium sp. I4-1-79,species,0.0007074809030690522,abund,0.0,14,14,0.0007217629575783823,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929489,2929489,                    Faecalibacterium sp. IP-3-29,Faecalibacterium sp. IP-3-29,species,0.0005053435021921801,abund,0.0,10,10,0.0005155449696988444,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3141184,3141184,                    Faecalibacterium sp. i21-0019-B1,Faecalibacterium sp. i21-0019-B1,species,0.00025267175109609005,abund,0.0,5,5,0.0002577724848494222,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929492,2929492,                    Faecalibacterium sp. I3-3-33,Faecalibacterium sp. I3-3-33,species,0.00010106870043843603,abund,0.0,2,2,0.00010310899393976888,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929488,2929488,                    Faecalibacterium sp. IP-1-18,Faecalibacterium sp. IP-1-18,species,5.0534350219218014e-05,abund,0.0,1,1,5.155449696988444e-05,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929493,2929493,                    Faecalibacterium sp. I3-3-89,Faecalibacterium sp. I3-3-89,species,5.0534350219218014e-05,abund,0.0,1,1,5.155449696988444e-05,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3141185,3141185,                    Faecalibacterium sp. i25-0019-C1,Faecalibacterium sp. i25-0019-C1,species,5.0534350219218014e-05,abund,0.0,1,1,5.155449696988444e-05,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,411483,411483,                  Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,0.0007074809030690522,abund,0.0,14,14,0.0007217629575783823,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3030638,3030638,                  Faecalibacterium taiwanense,Faecalibacterium taiwanense,species,0.0006064122026306161,abund,0.0,12,12,0.0006186539636386133,0.9802122644846608
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929491,2929491,                  Faecalibacterium wellingii,Faecalibacterium wellingii,species,0.00020213740087687205,abund,0.0,4,4,0.00020621798787953777,0.9802122644846608
