tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,28116,Bacteroides ovatus,Bacteroides ovatus,species,3.42641295872107,abund_weighted,0.0342641295872107,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0138840978302097,0.0342641295872107,8895000,0.8711264792607272,10312067,3.6676219073701835,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,2.15139215057466,abund_weighted,0.0215139215057466,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0110542080757217,0.0215139215057466,7082000,0.864744857930898,10312067,2.302843550339901,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,1.89918277295909,abund_weighted,0.0189918277295909,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0107108127387182,0.0189918277295909,6862000,0.8638650120535457,10312067,2.0328794071584184,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,154046,Hungatella hathewayi,Hungatella hathewayi,species,1.6823785182931799,abund_weighted,0.0168237851829318,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella hathewayi,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0106015505860353,0.0168237851829318,6792000,0.8635793291101359,10312067,1.8008127988414355,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.76582444625311,abund_weighted,0.0176582444625311,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0096447263061119,0.0176582444625311,6179000,0.8609483415885283,10312067,1.8901330638397646,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,357276,Phocaeicola dorei,Phocaeicola dorei,species,1.89428559764012,abund_weighted,0.0189428559764012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0084475252902861,0.0189428559764012,5412000,0.8572752912183935,10312067,2.0276374857378343,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,674529,Bacteroides faecis,Bacteroides faecis,species,1.3512421903387501,abund_weighted,0.0135124219033875,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0083132889312756,0.0135124219033875,5326000,0.8568324370396235,10312067,1.4463654904279464,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,2025876,Parabacteroides sp. CT06,Parabacteroides sp. CT06,species,1.93937840008215,abund_weighted,0.0193937840008215,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CT06,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0082602187428296,0.0193937840008215,5292000,0.8566554436599819,10312067,2.075904682976907,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,47678,Bacteroides caccae,Bacteroides caccae,species,1.2939597851720699,abund_weighted,0.0129395978517207,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0077919523741885,0.0129395978517207,4992000,0.8550442484045049,10312067,1.3850505798707002,0.9342328749415535
Sourmash,default,Sourmash_default,simulated,simulated,pacbio,sim_pacbio,,2709720,Blautia sp. MSK.20.9,Blautia sp. MSK.20.9,species,1.47074296549857,abund_weighted,0.0147074296549857,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia sp. MSK.20.9,,a12ae85f,/home/Users/pacbio_bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0073221251176519,0.0147074296549857,4691000,0.8533306153045205,10312067,1.5742787531327038,0.9342328749415535
