tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Acetatifactor intestinalis,Acetatifactor intestinalis,species,0.2121,abund,0.2121,0.7232,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bariatricus comes,Bariatricus comes,species,0.2209,abund,0.2209,0.8554,0.8282404109332233,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bariatricus sp004560705,Bariatricus sp004560705,species,0.2209,abund,0.2209,0.6937,0.8282404109332233,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bifidobacterium infantis,Bifidobacterium infantis,species,0.2121,abund,0.2121,0.6887,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bifidobacterium vaginale,Bifidobacterium vaginale,species,0.2121,abund,0.2121,0.4059,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Dysosmobacter faecalis,Dysosmobacter faecalis,species,0.2121,abund,0.2121,0.8296,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Faecalibacterium sp900758465,Faecalibacterium sp900758465,species,0.2209,abund,0.2209,0.7141,0.8282404109332233,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Olsenella_F sp001189515,Olsenella sp001189515,species,0.2121,abund,0.2121,0.7823,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Otoolea saccharolyticum_A,Otoolea saccharolyticum,species,0.2121,abund,0.2121,0.9553,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Pauljensenia odontolytica,Pauljensenia odontolytica,species,0.2121,abund,0.2121,0.5978,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Scatomonas hejianensis,Scatomonas hejianensis,species,0.2121,abund,0.2121,0.9615,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Schaedlerella glycyrrhizinilytica_A,Schaedlerella glycyrrhizinilytica,species,0.2121,abund,0.2121,0.7304,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Streptococcus sp008727815,Streptococcus sp008727815,species,0.2386,abund,0.2386,0.5843,0.8946046267481534,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Turicibacter sp017888305,Turicibacter sp017888305,species,0.2121,abund,0.2121,0.6455,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter_A concisus,Campylobacter concisus,species,0.2121,abund,0.2121,0.4479,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.2209,abund,0.2209,0.4794,0.8282404109332233,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus_D parainfluenzae,Haemophilus parainfluenzae,species,0.2121,abund,0.2121,0.5214,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.2121,abund,0.2121,0.569,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus_A parahaemolyticus,Haemophilus parahaemolyticus,species,0.2121,abund,0.2121,0.4964,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.2209,abund,0.2209,1.5959,0.8282404109332233,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.2121,abund,0.2121,1.127,0.7952457725619587,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.2209,abund,0.2209,1.3093,0.8282404109332233,0.26671
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.3712,abund,0.3712,2.0497,1.3917738367515278,0.26671
