tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.0023,abund,0.0023,0.0046,0.0023000046000091995,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,562,562,Escherichia coli,Escherichia coli,species,8.9624,abund,8.9624,14.3885,8.962417924835849,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.0065,abund,0.0065,0.0115,0.006500013000026,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,817,817,Bacteroides fragilis,Bacteroides fragilis,species,10.5325,abund,10.5325,17.7392,10.532521065042129,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.0029,abund,0.0029,0.0046,0.0029000058000115997,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.0036,abund,0.0036,0.0062,0.0036000072000143997,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.0019,abund,0.0019,0.003,0.0019000038000075998,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,7.1961,abund,7.1961,5.7427,7.196114392228784,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,12.5605,abund,12.5605,11.9304,12.56052512105024,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.0019,abund,0.0019,0.0017,0.0019000038000075998,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1496,1496,Clostridioides difficile,Clostridioides difficile,species,1.3738,abund,1.3738,1.8433,1.373802747605495,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,8.4391,abund,8.4391,5.246,8.439116878233756,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,6.5419,abund,6.5419,4.456,6.541913083826167,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.203,abund,0.203,0.1226,0.20300040600081198,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.2991,abund,0.2991,1.1854,0.29910059820119633,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,5476,5476,Candida albicans,Candida albicans,species,0.3061,abund,0.3061,1.425,0.30610061220122436,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,10677,10677,Muvirus mu,Muvirus mu,species,1.8317,abund,1.8317,0.0219,1.831703663407327,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.0032,abund,0.0032,0.0067,0.0032000064000128,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28128,28128,Prevotella corporis,Prevotella corporis,species,7.4578,abund,7.4578,7.1643,7.457814915629831,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28901,28901,Salmonella enterica,Salmonella enterica,species,0.0115,abund,0.0115,0.0184,0.011500023000045998,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.0059,abund,0.0059,0.0064,0.0059000118000236,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.0066,abund,0.0066,0.0095,0.0066000132000264,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.004,abund,0.004,0.0051,0.0040000080000159996,0.999998
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,158836,158836,Enterobacter hormaechei,Enterobacter hormaechei,species,0.0036,abund,0.0036,0.0058,0.0036000072000143997,0.999998
