tool,db,tool_db,data_type,project,technology,sample,raw_path,rows,species_rows,genus_rows,species_no_taxid,genus_no_taxid,species_value_sum,genus_value_sum,out_path
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Qiagen_report.tsv,643,464,179,0,0,95.88316368044369,97.25942777436441,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Zymo_report.tsv,1532,1086,446,0,0,93.63276192701181,97.00651966456101,results/prepared/20260713_014947/analysis-prep/tables/abundance/Kraken2_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Qiagen_report.tsv,2936,2182,754,0,0,100.00001870003965,100.00001870003965,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Zymo_report.tsv,6147,4826,1321,0,0,99.99990826559493,99.99990826559493,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuge_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Qiagen_report.tsv,451,296,155,0,0,99.99140000000003,99.99996999999999,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Zymo_report.tsv,1349,905,444,0,0,100.00000999999999,100.0,results/prepared/20260713_014947/analysis-prep/tables/abundance/Centrifuger_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Qiagen.tre,179,112,67,0,0,85.04839,85.04835999999997,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Zymo.tre,345,211,134,0,0,69.30845,69.30841999999998,results/prepared/20260713_014947/analysis-prep/tables/abundance/Ganon2_unified/ZymoMockD6331_ont_D6331_Zymo.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Qiagen-report.csv.summarized.csv,65,38,27,0,0,83.33756478569165,83.33756478569164,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_unified/ZymoMockD6331_ont_D6331_Qiagen.csv
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Zymo-report.csv.summarized.csv,69,44,25,0,0,71.24894968724011,71.24894968724013,results/prepared/20260713_014947/analysis-prep/tables/abundance/Sourmash_unified/ZymoMockD6331_ont_D6331_Zymo.csv
