tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2479767,2479767,                    Blautia sp. SC05B48,Blautia sp. SC05B48,species,2.4301052373486125,fraction_reads,2.43,30130,30130,2.572160059553231,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1912897,1912897,                    Blautia sp. N6H1-15,Blautia sp. N6H1-15,species,0.25454404676641956,fraction_reads,0.25,3156,3156,0.2694237354115499,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1796616,1796616,                    Blautia sp. YL58,Blautia sp. YL58,species,0.17614835175470858,fraction_reads,0.18,2184,2184,0.18644532260419042,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,33038,33038,                  [Ruminococcus] gnavus,[Ruminococcus] gnavus,species,0.48311750321002944,fraction_reads,0.48,5990,0,0.5113587373622255,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,33035,33035,                  Blautia producta,Blautia producta,species,0.38294522625062105,fraction_reads,0.38,4748,2414,0.4053307654417107,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2109691,2109691,                  Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,species,1.0039004277888544,fraction_reads,1.0,12447,12447,1.0625846751164643,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2109690,2109690,                  Lachnospiraceae bacterium Choco86,Lachnospiraceae bacterium Choco86,species,0.6144222269539239,fraction_reads,0.61,7618,7618,0.6503390419408069,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2594789,2594789,                  Lachnospiraceae bacterium KGMB03038,Lachnospiraceae bacterium KGMB03038,species,0.2061516424382029,fraction_reads,0.21,2556,2556,0.21820249293787117,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2093742,2093742,                  Lachnospiraceae bacterium KM106-2,Lachnospiraceae bacterium KM106-2,species,0.11509326829394191,fraction_reads,0.12,1427,1427,0.12182118834989912,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,712991,712991,                  Lachnospiraceae bacterium oral taxon 500,Lachnospiraceae bacterium oral taxon 500,species,0.015243607363388242,fraction_reads,0.02,189,189,0.016134691379208786,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,166486,166486,                  Roseburia intestinalis,Roseburia intestinalis,species,1.7234148261422222,fraction_reads,1.72,21368,0,1.8241591819626104,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,301301,301301,                  Roseburia hominis,Roseburia hominis,species,1.10794409709452,fraction_reads,1.11,13737,13737,1.1727103464348734,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,39488,39488,                  Anaerobutyricum hallii,Anaerobutyricum hallii,species,1.2502177658194769,fraction_reads,1.25,15501,15501,1.3233007993074888,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,29347,29347,                  [Clostridium] scindens,[Clostridium] scindens,species,0.39181716704412745,fraction_reads,0.39,4858,3896,0.4147213265618851,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1871021,1871021,                  Lachnoclostridium phocaeense,Lachnoclostridium phocaeense,species,0.3046301852461238,fraction_reads,0.3,3777,3777,0.3224377213718074,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1834196,1834196,                    Lachnoclostridium sp. YL32,Lachnoclostridium sp. YL32,species,0.250995270449017,fraction_reads,0.25,3112,3112,0.2656675109634801,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,89153,89153,                  [Clostridium] hylemonae,[Clostridium] hylemonae,species,0.19534400547156786,fraction_reads,0.2,2422,0,0.20676308211874964,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,66219,66219,                  Lachnoclostridium phytofermentans,Lachnoclostridium phytofermentans,species,0.07992812114877115,fraction_reads,0.08,991,0,0.08460041881902595,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,649756,649756,                  Anaerostipes hadrus,Anaerostipes hadrus,species,0.8240419917023157,fraction_reads,0.82,10217,10217,0.8722123905892919,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1229621,1229621,                  Anaerostipes rhamnosivorans,Anaerostipes rhamnosivorans,species,0.07670196086022338,fraction_reads,0.08,951,951,0.08118566932078071,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,39485,39485,                  Lachnospira eligens,Lachnospira eligens,species,0.7235470987140525,fraction_reads,0.72,8971,0,0.7658429437189525,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,84030,84030,                  Lacrimispora saccharolytica,Lacrimispora saccharolytica,species,0.3578618300071621,fraction_reads,0.36,4437,0,0.3787810880928539,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,208479,208479,                  Enterocloster bolteae,Enterocloster bolteae,species,0.2668034558629011,fraction_reads,0.27,3308,3308,0.2823997835048818,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2696063,2696063,                    Anaerocolumna sp. CBA3638,Anaerocolumna sp. CBA3638,species,0.26164159940122467,fraction_reads,0.26,3244,3244,0.27693618430768946,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,43305,43305,                  Butyrivibrio proteoclasticus,Butyrivibrio proteoclasticus,species,0.058232193208287354,fraction_reads,0.06,722,0,0.061636228443326675,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,185008,185008,                  Butyrivibrio hungatei,Butyrivibrio hungatei,species,0.04435970396753192,fraction_reads,0.04,550,550,0.04695280560087213,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,185007,185007,                  Pseudobutyrivibrio xylanivorans,Pseudobutyrivibrio xylanivorans,species,0.0750082267087358,fraction_reads,0.08,930,930,0.07939292583420196,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1679721,1679721,                  Herbinix luporum,Herbinix luporum,species,0.03193898685662298,fraction_reads,0.03,396,396,0.033806020032627934,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2497860,2497860,                    Cellulosilyticum sp. WCF-2,Cellulosilyticum sp. WCF-2,species,0.0129852951614048,fraction_reads,0.01,161,161,0.013744366730437114,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,29360,29360,                  Cellulosilyticum lentocellum,Cellulosilyticum lentocellum,species,0.005807088519385997,fraction_reads,0.01,72,0,0.006146549096841441,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,617123,617123,                  Lachnoanaerobaculum umeaense,Lachnoanaerobaculum umeaense,species,0.025325358265100042,fraction_reads,0.03,314,314,0.026805783561225177,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,28446,28446,                  Anaerotignum propionicum,Anaerotignum propionicum,species,0.017179303536516907,fraction_reads,0.02,213,0,0.01818354107815593,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,5.834591535845867,fraction_reads,5.83,72341,65310,6.175659836313983,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,292800,292800,                  Flavonifractor plautii,Flavonifractor plautii,species,1.2763496641567138,fraction_reads,1.28,15825,15825,1.3509602702432753,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1550024,1550024,                  Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,1.1497228728312139,fraction_reads,1.15,14255,14255,1.2169313524371494,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1160721,1160721,                  Ruminococcus bicirculans,Ruminococcus bicirculans,species,0.7502435751017854,fraction_reads,0.75,9302,9302,0.794099995816932,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2564099,2564099,                    Ruminococcus sp. JE7A12,Ruminococcus sp. JE7A12,species,0.02468012620739049,fraction_reads,0.02,306,306,0.02612283366157613,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1264,1264,                  Ruminococcus albus,Ruminococcus albus,species,0.020082847796209908,fraction_reads,0.02,249,0,0.021256815626576653,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,2507162,2507162,                    Caproiciproducens sp. NJN-50,Caproiciproducens sp. NJN-50,species,0.02105069588277424,fraction_reads,0.02,261,261,0.022281240476050228,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,1572656,1572656,                    Ruminococcaceae bacterium CPB6,Ruminococcaceae bacterium CPB6,species,0.008871940793506386,fraction_reads,0.01,110,110,0.009390561120174426,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,29343,29343,                  [Clostridium] cellulosi,[Clostridium] cellulosi,species,0.008549324764651608,fraction_reads,0.01,106,106,0.009049086170349902,0.9447721685604228
Centrifuge,default,Centrifuge_default,simulated,simulated,pacbio,sim_pacbio,253239,253239,                  Ethanoligenens harbinense,Ethanoligenens harbinense,species,0.005565126497744914,fraction_reads,0.01,69,69,0.0058904428844730496,0.9447721685604228
