tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1134687,1134687,                    Klebsiella michiganensis,Klebsiella michiganensis,species,6.717876058904228,fraction_reads,6.72,200135,200135,8.426694265123713,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3390273,3390273,                    Klebsiella pneumoniae complex,Klebsiella pneumoniae complex,species,0.22909288281420717,fraction_reads,0.23,6825,24,0.2873669690932088,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,573,573,                      Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.18817504777383814,fraction_reads,0.19,5606,5233,0.23604091263538876,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1463165,1463165,                      Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,species,0.03655416108200317,fraction_reads,0.04,1089,1066,0.045852399903663646,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,244366,244366,                      Klebsiella variicola,Klebsiella variicola,species,0.0032895388301527185,fraction_reads,0.0,98,59,0.0041262949408255615,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2026240,2026240,                      Klebsiella quasivariicola,Klebsiella quasivariicola,species,0.00026853378205328313,fraction_reads,0.0,8,8,0.0003368404033326989,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,571,571,                    Klebsiella oxytoca,Klebsiella oxytoca,species,0.0020475700881562838,fraction_reads,0.0,61,61,0.0025684080754118294,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2675718,2675718,                      Klebsiella sp. WP7-S18-ESBL-04,Klebsiella sp. WP7-S18-ESBL-04,species,0.0003692339503232643,fraction_reads,0.0,11,11,0.00046315555458246104,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2675716,2675716,                      Klebsiella sp. WP7-S18-CRE-02,Klebsiella sp. WP7-S18-CRE-02,species,0.00020140033653996236,fraction_reads,0.0,6,6,0.00025263030249952423,0.7972136934774151
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2829836,2829836,                      Klebsiella sp. P1927,Klebsiella sp. P1927,species,0.00020140033653996236,fraction_reads,0.0,6,6,0.00025263030249952423,0.7972136934774151
