tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,3390273,3390273,                    Klebsiella pneumoniae complex,Klebsiella pneumoniae complex,species,2.6476269743116547,fraction_reads,2.65,63240,700,2.9984609417746677,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,573,573,                      Klebsiella pneumoniae,Klebsiella pneumoniae,species,2.1875996942082954,fraction_reads,2.19,52252,40450,2.4774759824416503,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,1463165,1463165,                      Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,species,0.3623112560988782,fraction_reads,0.36,8654,8653,0.4103206987684689,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,2026240,2026240,                      Klebsiella quasivariicola,Klebsiella quasivariicola,species,0.06820025839901463,fraction_reads,0.07,1629,1629,0.0772373952269281,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,244366,244366,                      Klebsiella variicola,Klebsiella variicola,species,0.00020933167096075703,fraction_reads,0.0,5,5,0.00023706996693348103,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,1134687,1134687,                    Klebsiella michiganensis,Klebsiella michiganensis,species,0.007075410478473587,fraction_reads,0.01,169,169,0.008012964882351658,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,548,548,                    Klebsiella aerogenes,Klebsiella aerogenes,species,0.000627995012882271,fraction_reads,0.0,15,15,0.000711209900800443,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,2058152,2058152,                    Klebsiella grimontii,Klebsiella grimontii,species,8.37326683843028e-05,fraction_reads,0.0,2,2,9.482798677339239e-05,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,571,571,                    Klebsiella oxytoca,Klebsiella oxytoca,species,4.18663341921514e-05,fraction_reads,0.0,1,1,4.741399338669619e-05,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,1259973,1259973,                    Klebsiella electrica,Klebsiella electrica,species,4.18663341921514e-05,fraction_reads,0.0,1,1,4.741399338669619e-05,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,562,562,                  Escherichia coli,Escherichia coli,species,2.318055191551039,fraction_reads,2.32,55368,53469,2.625217985834595,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,564,564,                  Escherichia fergusonii,Escherichia fergusonii,species,0.0822673466875775,fraction_reads,0.08,1965,1965,0.09316849700485803,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,208962,208962,                  Escherichia albertii,Escherichia albertii,species,0.004437831424368049,fraction_reads,0.0,106,106,0.005025883298989797,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,28901,28901,                  Salmonella enterica,Salmonella enterica,species,1.858488441123793,fraction_reads,1.86,44391,15095,2.1047545804288315,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,354276,354276,                  Enterobacter cloacae complex,Enterobacter cloacae complex,species,0.5331677659370481,fraction_reads,0.53,12735,0,0.6038172057795761,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,158836,158836,                    Enterobacter hormaechei,Enterobacter hormaechei,species,0.44738364717732987,fraction_reads,0.45,10686,5147,0.5066659333302356,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,61645,61645,                    Enterobacter asburiae,Enterobacter asburiae,species,0.08109508933019727,fraction_reads,0.08,1937,1937,0.09184090519003055,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,1812935,1812935,                    Enterobacter roggenkampii,Enterobacter roggenkampii,species,0.004437831424368049,fraction_reads,0.0,106,106,0.005025883298989797,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,299767,299767,                    Enterobacter ludwigii,Enterobacter ludwigii,species,0.0001674653367686056,fraction_reads,0.0,4,4,0.00018965597354678477,0.8829953185065107
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,208224,208224,                    Enterobacter kobei,Enterobacter kobei,species,4.18663341921514e-05,fraction_reads,0.0,1,1,4.741399338669619e-05,0.8829953185065107
