tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,3390273,3390273,                    Klebsiella pneumoniae complex,Klebsiella pneumoniae complex,species,2.9324990482827147,fraction_reads,2.93,36359,253,3.1318802479387253,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,573,573,                      Klebsiella pneumoniae,Klebsiella pneumoniae,species,2.3788899427679167,fraction_reads,2.38,29495,22559,2.5406311480775794,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,1463165,1463165,                      Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,species,0.42601446610273386,fraction_reads,0.43,5282,5282,0.4549792752719367,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,2026240,2026240,                      Klebsiella quasivariicola,Klebsiella quasivariicola,species,0.10718917558699986,fraction_reads,0.11,1329,1329,0.11447698917766072,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,1134687,1134687,                    Klebsiella michiganensis,Klebsiella michiganensis,species,0.005807088519385997,fraction_reads,0.01,72,72,0.006201913634907126,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,548,548,                    Klebsiella aerogenes,Klebsiella aerogenes,species,8.065400721369441e-05,fraction_reads,0.0,1,1,8.613768937371009e-05,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,1259973,1259973,                    Klebsiella electrica,Klebsiella electrica,species,8.065400721369441e-05,fraction_reads,0.0,1,1,8.613768937371009e-05,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,562,562,                  Escherichia coli,Escherichia coli,species,2.414377705941942,fraction_reads,2.41,29935,29422,2.5785317314020113,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,564,564,                  Escherichia fergusonii,Escherichia fergusonii,species,0.15904970222540535,fraction_reads,0.16,1972,1972,0.16986352344495628,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,208962,208962,                  Escherichia albertii,Escherichia albertii,species,0.00475858642560797,fraction_reads,0.0,59,59,0.005082123673048895,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,28901,28901,                  Salmonella enterica,Salmonella enterica,species,1.719543433795965,fraction_reads,1.72,21320,6361,1.8364555374474996,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,354276,354276,                  Enterobacter cloacae complex,Enterobacter cloacae complex,species,0.585386784356994,fraction_reads,0.59,7258,0,0.6251873494743878,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,158836,158836,                    Enterobacter hormaechei,Enterobacter hormaechei,species,0.499086996638341,fraction_reads,0.5,6188,3073,0.533020021844518,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,61645,61645,                    Enterobacter asburiae,Enterobacter asburiae,species,0.08146054728583135,fraction_reads,0.08,1010,1010,0.08699906626744719,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,1812935,1812935,                    Enterobacter roggenkampii,Enterobacter roggenkampii,species,0.00475858642560797,fraction_reads,0.0,59,59,0.005082123673048895,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,299767,299767,                    Enterobacter ludwigii,Enterobacter ludwigii,species,8.065400721369441e-05,fraction_reads,0.0,1,1,8.613768937371009e-05,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,881260,881260,                  Enterobacter bugandensis,Enterobacter bugandensis,species,0.1787292799855468,fraction_reads,0.18,2216,2216,0.19088111965214155,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,3116480,3116480,                    Enterobacter sp. ECC-219,Enterobacter sp. ECC-219,species,0.0010485020937780272,fraction_reads,0.0,13,13,0.001119789961858231,0.9363381790260867
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,2497436,2497436,                  Enterobacter quasiroggenkampii,Enterobacter quasiroggenkampii,species,8.065400721369441e-05,fraction_reads,0.0,1,1,8.613768937371009e-05,0.9363381790260867
