tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,418240,418240,                  Blautia_wexlerae,Blautia wexlerae,species,1.8901266590529284,fraction_reads,1.89,23435,0,2.0041956833892502,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,40520,40520,                  Blautia_obeum,Blautia obeum,species,1.1250427466238233,fraction_reads,1.13,13949,0,1.1929390052313484,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,2479767,2479767,                    Blautia_sp._SC05B48,Blautia_sp._SC05B48,species,0.1399347025157598,fraction_reads,0.14,1735,1735,0.14837975296267755,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,2877527,2877527,                    Blautia_sp._NBRC_113351,Blautia_sp._NBRC_113351,species,0.017824535594226466,fraction_reads,0.02,221,221,0.018900245190058642,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,2860051,2860051,                    Blautia_sp._KLE_1732_HM_1032,Blautia_sp._KLE_1732_HM_1032,species,0.006452320577095552,fraction_reads,0.01,80,80,0.006841717715858331,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,33035,33035,                  Blautia_producta,Blautia producta,species,0.07363710858610299,fraction_reads,0.07,913,818,0.07808110343223322,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1737424,1737424,                  Blautia_massiliensis,Blautia massiliensis,species,0.06282947161946795,fraction_reads,0.06,779,779,0.06662122625817052,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1796616,1796616,                  Blautia_pseudococcoides,Blautia pseudococcoides,species,0.06065181342469819,fraction_reads,0.06,752,752,0.06431214652906832,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1912897,1912897,                  Blautia_argi,Blautia argi,species,0.05500603291973958,fraction_reads,0.06,682,682,0.058325643527692275,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,1322,1322,                  Blautia_hansenii,Blautia hansenii,species,0.04984417645806314,fraction_reads,0.05,618,0,0.05285226935500561,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,2779518,2779518,                  Blautia_liquoris,Blautia liquoris,species,0.01096894498106244,fraction_reads,0.01,136,136,0.011630920116959164,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,166486,166486,                  Roseburia_intestinalis,Roseburia intestinalis,species,1.3073208029267727,fraction_reads,1.31,16209,14627,1.3862175307043463,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,301301,301301,                  Roseburia_hominis,Roseburia hominis,species,1.0672138234516044,fraction_reads,1.07,13232,13216,1.1316201102029682,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,2763062,2763062,                    Roseburia_sp._NSJ-69,Roseburia_sp._NSJ-69,species,0.15421046179258371,fraction_reads,0.15,1912,1912,0.16351705340901415,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,88431,88431,                  Dorea_longicatena,Dorea longicatena,species,1.0128530225895744,fraction_reads,1.01,12558,12558,1.0739786384468617,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,39486,39486,                  Dorea_formicigenerans,Dorea formicigenerans,species,0.8613041430350425,fraction_reads,0.86,10679,10679,0.913283793595639,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,410072,410072,                  Coprococcus_comes,Coprococcus comes,species,1.0893130214281566,fraction_reads,1.09,13506,13161,1.1550529933797828,0.9430848867295123
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,33043,33043,                  Coprococcus_eutactus,Coprococcus eutactus,species,0.059764619345347554,fraction_reads,0.06,741,414,0.0633714103431378,0.9430848867295123
