tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,853,853,                  Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,20.980144043111864,fraction_reads,20.98,415166,415163,21.3761674315245,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3030638,3030638,                  Faecalibacterium_taiwanense,Faecalibacterium taiwanense,species,0.012279847103269978,fraction_reads,0.01,243,243,0.012511642778696846,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929489,2929489,                    Faecalibacterium_sp._IP-3-29,Faecalibacterium_sp._IP-3-29,species,0.0016170992070149764,fraction_reads,0.0,32,32,0.0016476237404045228,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3141185,3141185,                    Faecalibacterium_sp._i25-0019-C1,Faecalibacterium_sp._i25-0019-C1,species,0.00025267175109609005,fraction_reads,0.0,5,5,0.00025744120943820665,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2929493,2929493,                    Faecalibacterium_sp._I3-3-89,Faecalibacterium_sp._I3-3-89,species,0.00015160305065765403,fraction_reads,0.0,3,3,0.000154464725662924,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2714358,2714358,                  Pusillibacter_faecalis,Pusillibacter faecalis,species,5.0534350219218014e-05,fraction_reads,0.0,1,1,5.148824188764134e-05,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,411486,411486,                    Clostridium_sp._M62/1,Clostridium_sp._M62/1,species,0.00020213740087687205,fraction_reads,0.0,4,4,0.00020595296755056535,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,39490,39490,                  Eubacterium_ramulus,Eubacterium ramulus,species,5.0534350219218014e-05,fraction_reads,0.0,1,1,5.148824188764134e-05,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,53442,53442,                  Eubacterium_callanderi,Eubacterium callanderi,species,5.0534350219218014e-05,fraction_reads,0.0,1,1,5.148824188764134e-05,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,301301,301301,                  Roseburia_hominis,Roseburia hominis,species,5.689561422481317,fraction_reads,5.69,112588,112587,5.796958177645761,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,166486,166486,                  Roseburia_intestinalis,Roseburia intestinalis,species,0.00010106870043843603,fraction_reads,0.0,2,0,0.00010297648377528268,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,301302,301302,                  Roseburia_faecis,Roseburia faecis,species,5.0534350219218014e-05,fraction_reads,0.0,1,1,5.148824188764134e-05,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,33039,33039,                  [Ruminococcus]_torques,[Ruminococcus]_torques,species,0.00010106870043843603,fraction_reads,0.0,2,0,0.00010297648377528268,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2763670,2763670,                  Wujia_chipingensis,Wujia chipingensis,species,0.00010106870043843603,fraction_reads,0.0,2,2,0.00010297648377528268,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,39491,39491,                  Agathobacter_rectalis,Agathobacter rectalis,species,5.0534350219218014e-05,fraction_reads,0.0,1,1,5.148824188764134e-05,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1496,1496,                  Clostridioides_difficile,Clostridioides difficile,species,2.664928958810462,fraction_reads,2.66,52735,50997,2.715232435944766,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,423477,423477,                  Veillonella_rogosae,Veillonella rogosae,species,16.253312526656867,fraction_reads,16.25,321629,321629,16.56011175008019,0.9814736018661324
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2682455,2682455,                  Veillonella_orientalis,Veillonella orientalis,species,5.0534350219218014e-05,fraction_reads,0.0,1,1,5.148824188764134e-05,0.9814736018661324
