tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,418240,418240,                  Blautia_wexlerae,Blautia wexlerae,species,1.0948883717931435,fraction_reads,1.09,26152,1410,1.183642988073955,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,89014,89014,                  Blautia_luti,Blautia luti,species,0.8881524135522999,fraction_reads,0.89,21214,21214,0.960148453234968,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,40520,40520,                  Blautia_obeum,Blautia obeum,species,0.8779370280094149,fraction_reads,0.88,20970,1836,0.949104980877594,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1737424,1737424,                  Blautia_massiliensis_(ex_Durand_et_al._2017),Blautia massiliensis_(ex_Durand et_al._2017),species,0.036256245410403114,fraction_reads,0.04,866,866,0.039195274842155285,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2479767,2479767,                    Blautia_sp._SC05B48,Blautia_sp._SC05B48,species,0.0032655740669878097,fraction_reads,0.0,78,78,0.0035302903437507078,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2860051,2860051,                    Blautia_sp._KLE_1732_HM_1032,Blautia_sp._KLE_1732_HM_1032,species,0.0018839850386468133,fraction_reads,0.0,45,45,0.002036705967548485,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1322,1322,                  Blautia_hansenii,Blautia hansenii,species,0.004270366087599444,fraction_reads,0.0,102,40,0.0046165335264432335,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1796616,1796616,                  Blautia_pseudococcoides,Blautia pseudococcoides,species,0.003516772072140718,fraction_reads,0.0,84,84,0.003801851139423839,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1912897,1912897,                  Blautia_argi,Blautia argi,species,0.0026375790541055383,fraction_reads,0.0,63,63,0.002851388354567879,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2877527,2877527,                  Blautia_parvula,Blautia parvula,species,0.002177049377991873,fraction_reads,0.0,52,52,0.0023535268958338046,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2779518,2779518,                  Blautia_liquoris,Blautia liquoris,species,0.0014234553625331475,fraction_reads,0.0,34,34,0.0015388445088144107,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,33035,33035,                  Blautia_producta,Blautia producta,species,0.0013815890283409961,fraction_reads,0.0,33,32,0.0014935843762022222,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,53443,53443,                  Blautia_hydrogenotrophica,Blautia hydrogenotrophica,species,0.0013397226941488447,fraction_reads,0.0,32,0,0.0014483242435900335,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1532,1532,                  Blautia_coccoides,Blautia coccoides,species,0.000921059352227331,fraction_reads,0.0,22,22,0.0009957229174681482,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,166486,166486,                  Roseburia_intestinalis,Roseburia intestinalis,species,1.074038937365452,fraction_reads,1.07,25654,23853,1.161103442033085,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,301301,301301,                  Roseburia_hominis,Roseburia hominis,species,0.8518543018077045,fraction_reads,0.85,20347,20316,0.9209079182602005,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,301302,301302,                  Roseburia_faecis,Roseburia faecis,species,0.8061781312040673,fraction_reads,0.81,19256,19256,0.8715291135803027,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2763062,2763062,                  Roseburia_rectibacter,Roseburia rectibacter,species,0.005233291774018925,fraction_reads,0.01,125,125,0.005657516576523568,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1261635,1261635,                    Roseburia_sp._831b,Roseburia_sp._831b,species,0.0033493067353721124,fraction_reads,0.0,80,80,0.0036208106089750842,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1261634,1261634,                    Roseburia_sp._499,Roseburia_sp._499,species,0.0014234553625331475,fraction_reads,0.0,34,34,0.0015388445088144107,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,154046,154046,                  Hungatella_hathewayi,Hungatella hathewayi,species,1.662512130770332,fraction_reads,1.66,39710,39585,1.7972798660300073,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,342942,342942,                  Mediterraneibacter_glycyrrhizinilyticus,Mediterraneibacter glycyrrhizinilyticus,species,0.7949160873063786,fraction_reads,0.79,18987,18987,0.859354137907624,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,33039,33039,                  [Ruminococcus]_torques,[Ruminococcus]_torques,species,0.7050709341300218,fraction_reads,0.71,16841,16578,0.7622258933218675,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,33038,33038,                  Mediterraneibacter_gnavus,Mediterraneibacter gnavus,species,0.03215334465957228,fraction_reads,0.03,768,768,0.03475978184616081,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,46228,46228,                  [Ruminococcus]_lactaris,[Ruminococcus]_lactaris,species,0.0059031531210933475,fraction_reads,0.01,141,0,0.006381678698318586,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,39486,39486,                  Dorea_formicigenerans,Dorea formicigenerans,species,0.7522124264303842,fraction_reads,0.75,17967,17967,0.8131888026431917,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,88431,88431,                  Dorea_longicatena,Dorea longicatena,species,0.7343355017303356,fraction_reads,0.73,17540,17540,0.7938627260177872,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,3081750,3081750,                    Anaerocolumna_sp._AGMB13020,Anaerocolumna_sp._AGMB13020,species,1.4090952099052396,fraction_reads,1.41,33657,33657,1.52332028332843,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,3039116,3039116,                    Anaerocolumna_sp._AGMB13025,Anaerocolumna_sp._AGMB13025,species,0.0001674653367686056,fraction_reads,0.0,4,4,0.0001810405304487542,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,3070997,3070997,                    Anaerocolumna_sp._MB42-C2,Anaerocolumna_sp._MB42-C2,species,4.18663341921514e-05,fraction_reads,0.0,1,1,4.526013261218855e-05,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1727145,1727145,                  Anaerocolumna_chitinilytica,Anaerocolumna chitinilytica,species,0.0014234553625331475,fraction_reads,0.0,34,34,0.0015388445088144107,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2696063,2696063,                  Anaerocolumna_sedimenticola,Anaerocolumna sedimenticola,species,0.0001674653367686056,fraction_reads,0.0,4,4,0.0001810405304487542,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,433286,433286,                  Anaerocolumna_cellulosilytica,Anaerocolumna cellulosilytica,species,4.18663341921514e-05,fraction_reads,0.0,1,1,4.526013261218855e-05,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2763667,2763667,                  Wansuia_hejianensis,Wansuia hejianensis,species,0.9654795328052034,fraction_reads,0.97,23061,23061,1.0437439181696802,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,39488,39488,                  Anaerobutyricum_hallii,Anaerobutyricum hallii,species,0.8922553143031307,fraction_reads,0.89,21312,21312,0.9645839462309624,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,410072,410072,                  Coprococcus_comes,Coprococcus comes,species,0.8807839387344812,fraction_reads,0.88,21038,20685,0.9521826698952228,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,116085,116085,                  Coprococcus_catus,Coprococcus catus,species,0.0024282473831447812,fraction_reads,0.0,58,58,0.002625087691506936,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,33043,33043,                  Coprococcus_eutactus,Coprococcus eutactus,species,0.00041866334192151405,fraction_reads,0.0,10,5,0.00045260132612188553,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,751585,751585,                    Coprococcus_sp._ART55/1,Coprococcus_sp._ART55/1,species,4.18663341921514e-05,fraction_reads,0.0,1,1,4.526013261218855e-05,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2763672,2763672,                  Simiaoa_sunii,Simiaoa sunii,species,0.8557060045533825,fraction_reads,0.86,20439,20439,0.9250718504605219,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,39491,39491,                  Agathobacter_rectalis,Agathobacter rectalis,species,0.8347309711231146,fraction_reads,0.83,19938,19805,0.9023965240218152,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,649756,649756,                  Anaerostipes_hadrus,Anaerostipes hadrus,species,0.7165004433644792,fraction_reads,0.72,17114,17111,0.7745819095249951,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,105841,105841,                  Anaerostipes_caccae,Anaerostipes caccae,species,0.0026375790541055383,fraction_reads,0.0,63,37,0.002851388354567879,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,3036926,3036926,                    Anaerostipes_sp._PC18,Anaerostipes_sp._PC18,species,0.001046658354803785,fraction_reads,0.0,25,25,0.0011315033153047138,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1229621,1229621,                  Anaerostipes_rhamnosivorans,Anaerostipes rhamnosivorans,species,0.0008373266838430281,fraction_reads,0.0,20,20,0.0009052026522437711,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,45851,45851,                  Eshraghiella_crossota,Eshraghiella crossota,species,0.6053453260843171,fraction_reads,0.61,14459,14459,0.6544162574396343,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,39485,39485,                  Lachnospira_eligens,Lachnospira eligens,species,0.5206497320135948,fraction_reads,0.52,12436,10172,0.5628550091651768,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,29347,29347,                  [Clostridium]_scindens,[Clostridium]_scindens,species,0.04940227434673865,fraction_reads,0.05,1180,1179,0.05340695648238249,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,89153,89153,                  [Clostridium]_hylemonae,[Clostridium]_hylemonae,species,0.01649533567170765,fraction_reads,0.02,394,382,0.01783249224920229,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1512,1512,                  [Clostridium]_symbiosum,[Clostridium]_symbiosum,species,0.0012141236915723906,fraction_reads,0.0,29,29,0.001312543845753468,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2994035,2994035,                  Sellimonas_catena,Sellimonas catena,species,0.018379320710354464,fraction_reads,0.02,439,439,0.01986919821675077,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,1653434,1653434,                  Sellimonas_intestinalis,Sellimonas intestinalis,species,0.01046658354803785,fraction_reads,0.01,250,250,0.011315033153047136,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,2592333,2592333,                  Sellimonas_caecigallum,Sellimonas caecigallum,species,0.0075778064887794035,fraction_reads,0.01,181,181,0.008192084002806129,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,3028070,3028070,                  Claveliimonas_bilis,Claveliimonas bilis,species,0.014443885296292234,fraction_reads,0.01,345,345,0.01561474575120505,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,84030,84030,                  Lacrimispora_saccharolytica,Lacrimispora saccharolytica,species,0.005861286786901196,fraction_reads,0.01,140,85,0.0063364185657063974,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,29375,29375,                  Lacrimispora_xylanolytica,Lacrimispora xylanolytica,species,0.0007954603496508767,fraction_reads,0.0,19,19,0.0008599425196315827,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,3375704,3375704,                    Lacrimispora_sp._HJ-01,Lacrimispora_sp._HJ-01,species,0.00041866334192151405,fraction_reads,0.0,10,10,0.00045260132612188553,0.9250157208084892
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,3151850,3151850,                    Lacrimispora_sp._BS-2,Lacrimispora_sp._BS-2,species,0.0002930643393450598,fraction_reads,0.0,7,7,0.00031682092828531986,0.9250157208084892
