tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,562,562,Escherichia coli,Escherichia coli,species,16.57844,fraction_reads,16.57844,562,1||1224|1236|91347|543|561|562,459361,0,0,459361,16.6701743021674,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.00014,fraction_reads,0.00014,573,1||1224|1236|91347|543|570|573,4,0,0,4,0.00014077466892563085,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,623,623,Shigella flexneri,Shigella flexneri,species,0.0004,fraction_reads,0.0004,623,1||1224|1236|91347|543|620|623,11,0,0,11,0.00040221333978751676,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,624,624,Shigella sonnei,Shigella sonnei,species,0.00018,fraction_reads,0.00018,624,1||1224|1236|91347|543|620|624,5,0,0,5,0.00018099600290438254,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,817,817,Bacteroides fragilis,Bacteroides fragilis,species,19.64554,fraction_reads,19.64554,817,1||976|200643|171549|815|816|817,544345,0,0,544345,19.75424563832313,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00112,fraction_reads,0.00112,818,1||976|200643|171549|815|816|818,31,0,0,31,0.0011261973514050468,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,5.20836,fraction_reads,5.20836,851,1||32066|203490|203491|203492|848|851,144315,0,0,144315,5.237179676039277,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,19.59523,fraction_reads,19.59523,853,1||1239|186801|186802|216572|216851|853,542951,0,0,542951,19.703657255511356,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1280,1280,Staphylococcus aureus,Staphylococcus aureus,species,4e-05,fraction_reads,4e-05,1280,1||1239|91061|1385|90964|1279|1280,1,0,0,1,4.022133397875168e-05,0.9944970999999999
Ganon2,default,Ganon2_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00198,fraction_reads,0.00198,1351,1||1239|91061|186826|81852|1350|1351,55,0,0,55,0.001990956031948208,0.9944970999999999
