tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter concisus,Campylobacter concisus,species,0.44376,fraction_reads,0.44376,199,1||29547|3031852|213849|72294|194|199,5502,0,0,5502,0.4592054202299773,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.46876,fraction_reads,0.46876,726,1||1224|1236|135625|712|724|726,5812,0,0,5812,0.48507556514107664,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.45973,fraction_reads,0.45973,727,1||1224|1236|135625|712|724|727,5700,0,0,5700,0.47573126879918765,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.5207,fraction_reads,0.5207,729,1||1224|1236|135625|712|724|729,6456,0,0,6456,0.5388233782083767,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.56716,fraction_reads,0.56716,732,1||1224|1236|135625|712|416916|732,7032,0,0,7032,0.5869004555111635,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.50764,fraction_reads,0.50764,735,1||1224|1236|135625|712|724|735,6294,0,0,6294,0.5253088145068183,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,817,817,Bacteroides fragilis,Bacteroides fragilis,species,0.00936,fraction_reads,0.00936,817,1||976|200643|171549|815|816|817,116,0,0,116,0.009685782254715586,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.56211,fraction_reads,1.56211,818,1||976|200643|171549|815|816|818,19368,0,0,19368,1.6164804826830943,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides uniformis,Bacteroides uniformis,species,1.09891,fraction_reads,1.09891,820,1||976|200643|171549|815|816|820,13625,0,0,13625,1.1371584377702462,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,1.28756,fraction_reads,1.28756,821,1||976|200643|171549|815|909656|821,15964,0,0,15964,1.3323745512694014,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,2.4197,fraction_reads,2.4197,823,1||976|200643|171549|2005525|375288|823,30001,0,0,30001,2.5039195856554812,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.52756,fraction_reads,0.52756,851,1||32066|203490|203491|203492|848|851,6541,0,0,6541,0.5459221459719823,0.9663649
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.87122,fraction_reads,0.87122,853,1||1239|186801|186802|216572|216851|853,10802,0,0,10802,0.9015435059779179,0.9663649
