tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,52,52,Chondromyces crocatus,Chondromyces crocatus,species,3e-05,fraction_reads,3e-05,52,1||2818505||3031712|49|50|52,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,259,259,Sphingobacterium thalpophilum,Sphingobacterium thalpophilum,species,3e-05,fraction_reads,3e-05,259,1||976|117747|200666|84566|28453|259,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.00044,fraction_reads,0.00044,287,1||1224|1236|72274|135621|286|287,13,0,0,13,0.0006348465236886489,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,301,301,Ectopseudomonas oleovorans,Ectopseudomonas oleovorans,species,7e-05,fraction_reads,7e-05,301,1||1224|1236|72274|135621|3236654|301,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,454,454,Legionella israelensis,Legionella israelensis,species,3e-05,fraction_reads,3e-05,454,1||1224|1236|118969|444|445|454,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,546,546,Citrobacter freundii,Citrobacter freundii,species,0.00013,fraction_reads,0.00013,546,1||1224|1236|91347|543|544|546,4,0,0,4,0.00018756829108982804,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,550,550,Enterobacter cloacae,Enterobacter cloacae,species,3e-05,fraction_reads,3e-05,550,1||1224|1236|91347|543|547|550,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,552,552,Erwinia amylovora,Erwinia amylovora,species,3e-05,fraction_reads,3e-05,552,1||1224|1236|91347|1903409|551|552,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,562,562,Escherichia coli,Escherichia coli,species,10.30757,fraction_reads,10.30757,562,1||1224|1236|91347|543|561|562,307077,0,0,307077,14.872102232221378,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,564,564,Escherichia fergusonii,Escherichia fergusonii,species,3e-05,fraction_reads,3e-05,564,1||1224|1236|91347|543|561|564,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,571,571,Klebsiella oxytoca,Klebsiella oxytoca,species,7e-05,fraction_reads,7e-05,571,1||1224|1236|91347|543|570|571,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.00396,fraction_reads,0.00396,573,1||1224|1236|91347|543|570|573,118,0,0,118,0.0057136187131978395,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,582,582,Morganella morganii,Morganella morganii,species,7e-05,fraction_reads,7e-05,582,1||1224|1236|91347|1903414|581|582,2,0,0,2,0.00010099831058683049,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,584,584,Proteus mirabilis,Proteus mirabilis,species,3e-05,fraction_reads,3e-05,584,1||1224|1236|91347|1903414|583|584,1,0,0,1,4.328499025149878e-05,0.6930808999999999
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,587,587,Providencia rettgeri,Providencia rettgeri,species,3e-05,fraction_reads,3e-05,587,1||1224|1236|91347|1903414|586|587,1,0,0,1,4.328499025149878e-05,0.6930808999999999
