tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,562,562,Escherichia coli,Escherichia coli,species,16.23492,fraction_reads,16.23492,562,1||1224|1236|91347|543|561|562,321265,0,0,321265,16.2796662907668,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,623,623,Shigella flexneri,Shigella flexneri,species,0.00025,fraction_reads,0.00025,623,1||1224|1236|91347|543|620|623,5,0,0,5,0.0002506890439060803,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,624,624,Shigella sonnei,Shigella sonnei,species,0.00015,fraction_reads,0.00015,624,1||1224|1236|91347|543|620|624,3,0,0,3,0.00015041342634364814,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,817,817,Bacteroides fragilis,Bacteroides fragilis,species,19.21215,fraction_reads,19.21215,817,1||976|200643|171549|815|816|817,380180,0,0,380180,19.2651020595208,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00076,fraction_reads,0.00076,818,1||976|200643|171549|815|816|818,15,0,0,15,0.0007620946934744839,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.00015,fraction_reads,0.00015,823,1||976|200643|171549|2005525|375288|823,3,0,0,3,0.00015041342634364814,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,5.47085,fraction_reads,5.47085,851,1||32066|203490|203491|203492|848|851,108260,0,0,108260,5.485928623414317,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,20.99313,fraction_reads,20.99313,853,1||1239|186801|186802|216572|216851|853,415423,0,0,415423,21.050990753184205,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1282,1282,Staphylococcus epidermidis,Staphylococcus epidermidis,species,5e-05,fraction_reads,5e-05,1282,1||1239|91061|1385|90964|1279|1282,1,0,0,1,5.0137808781216056e-05,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00076,fraction_reads,0.00076,1351,1||1239|91061|186826|81852|1350|1351,15,0,0,15,0.0007620946934744839,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1352,1352,Enterococcus faecium,Enterococcus faecium,species,0.0001,fraction_reads,0.0001,1352,1||1239|91061|186826|81852|1350|1352,2,0,0,2,0.00010027561756243211,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1496,1496,Clostridioides difficile,Clostridioides difficile,species,2.66685,fraction_reads,2.66685,1496,1||1239|186801|3082720|186804|1870884|1496,52773,0,0,52773,2.6742003069637206,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,1.14622,fraction_reads,1.14622,1613,1||1239|91061|186826|33958|2742598|1613,22682,0,0,22682,1.1493791836241092,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,1.9385,fraction_reads,1.9385,1680,1||201174|1760|85004|31953|1678|1680,38360,0,0,38360,1.9438428464477462,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.05251,fraction_reads,0.05251,2173,1||28890|183925|2158|2159|2172|2173,1039,0,0,1039,0.052654726782033104,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.19481,fraction_reads,0.19481,4932,1||4890|4891|4892|4893|4930|4932,3855,0,0,3855,0.195346930573374,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5476,5476,Candida albicans,Candida albicans,species,0.22195,fraction_reads,0.22195,5476,1||4890|3239874|2916678|766764|5475|5476,4392,0,0,4392,0.22256173317981806,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,27291,27291,Saccharomyces paradoxus,Saccharomyces paradoxus,species,0.0001,fraction_reads,0.0001,27291,1||4890|4891|4892|4893|4930|27291,2,0,0,2,0.00010027561756243211,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28128,28128,Prevotella corporis,Prevotella corporis,species,7.62669,fraction_reads,7.62669,28128,1||976|200643|171549|171552|838|28128,150921,0,0,150921,7.647710497072253,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,28901,28901,Salmonella enterica,Salmonella enterica,species,0.01678,fraction_reads,0.01678,28901,1||1224|1236|91347|543|590|28901,332,0,0,332,0.016826248626976105,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.0001,fraction_reads,0.0001,39491,1||1239|186801|3085636|186803|1766253|39491,2,0,0,2,0.00010027561756243211,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,0.02461,fraction_reads,0.02461,76859,1||32066|203490|203491|203492|848|76859,487,0,0,487,0.02467782948211454,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,114525,114525,Saccharomyces mikatae,Saccharomyces mikatae,species,5e-05,fraction_reads,5e-05,114525,1||4890|4891|4892|4893|4930|114525,1,0,0,1,5.0137808781216056e-05,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,166486,166486,Roseburia intestinalis,Roseburia intestinalis,species,0.0003,fraction_reads,0.0003,166486,1||1239|186801|3085636|186803|841|166486,6,0,0,6,0.0003008268526872963,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,1.99055,fraction_reads,1.99055,239935,1||74201|203494|48461|1647988|239934|239935,39390,0,0,39390,1.9960363053889922,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,301301,301301,Roseburia hominis,Roseburia hominis,species,5.69992,fraction_reads,5.69992,301301,1||1239|186801|3085636|186803|841|301301,112793,0,0,112793,5.71562998056458,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,423477,423477,Veillonella rogosae,Veillonella rogosae,species,16.2099,fraction_reads,16.2099,423477,1||1239|909932|1843489|31977|29465|423477,320770,0,0,320770,16.254577331252683,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,544580,544580,Actinomyces oris,Actinomyces oris,species,0.0003,fraction_reads,0.0003,544580,1||201174|1760|2037|2049|1654|544580,6,0,0,6,0.0003008268526872963,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2886375,2886375,Spiroplasma endosymbiont of Phyllotreta cruciferae,Spiroplasma endosymbiont of Phyllotreta cruciferae,species,0.00637,fraction_reads,0.00637,2886375,1||544448|31969|186328|2131|2132|2886375,126,0,0,126,0.0063875568387269255,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2985571,2985571,Bifidobacterium sp. KRGSERBCFTRI,Bifidobacterium sp. KRGSERBCFTRI,species,0.01526,fraction_reads,0.01526,2985571,1||201174|1760|85004|31953|1678|2985571,302,0,0,302,0.015302059240027139,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,3141185,3141185,Faecalibacterium sp. i25-0019-C1,Faecalibacterium sp. i25-0019-C1,species,0.0001,fraction_reads,0.0001,3141185,1||1239|186801|186802|216572|216851|3141185,2,0,0,2,0.00010027561756243211,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,561,561,Escherichia,Escherichia,genus,16.23492,fraction_reads,16.23492,561,1||1224|1236|91347|543|561,0,0,321265,321265,16.2796662907668,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,590,590,Salmonella,Salmonella,genus,0.01678,fraction_reads,0.01678,590,1||1224|1236|91347|543|590,0,0,332,332,0.016826248626976105,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,620,620,Shigella,Shigella,genus,0.0004,fraction_reads,0.0004,620,1||1224|1236|91347|543|620,0,0,8,8,0.00040110247024972845,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,816,816,Bacteroides,Bacteroides,genus,19.21291,fraction_reads,19.21291,816,1||976|200643|171549|815|816,0,0,380195,380195,19.265864154214277,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,838,838,Prevotella,Prevotella,genus,7.62669,fraction_reads,7.62669,838,1||976|200643|171549|171552|838,0,0,150921,150921,7.647710497072253,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,841,841,Roseburia,Roseburia,genus,5.70022,fraction_reads,5.70022,841,1||1239|186801|3085636|186803|841,0,0,112799,112799,5.715930807417267,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,848,848,Fusobacterium,Fusobacterium,genus,5.49546,fraction_reads,5.49546,848,1||32066|203490|203491|203492|848,0,0,108747,108747,5.510606452896431,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1279,1279,Staphylococcus,Staphylococcus,genus,5e-05,fraction_reads,5e-05,1279,1||1239|91061|1385|90964|1279,0,0,1,1,5.0137808781216056e-05,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1350,1350,Enterococcus,Enterococcus,genus,0.00086,fraction_reads,0.00086,1350,1||1239|91061|186826|81852|1350,0,0,17,17,0.0008623703110369161,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1654,1654,Actinomyces,Actinomyces,genus,0.0003,fraction_reads,0.0003,1654,1||201174|1760|2037|2049|1654,0,0,6,6,0.0003008268526872963,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1678,1678,Bifidobacterium,Bifidobacterium,genus,1.95376,fraction_reads,1.95376,1678,1||201174|1760|85004|31953|1678,0,0,38662,38662,1.9591449056877734,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2132,2132,Spiroplasma,Spiroplasma,genus,0.00637,fraction_reads,0.00637,2132,1||544448|31969|186328|2131|2132,0,0,126,126,0.0063875568387269255,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2172,2172,Methanobrevibacter,Methanobrevibacter,genus,0.05251,fraction_reads,0.05251,2172,1||28890|183925|2158|2159|2172,0,0,1039,1039,0.052654726782033104,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,4930,4930,Saccharomyces,Saccharomyces,genus,0.19496,fraction_reads,0.19496,4930,1||4890|4891|4892|4893|4930,0,0,3858,3858,0.1954973439997176,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,5475,5475,Candida,Candida,genus,0.22195,fraction_reads,0.22195,5475,1||4890|3239874|2916678|766764|5475,0,0,4392,4392,0.22256173317981806,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,29465,29465,Veillonella,Veillonella,genus,16.2099,fraction_reads,16.2099,29465,1||1239|909932|1843489|31977|29465,0,0,320770,320770,16.254577331252683,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,216851,216851,Faecalibacterium,Faecalibacterium,genus,20.99323,fraction_reads,20.99323,216851,1||1239|186801|186802|216572|216851,0,0,415425,415425,21.051091028801764,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,239934,239934,Akkermansia,Akkermansia,genus,1.99055,fraction_reads,1.99055,239934,1||74201|203494|48461|1647988|239934,0,0,39390,39390,1.9960363053889922,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,375288,375288,Parabacteroides,Parabacteroides,genus,0.00015,fraction_reads,0.00015,375288,1||976|200643|171549|2005525|375288,0,0,3,3,0.00015041342634364814,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1766253,1766253,Agathobacter,Agathobacter,genus,0.0001,fraction_reads,0.0001,1766253,1||1239|186801|3085636|186803|1766253,0,0,2,2,0.00010027561756243211,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,1870884,1870884,Clostridioides,Clostridioides,genus,2.66685,fraction_reads,2.66685,1870884,1||1239|186801|3082720|186804|1870884,0,0,52773,52773,2.6742003069637206,0.9972514
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,2742598,2742598,Limosilactobacillus,Limosilactobacillus,genus,1.14622,fraction_reads,1.14622,2742598,1||1239|91061|186826|33958|2742598,0,0,22682,22682,1.1493791836241092,0.9972514
