tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative,norm_abund,classified_fraction
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,199,199,Campylobacter concisus,Campylobacter concisus,species,0.44835,fraction_reads,0.44835,199,1||29547|3031852|213849|72294|194|199,10709,0,0,10709,0.452495857546008,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.47435,fraction_reads,0.47435,726,1||1224|1236|135625|712|724|726,11330,0,0,11330,0.4787362775219113,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.45999,fraction_reads,0.45999,727,1||1224|1236|135625|712|724|727,10987,0,0,10987,0.4642434917198355,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.51784,fraction_reads,0.51784,729,1||1224|1236|135625|712|724|729,12369,0,0,12369,0.5226284261662201,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.56398,fraction_reads,0.56398,732,1||1224|1236|135625|712|416916|732,13471,0,0,13471,0.5691950791542268,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.50194,fraction_reads,0.50194,735,1||1224|1236|135625|712|724|735,11989,0,0,11989,0.5065814001040332,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,817,817,Bacteroides fragilis,Bacteroides fragilis,species,0.00155,fraction_reads,0.00155,817,1||976|200643|171549|815|816|817,37,0,0,37,0.001564332729332692,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.70559,fraction_reads,1.70559,818,1||976|200643|171549|815|816|818,40739,0,0,40739,1.7213614579500296,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,820,820,Bacteroides uniformis,Bacteroides uniformis,species,1.09208,fraction_reads,1.09208,820,1||976|200643|171549|815|816|820,26085,0,0,26085,1.1021783787417072,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,1.24682,fraction_reads,1.24682,821,1||976|200643|171549|815|909656|821,29781,0,0,29781,1.2583492474752174,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,2.57892,fraction_reads,2.57892,823,1||976|200643|171549|2005525|375288|823,61599,0,0,61599,2.6027670724713974,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.53204,fraction_reads,0.53204,851,1||32066|203490|203491|203492|848|851,12708,0,0,12708,0.5369597324607518,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,1.20575,fraction_reads,1.20575,853,1||1239|186801|186802|216572|216851|853,28800,0,0,28800,1.216899476382512,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.44621,fraction_reads,0.44621,1255,1||1239|91061|186826|33958|1253|1255,10658,0,0,10658,0.45033606913260676,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1302,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.52626,fraction_reads,0.52626,1302,1||1239|91061|186826|1300|1301|1302,12570,0,0,12570,0.5311262852507241,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1303,1303,Streptococcus oralis,Streptococcus oralis,species,0.4666,fraction_reads,0.4666,1303,1||1239|91061|186826|1300|1301|1303,11145,0,0,11145,0.4709146138752478,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1304,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.54719,fraction_reads,0.54719,1304,1||1239|91061|186826|1300|1301|1304,13070,0,0,13070,0.5522498233313262,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1305,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.55314,fraction_reads,0.55314,1305,1||1239|91061|186826|1300|1301|1305,13212,0,0,13212,0.5582548425181194,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1307,1307,Streptococcus suis,Streptococcus suis,species,0.0018,fraction_reads,0.0018,1307,1||1239|91061|186826|1300|1301|1307,43,0,0,43,0.0018166444598702227,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.43047,fraction_reads,0.43047,1308,1||1239|91061|186826|1300|1301|1308,10282,0,0,10282,0.43445052257796385,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.54284,fraction_reads,0.54284,1318,1||1239|91061|186826|1300|1301|1318,12966,0,0,12966,0.5478595992199732,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.46384,fraction_reads,0.46384,1328,1||1239|91061|186826|1300|1301|1328,11079,0,0,11079,0.4681290923701134,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.4707,fraction_reads,0.4707,1338,1||1239|91061|186826|1300|1301|1338,11243,0,0,11243,0.4750525262560633,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.46735,fraction_reads,0.46735,1343,1||1239|91061|186826|1300|1301|1343,11163,0,0,11163,0.4716715490668604,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00042,fraction_reads,0.00042,1351,1||1239|91061|186826|81852|1350|1351,10,0,0,10,0.000423883707303052,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1352,1352,Enterococcus faecium,Enterococcus faecium,species,4e-05,fraction_reads,4e-05,1352,1||1239|91061|186826|81852|1350|1352,1,0,0,1,4.0369876886004956e-05,0.9908378
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1496,1496,Clostridioides difficile,Clostridioides difficile,species,0.00574,fraction_reads,0.00574,1496,1||1239|186801|3082720|186804|1870884|1496,137,0,0,137,0.005793077333141711,0.9908378
