tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,418240,418240,                  Blautia wexlerae,Blautia wexlerae,species,1.1054386880095655,abund,1.11,26404,1772,1.1807646797347973,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,40520,40520,                  Blautia obeum,Blautia obeum,species,0.8970699427352281,abund,0.9,21427,2096,0.9581974243553062,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,89014,89014,                  Blautia luti,Blautia luti,species,0.8910830569457505,abund,0.89,21284,21284,0.9518025845885256,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,2479767,2479767,                    Blautia sp. SC05B48,Blautia sp. SC05B48,species,0.1717775691903972,abund,0.17,4103,4103,0.1834827102314753,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,2860051,2860051,                    Blautia sp. KLE_1732_HM_1032,Blautia sp. KLE_1732_HM_1032,species,0.004605296761136655,abund,0.0,110,110,0.004919107512908185,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,1737424,1737424,                  Blautia massiliensis (ex Durand et al. 2017),Blautia massiliensis (ex Durand et al. 2017),species,0.015071880309174506,abund,0.02,360,360,0.016098897314972244,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,1322,1322,                  Blautia hansenii,Blautia hansenii,species,0.00657301446816777,abund,0.01,157,117,0.007020907995696228,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,1912897,1912897,                  Blautia argi,Blautia argi,species,0.004354098755983746,abund,0.0,104,104,0.0046507925576586475,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,2877527,2877527,                  Blautia parvula,Blautia parvula,species,0.004102900750830838,abund,0.0,98,98,0.004382477602409111,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,1796616,1796616,                  Blautia pseudococcoides,Blautia pseudococcoides,species,0.003516772072140718,abund,0.0,84,84,0.0037564093734935235,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,33035,33035,                  Blautia producta,Blautia producta,species,0.003223707732795658,abund,0.0,77,77,0.0034433752590357298,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,2779518,2779518,                  Blautia liquoris,Blautia liquoris,species,0.0027631780566819922,abund,0.0,66,66,0.0029514645077449112,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,53443,53443,                  Blautia hydrogenotrophica,Blautia hydrogenotrophica,species,0.0023445147147604785,abund,0.0,56,0,0.0025042729156623486,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,1532,1532,                  Blautia coccoides,Blautia coccoides,species,0.001967717707031116,abund,0.0,47,47,0.0021018004827880426,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,166486,166486,                  Roseburia intestinalis,Roseburia intestinalis,species,1.0680520515759744,abund,1.07,25511,20193,1.1408304705618246,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,301301,301301,                  Roseburia hominis,Roseburia hominis,species,0.8475420693859129,abund,0.85,20244,20244,0.9052946590119391,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,301302,301302,                  Roseburia faecis,Roseburia faecis,species,0.802745091800311,abund,0.8,19174,19174,0.8574451586591049,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,1261634,1261634,                    Roseburia sp. 499,Roseburia sp. 499,species,0.004102900750830838,abund,0.0,98,98,0.004382477602409111,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,1261635,1261635,                    Roseburia sp. 831b,Roseburia sp. 831b,species,0.0030562423960270525,abund,0.0,73,73,0.003264498622202705,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,2763062,2763062,                  Roseburia rectibacter,Roseburia rectibacter,species,0.0037679700772936266,abund,0.0,90,90,0.004024724328743061,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,154046,154046,                  Hungatella hathewayi,Hungatella hathewayi,species,1.6584510963536934,abund,1.66,39613,39308,1.771460053716654,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,342942,342942,                  Mediterraneibacter glycyrrhizinilyticus,Mediterraneibacter glycyrrhizinilyticus,species,0.7903945232136262,abund,0.79,18879,18879,0.8442530066926693,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,33039,33039,                  [Ruminococcus] torques,[Ruminococcus] torques,species,0.7058663944796727,abund,0.71,16860,16372,0.7539650242512002,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,33038,33038,                  Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.044294581575296185,abund,0.04,1058,1053,0.04731287044233509,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,46228,46228,                  [Ruminococcus] lactaris,[Ruminococcus] lactaris,species,0.009419925193234065,abund,0.01,225,0,0.010061810821857652,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,39486,39486,                  Dorea formicigenerans,Dorea formicigenerans,species,0.7482769910163221,abund,0.75,17873,17873,0.7992655325291637,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,88431,88431,                  Dorea longicatena,Dorea longicatena,species,0.7383965361469743,abund,0.74,17637,17637,0.7887118109560151,0.9362057546113673
Kraken2,default,Kraken2_default,simulated,simulated,ont,sim_ont,3081750,3081750,                    Anaerocolumna sp. AGMB13020,Anaerocolumna sp. AGMB13020,species,1.409388274244585,abund,1.41,33664,33664,1.5054257755867377,0.9362057546113673
