tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,                      Bacteroides fragilis,Bacteroides fragilis,species,22.55193371083177,abund,22.55,67905,65343,23.520222784880275,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,674529,674529,                      Bacteroides faecis,Bacteroides faecis,species,0.17701466265920526,abund,0.18,533,533,0.18461495831442734,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,                      Bacteroides stercoris,Bacteroides stercoris,species,0.05612660035535776,abund,0.06,169,135,0.05853645019725744,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,                      Bacteroides uniformis,Bacteroides uniformis,species,0.03387522624997924,abund,0.03,102,96,0.03532969183503112,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,                      Bacteroides ovatus,Bacteroides ovatus,species,0.02424403447302436,abund,0.02,73,72,0.025284975528992858,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2847299,2847299,                        Bacteroides sp. DH3716P,Bacteroides sp. DH3716P,species,0.016605503063715315,abund,0.02,50,50,0.017318476389721137,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2755405,2755405,                        Bacteroides sp. CACC 737,Bacteroides sp. CACC 737,species,0.0016605503063715317,abund,0.0,5,5,0.0017318476389721138,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2785531,2785531,                        Bacteroides sp. HF-162,Bacteroides sp. HF-162,species,0.0016605503063715317,abund,0.0,5,5,0.0017318476389721138,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2763022,2763022,                        Bacteroides sp. M10,Bacteroides sp. M10,species,0.0013284402450972252,abund,0.0,4,4,0.001385478111177691,0.9588316368044371
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2025659,2025659,                        Bacteroides sp. KFT8,Bacteroides sp. KFT8,species,0.0006642201225486126,abund,0.0,2,2,0.0006927390555888455,0.9588316368044371
