tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,19.4968083605183,abund,19.5,540224,527372,19.880896565784738,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2929495,2929495,                    Faecalibacterium sp. I4-3-84,Faecalibacterium sp. I4-3-84,species,0.004619549427915721,abund,0.0,128,128,0.0047105548076732,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2929494,2929494,                    Faecalibacterium sp. I4-1-79,Faecalibacterium sp. I4-1-79,species,0.0007218045981118314,abund,0.0,20,20,0.0007360241886989374,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,3141184,3141184,                    Faecalibacterium sp. i21-0019-B1,Faecalibacterium sp. i21-0019-B1,species,0.0005052632186782819,abund,0.0,14,14,0.0005152169320892561,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2929492,2929492,                    Faecalibacterium sp. I3-3-33,Faecalibacterium sp. I3-3-33,species,0.0004330827588670988,abund,0.0,12,12,0.0004416145132193624,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2929489,2929489,                    Faecalibacterium sp. IP-3-29,Faecalibacterium sp. IP-3-29,species,0.00028872183924473255,abund,0.0,8,8,0.000294409675479575,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2929488,2929488,                    Faecalibacterium sp. IP-1-18,Faecalibacterium sp. IP-1-18,species,0.00018045114952795784,abund,0.0,5,5,0.00018400604717473435,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2929490,2929490,                    Faecalibacterium sp. I2-3-92,Faecalibacterium sp. I2-3-92,species,7.218045981118314e-05,abund,0.0,2,2,7.360241886989374e-05,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,3030638,3030638,                  Faecalibacterium taiwanense,Faecalibacterium taiwanense,species,0.0007939850579230146,abund,0.0,22,22,0.0008096266075688312,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,411483,411483,                  Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,0.0004330827588670988,abund,0.0,12,12,0.0004416145132193624,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2929491,2929491,                  Faecalibacterium wellingii,Faecalibacterium wellingii,species,3.609022990559157e-05,abund,0.0,1,1,3.680120943494687e-05,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2714353,2714353,                  Vescimonas fastidiosa,Vescimonas fastidiosa,species,0.0002165413794335494,abund,0.0,6,6,0.0002208072566096812,0.9806805390292378
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2780922,2780922,                  Solibaculum mannosilyticum,Solibaculum mannosilyticum,species,3.609022990559157e-05,abund,0.0,1,1,3.680120943494687e-05,0.9806805390292378
