tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads,norm_abund,classified_fraction
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,418240,418240,                  Blautia wexlerae,Blautia wexlerae,species,1.1631114380286869,abund,1.16,14421,325,1.1982690284722877,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,40520,40520,                  Blautia obeum,Blautia obeum,species,0.9296987411522554,abund,0.93,11527,337,0.9578009216559228,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,89014,89014,                  Blautia luti,Blautia luti,species,0.9180039101062697,abund,0.92,11382,11382,0.94575258872974,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,2479767,2479767,                    Blautia sp. SC05B48,Blautia sp. SC05B48,species,0.29930702077001997,abund,0.3,3711,3711,0.30835423095906395,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,2860051,2860051,                    Blautia sp. KLE_1732_HM_1032,Blautia sp. KLE_1732_HM_1032,species,0.007742784692514664,abund,0.01,96,96,0.007976827316645146,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,1737424,1737424,                  Blautia massiliensis (ex Durand et al. 2017),Blautia massiliensis (ex Durand et al. 2017),species,0.030971138770058654,abund,0.03,384,384,0.031907309266580586,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,1322,1322,                  Blautia hansenii,Blautia hansenii,species,0.008871940793506386,abund,0.01,110,89,0.009140114633655896,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,1912897,1912897,                  Blautia argi,Blautia argi,species,0.006129704548240775,abund,0.01,76,76,0.006314988292344074,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,33035,33035,                  Blautia producta,Blautia producta,species,0.005081202454462748,abund,0.01,63,63,0.0052347929265483765,0.9706596852558023
Kraken2,unified,Kraken2_unified,simulated,simulated,pacbio,sim_pacbio,2779518,2779518,                  Blautia liquoris,Blautia liquoris,species,0.004919894440035359,abund,0.0,61,61,0.00506860902411827,0.9706596852558023
