tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,clade_reads,direct_reads,norm_abund,classified_fraction
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,470,Acinetobacter baumannii,Acinetobacter baumannii,species,0.005209201330731194,abund,0.01,1335000,1335000,0.006036771945500726,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,562,Escherichia coli,Escherichia coli,species,17.41933512855699,abund,17.42,4464180000,4464180000,20.18669407016137,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,817,Bacteroides fragilis,Bacteroides fragilis,species,18.971497632035323,abund,18.97,4861964000,4861964000,21.98544410129924,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,4.01093284574774,abund,4.01,1027911000,1027911000,4.648138042900072,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.5791890495314032,abund,0.58,148433000,148433000,0.6712031237352127,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.0005774994733694507,abund,0.0,148000,148000,0.0006692451295386572,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1496,Clostridioides difficile,Clostridioides difficile,species,2.499870355465353,abund,2.5,640660000,640660000,2.8970174641232167,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,0.8860246610915876,abund,0.89,227067999,227067999,1.0267848135462074,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,2.0781825812250614,abund,2.08,532591000,532591000,2.4083373836900197,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.06391514441751082,abund,0.06,16380000,16380000,0.07406915690434598,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.2185640405529935,abund,0.22,56013000,56013000,0.25328667189762705,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,5476,Candida albicans,Candida albicans,species,0.2546616596620529,abund,0.25,65264000,65264000,0.29511901442034405,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,28128,Prevotella corporis,Prevotella corporis,species,5.306615346627601,abund,5.31,1359965000,1359965000,6.149661841844864,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,28901,Salmonella enterica,Salmonella enterica,species,0.0706773510887896,abund,0.07,18113000,18113000,0.08190565561711959,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,159268,uncultured Veillonella sp.,uncultured Veillonella sp.,species,0.3917631562587355,abund,0.39,100400000,100400000,0.45400142571406205,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,159272,uncultured Prevotella sp.,uncultured Prevotella sp.,species,0.31091713201048105,abund,0.31,79681000,79681000,0.3603116295052009,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,2.0006415669527833,abund,2.0,512718999,512718999,2.318477654747876,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,301301,Roseburia hominis,Roseburia hominis,species,4.600950010404819,abund,4.6,1179119000,1179119000,5.331889512814134,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,332112,Saccharomyces cerevisiae x Saccharomyces kudriavzevii,Saccharomyces cerevisiae x Saccharomyces kudriavzevii,species,0.00459658364614333,abund,0.0,1178000,1178000,0.005326829477003636,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,423477,Veillonella rogosae,Veillonella rogosae,species,9.26827344001244,abund,9.27,2375248000,2375248000,10.740696996259706,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,671228,Veillonella sp. oral taxon 158,Veillonella sp. oral taxon 158,species,1.279789559291796,abund,1.28,327981000,327981000,1.4831059921028267,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1403932,Veillonella sp. DORA_A_3_16_22,Veillonella sp. DORA_A_3_16_22,species,0.8131465726684675,abund,0.81,208391000,208391000,0.9423287958762858,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1926307,Veillonella sp.,Veillonella sp.,species,1.1796987552958516,abund,1.18,302330000,302330000,1.3671140541447449,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,2027456,Veillonella sp. S13053-19,Veillonella sp. S13053-19,species,2.58919547671112,abund,2.59,663552000,663552000,3.000533406727264,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,2292234,Faecalibacterium sp. AF28-13AC,Faecalibacterium sp. AF28-13AC,species,11.486948376228494,abund,11.49,2943844000,2943844000,13.311846345416205,0.8629117312628765
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,469,Acinetobacter,Acinetobacter,genus,0.005209201330731194,abund,0.01,1335000,0,0.006036771945773705,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,561,Escherichia,Escherichia,genus,17.41933512855699,abund,17.42,4464180000,0,20.1866940710742,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,590,Salmonella,Salmonella,genus,0.0706773510887896,abund,0.07,18113000,0,0.0819056556208233,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,816,Bacteroides,Bacteroides,genus,18.971497632035323,abund,18.97,4861964000,0,21.985444102293407,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,838,Prevotella,Prevotella,genus,5.617532478638083,abund,5.62,1439646000,0,6.509973471644442,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,841,Roseburia,Roseburia,genus,4.600950010404819,abund,4.6,1179119000,0,5.331889513055239,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,848,Fusobacterium,Fusobacterium,genus,4.01093284574774,abund,4.01,1027911000,0,4.648138043110258,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1350,Enterococcus,Enterococcus,genus,0.0005774994733694507,abund,0.0,148000,0,0.00066924512956892,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,1678,Bifidobacterium,Bifidobacterium,genus,2.0781825812250614,abund,2.08,532591000,0,2.4083373837989233,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,2172,Methanobrevibacter,Methanobrevibacter,genus,0.06391514441751082,abund,0.06,16380000,0,0.07406915690769533,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,4930,Saccharomyces,Saccharomyces,genus,0.2231606202971134,abund,0.22,57190999,0,0.2586134968643985,0.8629117312238561
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,0,5475,Candida,Candida,genus,0.2546616596620529,abund,0.25,65264000,0,0.29511901443368915,0.8629117312238561
