tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,0,0,Scatavimonas sp900540275,Scatavimonas sp900540275,species,0.0159,fraction_reads,0.0025,0.0159,0.016650661785265107,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,0,0,Scatomorpha merdavium,Scatomorpha merdavium,species,0.009,fraction_reads,0.0016,0.009,0.009424902897319872,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,562,562,Escherichia coli,Escherichia coli,species,19.1772,fraction_reads,1.5331,19.1772,20.08258309360918,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.1532,fraction_reads,0.0111,0.1532,0.16043279154104495,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,Bacteroides fragilis,Bacteroides fragilis,species,24.4572,fraction_reads,1.8781,24.4572,25.611859460036847,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.0258,fraction_reads,0.0022,0.0258,0.02701805497231697,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.0322,fraction_reads,0.0025,0.0322,0.03372020814374443,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.0197,fraction_reads,0.0016,0.0197,0.020630065230800163,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,853,853,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii,species,7.5524,fraction_reads,1.0348,7.5524,7.908959626857623,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1496,1496,Clostridioides difficile,Clostridioides difficile,species,2.0118,fraction_reads,0.1949,2.0118,2.1067799609809024,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,1.3865,fraction_reads,0.2956,1.3865,1.4519586519037782,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.141,fraction_reads,0.0272,0.141,0.14765681205801132,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2173,2173,Methanobrevibacter_A smithii,Methanobrevibacter smithii,species,0.0483,fraction_reads,0.0105,0.0483,0.05058031221561665,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,5476,5476,Candida albicans,Candida albicans,species,0.4499,fraction_reads,0.0127,0.4499,0.4711404237226901,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.021,fraction_reads,0.0013,0.021,0.02199144009374637,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28128,28128,Prevotella corporis,Prevotella corporis,species,9.3325,fraction_reads,1.3415,9.3325,9.773100698804189,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28901,28901,Salmonella enterica,Salmonella enterica,species,0.0443,fraction_reads,0.0036,0.0443,0.04639146648347448,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33038,33038,Ruminococcus_B gnavus,Ruminococcus gnavus,species,0.0161,fraction_reads,0.0018,0.0161,0.016860104071872214,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.033,fraction_reads,0.003,0.033,0.03455797729017287,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.0532,fraction_reads,0.0053,0.0532,0.05571164823749079,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,4.7878,fraction_reads,0.7666,4.7878,5.013838899087565,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,96241,96241,Bacillus spizizenii,Bacillus spizizenii,species,0.0172,fraction_reads,0.0017,0.0172,0.01801203664821131,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,214856,214856,Alistipes finegoldii,Alistipes finegoldii,species,0.016,fraction_reads,0.0017,0.016,0.016755382928568662,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,216816,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.0402,fraction_reads,0.0068,0.0402,0.04209789960802876,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,1.9548,fraction_reads,0.2953,1.9548,2.0470889092978766,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,301301,301301,Roseburia hominis,Roseburia hominis,species,1.7577,fraction_reads,0.197,1.7577,1.8406835358465712,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,371601,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,0.0288,fraction_reads,0.0019,0.0288,0.030159689271423592,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,423477,423477,Veillonella rogosae,Veillonella rogosae,species,21.6592,fraction_reads,3.9861,21.6592,22.6817618704034,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,674529,674529,Bacteroides faecis,Bacteroides faecis,species,0.2393,fraction_reads,0.0162,0.2393,0.25059769592540504,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1297617,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.0105,fraction_reads,0.0013,0.0105,0.010995720046873185,0.9549169999999999
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,561,561,Escherichia,Escherichia,genus,19.1772,fraction_reads,1.5331,19.1772,20.043940055897103,0.956758
