tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Acetatifactor intestinalis,Acetatifactor intestinalis,species,0.7232,fraction_reads,0.2121,0.7232,0.7406254352403345,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bariatricus comes,Bariatricus comes,species,0.8554,fraction_reads,0.2209,0.8554,0.8760107816711591,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bariatricus sp004560705,Bariatricus sp004560705,species,0.6937,fraction_reads,0.2209,0.6937,0.7104146355451053,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bifidobacterium infantis,Bifidobacterium infantis,species,0.6887,fraction_reads,0.2121,0.6887,0.7052941610204901,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Bifidobacterium vaginale,Bifidobacterium vaginale,species,0.4059,fraction_reads,0.2121,0.4059,0.4156801219082574,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Dysosmobacter faecalis,Dysosmobacter faecalis,species,0.8296,fraction_reads,0.2121,0.8296,0.8495891331241449,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Faecalibacterium sp900758465,Faecalibacterium sp900758465,species,0.7141,fraction_reads,0.2209,0.7141,0.731306171605535,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Olsenella_F sp001189515,Olsenella sp001189515,species,0.7823,fraction_reads,0.2121,0.7823,0.8011494441212856,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Otoolea saccharolyticum_A,Otoolea saccharolyticum,species,0.9553,fraction_reads,0.2121,0.9553,0.9783178626729696,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Pauljensenia odontolytica,Pauljensenia odontolytica,species,0.5978,fraction_reads,0.2121,0.5978,0.6122039341629868,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Scatomonas hejianensis,Scatomonas hejianensis,species,0.9615,fraction_reads,0.2121,0.9615,0.9846672510834925,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Schaedlerella glycyrrhizinilytica_A,Schaedlerella glycyrrhizinilytica,species,0.7304,fraction_reads,0.2121,0.7304,0.7479989185557805,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Streptococcus sp008727815,Streptococcus sp008727815,species,0.5843,fraction_reads,0.2386,0.5843,0.5983786529465259,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,0,0,Turicibacter sp017888305,Turicibacter sp017888305,species,0.6455,fraction_reads,0.2121,0.6455,0.6610532611278153,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter_A concisus,Campylobacter concisus,species,0.4479,fraction_reads,0.2121,0.4479,0.4586921079150247,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.4794,fraction_reads,0.2209,0.4794,0.4909510974201001,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus_D parainfluenzae,Haemophilus parainfluenzae,species,0.5214,fraction_reads,0.2121,0.5214,0.5339630834268674,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.569,fraction_reads,0.2121,0.569,0.5827100009012034,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus_A parahaemolyticus,Haemophilus parahaemolyticus,species,0.4964,fraction_reads,0.2121,0.4964,0.5083607108037916,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.5959,fraction_reads,0.2209,1.5959,1.6343530587666621,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides uniformis,Bacteroides uniformis,species,1.127,fraction_reads,0.2121,1.127,1.1541549578482537,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,1.3093,fraction_reads,0.2209,1.3093,1.3408474590157218,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,2.0497,fraction_reads,0.3712,2.0497,2.0990873266207326,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.5311,fraction_reads,0.2121,0.5311,0.5438968040046207,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,853,853,Faecalibacterium prausnitzii_A,Faecalibacterium prausnitzii,species,2.4129,fraction_reads,0.6716,2.4129,2.4710385960887766,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.4235,fraction_reads,0.2121,0.4235,0.4337041922349028,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1302,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.5275,fraction_reads,0.2121,0.5275,0.5402100623468978,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1303,1303,Streptococcus oralis,Streptococcus oralis,species,0.4702,fraction_reads,0.2121,0.4702,0.4815294242948083,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1304,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.5551,fraction_reads,0.2209,0.5551,0.5684750817227735,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1305,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.5552,fraction_reads,0.2121,0.5552,0.5685774912132657,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.5331,fraction_reads,0.2209,0.5331,0.5459449938144668,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.5243,fraction_reads,0.2121,0.5243,0.5369329586511441,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.4954,fraction_reads,0.2209,0.4954,0.5073366158988686,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.4751,fraction_reads,0.2121,0.4751,0.48654748932893116,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.5129,fraction_reads,0.2386,0.5129,0.5252582767350216,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1522,1522,Clostridium_AQ innocuum,Clostridium innocuum,species,1.1488,fraction_reads,0.2121,1.1488,1.1764802267755758,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1580,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.6024,fraction_reads,0.2121,0.6024,0.6169147707256327,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.7912,fraction_reads,0.2121,0.7912,0.8102638887751006,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.7347,fraction_reads,0.2121,0.7347,0.7524025266469494,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1655,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.7595,fraction_reads,0.2121,0.7595,0.7778000802890405,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.9538,fraction_reads,0.3977,0.9538,0.9767817203155851,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,2047,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.6101,fraction_reads,0.2121,0.6101,0.62480030149354,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28025,28025,Bifidobacterium animalis,Bifidobacterium animalis,species,0.4705,fraction_reads,0.2121,0.4705,0.4818366527662851,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28037,28037,Streptococcus mitis_AK,Streptococcus mitis,species,0.4641,fraction_reads,0.2121,0.4641,0.4752824453747778,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28111,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,1.0667,fraction_reads,0.2209,1.0667,1.092402035081395,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,2.3635,fraction_reads,0.3182,2.3635,2.420448307785579,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.6209,fraction_reads,0.2121,0.6209,0.6358605264667088,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,1.0693,fraction_reads,0.2121,1.0693,1.095064681834195,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28125,28125,Prevotella bivia,Prevotella bivia,species,0.6138,fraction_reads,0.2121,0.6138,0.6285894526417553,0.976472
Sylph,default,Sylph_default,simulated,simulated,pacbio,sim_pacbio,28128,28128,Prevotella corporis,Prevotella corporis,species,0.6817,fraction_reads,0.2121,0.6817,0.698125496686029,0.976472
