tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,287,287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,species,0.0089,fraction_reads,0.0045,0.0089,0.0089000089000089,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,562,562,Escherichia coli,Escherichia coli,species,18.6732,fraction_reads,12.9874,18.6732,18.673218673218674,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.1437,fraction_reads,0.0901,0.1437,0.1437001437001437,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,Bacteroides fragilis,Bacteroides fragilis,species,25.6086,fraction_reads,15.5215,25.6086,25.608625608625612,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.0246,fraction_reads,0.0163,0.0246,0.0246000246000246,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.0359,fraction_reads,0.0218,0.0359,0.035900035900035904,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.0151,fraction_reads,0.0093,0.0151,0.0151000151000151,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,4.9526,fraction_reads,6.3353,4.9526,4.952604952604953,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,7.9579,fraction_reads,8.5527,7.9579,7.957907957907959,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1496,1496,Clostridioides difficile,Clostridioides difficile,species,2.123,fraction_reads,1.6139,2.123,2.123002123002123,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,1.4747,fraction_reads,2.4218,1.4747,1.4747014747014748,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.1498,fraction_reads,0.2245,0.1498,0.1498001498001498,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2173,2173,Methanobrevibacter smithii,Methanobrevibacter smithii,species,0.0516,fraction_reads,0.0872,0.0516,0.05160005160005161,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,4932,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.3823,fraction_reads,0.0985,0.3823,0.38230038230038227,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,5476,5476,Candida albicans,Candida albicans,species,0.4781,fraction_reads,0.1048,0.4781,0.4781004781004781,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,10677,10677,Muvirus mu,Muvirus mu,species,0.0373,fraction_reads,3.1777,0.0373,0.0373000373000373,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.021,fraction_reads,0.0102,0.021,0.021000021000021,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28128,28128,Prevotella corporis,Prevotella corporis,species,10.4332,fraction_reads,11.0868,10.4332,10.433210433210434,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,28901,28901,Salmonella enterica,Salmonella enterica,species,0.0269,fraction_reads,0.0179,0.0269,0.0269000269000269,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.0053,fraction_reads,0.0044,0.0053,0.0053000053000053,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.0213,fraction_reads,0.0152,0.0213,0.0213000213000213,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.0712,fraction_reads,0.0471,0.0712,0.0712000712000712,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,96241,96241,Bacillus spizizenii,Bacillus spizizenii,species,0.0172,fraction_reads,0.0127,0.0172,0.0172000172000172,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158836,158836,Enterobacter hormaechei,Enterobacter hormaechei,species,0.0424,fraction_reads,0.0273,0.0424,0.0424000424000424,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,214856,214856,Alistipes finegoldii,Alistipes finegoldii,species,0.0189,fraction_reads,0.0158,0.0189,0.0189000189000189,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,216816,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.0267,fraction_reads,0.037,0.0267,0.0267000267000267,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,2.2087,fraction_reads,2.4258,2.2087,2.2087022087022086,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,301301,301301,Roseburia hominis,Roseburia hominis,species,1.7772,fraction_reads,1.6071,1.7772,1.7772017772017772,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,357441,357441,Enterococcus lactis,Enterococcus lactis,species,0.0085,fraction_reads,0.0092,0.0085,0.008500008500008501,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,371601,371601,Bacteroides xylanisolvens,Bacteroides xylanisolvens,species,0.0226,fraction_reads,0.0118,0.0226,0.0226000226000226,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,423477,423477,Veillonella rogosae,Veillonella rogosae,species,22.9195,fraction_reads,33.2604,22.9195,22.91952291952292,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,674529,674529,Bacteroides faecis,Bacteroides faecis,species,0.2515,fraction_reads,0.1332,0.2515,0.2515002515002515,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1297617,1297617,Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,species,0.0105,fraction_reads,0.0104,0.0105,0.0105000105000105,0.999999
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,286,286,Pseudomonas,Pseudomonas,genus,0.0089,fraction_reads,0.0045,0.0089,0.0089000089000089,0.9999990000000001
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,547,547,Enterobacter,Enterobacter,genus,0.0424,fraction_reads,0.0273,0.0424,0.0424000424000424,0.9999990000000001
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,561,561,Escherichia,Escherichia,genus,18.6732,fraction_reads,12.9874,18.6732,18.673218673218674,0.9999990000000001
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,570,570,Klebsiella,Klebsiella,genus,0.1437,fraction_reads,0.0901,0.1437,0.14370014370014367,0.9999990000000001
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,590,590,Salmonella,Salmonella,genus,0.0269,fraction_reads,0.0179,0.0269,0.026900026900026897,0.9999990000000001
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,816,816,Bacteroides,Bacteroides,genus,25.9995,fraction_reads,15.740099999999998,25.9995,25.999525999526,0.9999990000000001
