tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,199,199,Campylobacter concisus,Campylobacter concisus,species,0.4253,fraction_reads,0.7463,0.4253,0.4252974482153107,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.4666,fraction_reads,0.7787,0.4666,0.46659720041679753,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.437,fraction_reads,0.7463,0.437,0.4369973780157319,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.5165,fraction_reads,0.7787,0.5165,0.5164969010185938,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.5401,fraction_reads,0.7463,0.5401,0.5400967594194435,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.4838,fraction_reads,0.7463,0.4838,0.4837970972174167,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.5203,fraction_reads,0.7787,1.5203,1.5202908782547304,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,820,820,Bacteroides uniformis,Bacteroides uniformis,species,1.0885,fraction_reads,0.7463,1.0885,1.0884934690391859,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,1.2452,fraction_reads,0.7787,1.2452,1.245192528844827,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,1.29,fraction_reads,0.7787,1.29,1.2899922600464397,1.000006
Sylph,unified,Sylph_unified,simulated,simulated,ont,sim_ont,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.5038,fraction_reads,0.7463,0.5038,0.5037969772181367,1.000006
