tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter concisus,Campylobacter concisus,species,0.4251,fraction_reads,0.7458,0.4251,0.42509957490042505,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.4656,fraction_reads,0.7769,0.4656,0.4655995344004656,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.4368,fraction_reads,0.7458,0.4368,0.4367995632004368,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.4948,fraction_reads,0.7458,0.4948,0.4947995052004948,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.54,fraction_reads,0.7458,0.54,0.53999946000054,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.4837,fraction_reads,0.7458,0.4837,0.48369951630048375,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.5172,fraction_reads,0.7769,1.5172,1.517198482801517,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides uniformis,Bacteroides uniformis,species,1.0881,fraction_reads,0.7458,1.0881,1.088098911901088,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,1.1929,fraction_reads,0.7458,1.1929,1.192898807101193,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,1.2358,fraction_reads,0.7458,1.2358,1.2357987642012358,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.5037,fraction_reads,0.7458,0.5037,0.5036994963005037,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.6904,fraction_reads,0.7769,0.6904,0.6903993096006904,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.4233,fraction_reads,0.7458,0.4233,0.4232995767004233,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1302,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.5054,fraction_reads,0.7458,0.5054,0.5053994946005054,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1303,1303,Streptococcus oralis,Streptococcus oralis,species,0.4463,fraction_reads,0.7458,0.4463,0.4462995537004462,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1304,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.5107,fraction_reads,0.7458,0.5107,0.5106994893005108,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1305,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.5307,fraction_reads,0.7458,0.5307,0.5306994693005306,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.4139,fraction_reads,0.7458,0.4139,0.4138995861004139,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.4976,fraction_reads,0.7458,0.4976,0.49759950240049755,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.4702,fraction_reads,0.7769,0.4702,0.4701995298004702,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.4466,fraction_reads,0.7458,0.4466,0.44659955340044655,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.5069,fraction_reads,0.839,0.5069,0.506899493100507,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.0902,fraction_reads,0.7458,1.0902,1.0901989098010902,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1580,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.5763,fraction_reads,0.7458,0.5763,0.5762994237005763,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.7448,fraction_reads,0.7458,0.7448,0.7447992552007449,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.699,fraction_reads,0.7458,0.699,0.6989993010006988,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1655,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.7586,fraction_reads,0.7769,0.7586,0.7585992414007585,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1660,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.5674,fraction_reads,0.7458,0.5674,0.5673994326005674,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,0.9052,fraction_reads,1.3984,0.9052,0.9051990948009051,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2047,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.579,fraction_reads,0.7458,0.579,0.578999421000579,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,2702,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.3852,fraction_reads,0.7458,0.3852,0.38519961480038517,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28037,28037,Streptococcus mitis,Streptococcus mitis,species,0.4404,fraction_reads,0.7458,0.4404,0.44039955960044036,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28111,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,1.0123,fraction_reads,0.7769,1.0123,1.0122989877010122,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,1.5577,fraction_reads,0.7769,1.5577,1.5576984423015579,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.5952,fraction_reads,0.7458,0.5952,0.5951994048005952,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,1.0147,fraction_reads,0.7458,1.0147,1.0146989853010147,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28125,28125,Prevotella bivia,Prevotella bivia,species,0.5609,fraction_reads,0.7458,0.5609,0.5608994391005608,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,28128,28128,Prevotella corporis,Prevotella corporis,species,0.6809,fraction_reads,0.7458,0.6809,0.6808993191006808,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,29466,29466,Veillonella parvula,Veillonella parvula,species,0.4926,fraction_reads,0.7458,0.4926,0.4925995074004926,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,33031,33031,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,species,0.3871,fraction_reads,0.7458,0.3871,0.3870996129003871,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,33039,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.6884,fraction_reads,0.7458,0.6884,0.6883993116006885,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39485,39485,Lachnospira eligens,Lachnospira eligens,species,0.6406,fraction_reads,0.7458,0.6406,0.6405993594006405,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39486,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.7366,fraction_reads,0.7458,0.7366,0.7365992634007366,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39488,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.8467,fraction_reads,0.7458,0.8467,0.8466991533008467,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39490,39490,Eubacterium ramulus,Eubacterium ramulus,species,0.7804,fraction_reads,0.7458,0.7804,0.7803992196007803,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.7974,fraction_reads,0.7458,0.7974,0.7973992026007973,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39496,39496,Eubacterium ventriosum,Eubacterium ventriosum,species,0.6599,fraction_reads,0.7458,0.6599,0.65989934010066,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,39777,39777,Veillonella atypica,Veillonella atypica,species,0.4787,fraction_reads,0.7458,0.4787,0.4786995213004787,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,40520,40520,Blautia obeum,Blautia obeum,species,0.8433,fraction_reads,0.7458,0.8433,0.8432991567008432,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,40545,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.6992,fraction_reads,0.7458,0.6992,0.6991993008006991,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,43675,43675,Rothia mucilaginosa,Rothia mucilaginosa,species,0.5297,fraction_reads,0.7458,0.5297,0.5296994703005296,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,45851,45851,Eshraghiella crossota,Eshraghiella crossota,species,0.5825,fraction_reads,0.7458,0.5825,0.5824994175005824,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,1.1089,fraction_reads,0.7458,1.1089,1.1088988911011088,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.8973,fraction_reads,0.7458,0.8973,0.8972991027008973,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,47678,47678,Bacteroides caccae,Bacteroides caccae,species,1.2706,fraction_reads,0.7458,1.2706,1.2705987294012706,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,74426,74426,Collinsella aerofaciens,Collinsella aerofaciens,species,0.5673,fraction_reads,0.7458,0.5673,0.5672994327005674,1.0000010000000001
Sylph,unified,Sylph_unified,simulated,simulated,pacbio,sim_pacbio,84112,84112,Eggerthella lenta,Eggerthella lenta,species,0.8012,fraction_reads,0.7458,0.8012,0.8011991988008013,1.0000010000000001
