tool,db,tool_db,data_type,project,technology,sample,raw_path
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Qiagen_report.tsv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Kraken2-results/D6331_Zymo_report.tsv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Qiagen_kreport.tsv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuge-results/D6331_Zymo_kreport.tsv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Qiagen_kreport.tsv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/Centrifuger-results/D6331_Zymo_kreport.tsv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Qiagen_reads.tre
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/ganon2-results/D6331_Zymo_reads.tre
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Qiagen.kreport.txt
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sourmash-results/D6331_Zymo.kreport.txt
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sylph-results/D6331_Qiagen.fastq.sylphmpa
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/ont/sylph-results/D6331_Zymo.fastq.sylphmpa
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128013_report.tsv
Kraken2,unified,Kraken2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Kraken2-results/SRR13128014_report.tsv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128013_kreport.tsv
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuge-results/SRR13128014_kreport.tsv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128013_kreport.tsv
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/Centrifuger-results/SRR13128014_kreport.tsv
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128013_reads.tre
Ganon2,unified,Ganon2_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/ganon2-results/SRR13128014_reads.tre
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128013.kreport.txt
Sourmash,unified,Sourmash_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sourmash-results/SRR13128014.kreport.txt
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128013.fastq.sylphmpa
Sylph,unified,Sylph_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,/dodo/eh58/bakeoff/reports/unified-reports/ZymoMockD6331/pacbio/sylph-results/SRR13128014.fastq.sylphmpa
Kraken2,unified,Kraken2_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Kraken2-results/sim_ont_report.tsv
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Centrifuge-results/sim_ont_kreport.tsv
Centrifuger,unified,Centrifuger_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/Centrifuger-results/sim_ont_kreport.tsv
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,/dodo/eh58/bakeoff/reports/unified-reports/simulated/ont/ganon2-results/sim_ont_reads.tre
