taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5316790	366	366	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4930574	433	430	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1852404	165	163	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	3068083	113	113	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	4221348	443	440	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	3870625	1176	1169	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5218353	4761	3153	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9476630	2243	1605	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10161510	548	548	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	12216880	713	713	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9810721	588	588	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	12723492	2391	2219	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11193550	562	562	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	12635383	847	845	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	11865959	818	816	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	3177410	344	333	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	4017038	5424	4067	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	2425434	27	16	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	4639345	3540	2839	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	4108973	713	697	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	3617055	236	235	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	4836192	351	350	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
93	93	Stella	Stella	genus	0.0	abund	0.0	5739417	355	354	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	3151503	119	119	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	4571159	1114	1080	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
105	105	Runella	Runella	genus	0.0	abund	0.0	7085302	394	386	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
107	107	Spirosoma	Spirosoma	genus	0.0	abund	0.0	7200667	1731	1662	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	9320154	1209	1105	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	7520540	927	924	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	6348991	294	294	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	5441947	202	201	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	4258659	1553	1153	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	1132758	494	227	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	2728401	484	431	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
157	157	Treponema	Treponema	genus	0.00045	abund	4.5e-06	3159148	6142	3580	genus	0.00045000400503564464	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
171	171	Leptospira	Leptospira	genus	0.0	abund	0.0	6903408	1581	646	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2483050	213	150	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	3936251	142	142	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
191	191	Azospirillum	Azospirillum	genus	0.0	abund	0.0	7548494	5728	3960	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
194	194	Campylobacter	Campylobacter	genus	0.01562	abund	0.0001562	1646621	5669	3079	genus	0.015620139019237266	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
209	209	Helicobacter	Helicobacter	genus	0.0	abund	0.0	1616718	1997	1306	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
222	222	Achromobacter	Achromobacter	genus	0.0	abund	0.0	7078884	6482	3258	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
226	226	Alteromonas	Alteromonas	genus	0.0	abund	0.0	4474433	934	577	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
234	234	Brucella	Brucella	genus	4.9999999999999996e-05	abund	5e-07	3440141	1732	854	genus	5.0000445003960516e-05	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
237	237	Flavobacterium	Flavobacterium	genus	0.0	abund	0.0	3990464	10036	8371	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
262	262	Francisella	Francisella	genus	0.0	abund	0.0	2089068	772	353	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
265	265	Paracoccus	Paracoccus	genus	0.0	abund	0.0	3876202	7352	5749	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
270	270	Thermus	Thermus	genus	0.0	abund	0.0	2213690	2218	1312	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	5933998	830	786	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
283	283	Comamonas	Comamonas	genus	0.0	abund	0.0	4839870	3221	1784	genus	0.0	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
286	286	Pseudomonas	Pseudomonas	genus	0.01858	abund	0.0001858	6622108	71257	46624	genus	0.018580165363471728	0.9999911000000004	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
