taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
194	194	Campylobacter	Campylobacter	genus	0.0064	abund	0.0064	0.0032	0.0063999616002303975	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
286	286	Pseudomonas	Pseudomonas	genus	0.0060999999999999	abund	0.0060999999999999	0.0103	0.006099963400219497	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.0139	abund	0.0139	0.0207	0.013899916600500392	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.018	abund	0.018	0.0254	0.017999892000647992	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	0.256	abund	0.256	0.3941	0.2559984640092159	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0094	abund	0.0094	0.0145	0.009399943600338396	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	17.5959	abund	17.5959	26.9625	17.595794425233446	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
838	838	Prevotella	Prevotella	genus	0.0132	abund	0.0132	0.0114	0.013199920800475195	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
841	841	Roseburia	Roseburia	genus	0.3959	abund	0.3959	0.4547	0.3958976246142522	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
846	846	Oxalobacter	Oxalobacter	genus	0.0941	abund	0.0941	0.068	0.09409943540338757	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
872	872	Desulfovibrio	Desulfovibrio	genus	8.0704	abund	8.0704	8.781699999999999	8.07035157789053	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1263	1263	Ruminococcus	Ruminococcus	genus	0.0143	abund	0.0143	0.0113	0.014299914200514793	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1301	1301	Streptococcus	Streptococcus	genus	0.0992	abund	0.0992	0.0591	0.09919940480357116	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1485	1485	Clostridium	Clostridium	genus	0.0073	abund	0.0073	0.0093	0.007299956200262797	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1654	1654	Actinomyces	Actinomyces	genus	0.0092	abund	0.0092	0.0084	0.009199944800331195	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1730	1730	Eubacterium	Eubacterium	genus	0.0555	abund	0.0555	0.0678	0.055499667001997974	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1743	1743	Propionibacterium	Propionibacterium	genus	0.0166	abund	0.0166	0.0129	0.01659990040059759	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
2172	2172	Methanobrevibacter	Methanobrevibacter	genus	1.9137	abund	1.9137	1.0083	1.9136885178688925	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
28050	28050	Lachnospira	Lachnospira	genus	0.3498	abund	0.3498	0.2853	0.34979790121259263	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
29465	29465	Veillonella	Veillonella	genus	0.0133	abund	0.0133	0.0084	0.013299920200478793	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
32207	32207	Rothia	Rothia	genus	0.022	abund	0.022	0.0149	0.021999868000791987	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
47670	47670	Lautropia	Lautropia	genus	0.0041	abund	0.0041	0.0038	0.004099975400147599	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
