taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5316790	7	7	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4930574	19	19	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1852404	75	75	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	3068083	16	16	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	4221348	5	5	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	3870625	13	13	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
22	22	Shewanella	Shewanella	genus	8.999999999999999e-05	abund	9e-07	5218353	698	617	genus	9.000003600001438e-05	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9476630	33	17	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10161510	5	5	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	12216880	8	8	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9810721	5	5	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	12723492	25	23	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11193550	5	5	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	12635383	17	17	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	11865959	30	30	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	3177410	16	16	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	4017038	204	98	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	2425434	5	2	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	4639345	116	100	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	4108973	24	24	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	3617055	11	11	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	4836192	2	2	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
93	93	Stella	Stella	genus	0.0	abund	0.0	5739417	5	5	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	4571159	1409	1406	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
105	105	Runella	Runella	genus	0.0	abund	0.0	7085302	110	109	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
107	107	Spirosoma	Spirosoma	genus	0.0	abund	0.0	7200667	1102	1003	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	9320154	37	34	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	7520540	9	9	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	6348991	3	3	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	5441947	8	8	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	4258659	70	60	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	1132758	58	29	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	2728401	16	16	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
157	157	Treponema	Treponema	genus	0.00142	abund	1.42e-05	3159148	376	274	genus	0.0014200005680002272	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
171	171	Leptospira	Leptospira	genus	0.0	abund	0.0	6903408	143	46	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2483050	6	2	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	3936251	14	14	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
191	191	Azospirillum	Azospirillum	genus	0.0	abund	0.0	7548494	106	84	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
194	194	Campylobacter	Campylobacter	genus	0.0	abund	0.0	1646621	555	354	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
209	209	Helicobacter	Helicobacter	genus	0.0	abund	0.0	1616718	192	147	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
222	222	Achromobacter	Achromobacter	genus	0.0	abund	0.0	7078884	174	99	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
226	226	Alteromonas	Alteromonas	genus	0.0	abund	0.0	4474433	58	42	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
234	234	Brucella	Brucella	genus	0.0	abund	0.0	3440141	108	47	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
237	237	Flavobacterium	Flavobacterium	genus	0.0	abund	0.0	3990464	5228	4856	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
262	262	Francisella	Francisella	genus	0.0	abund	0.0	2089068	107	66	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
265	265	Paracoccus	Paracoccus	genus	0.0	abund	0.0	3876202	157	126	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
270	270	Thermus	Thermus	genus	0.0	abund	0.0	2213690	36	20	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	5933998	13	13	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
283	283	Comamonas	Comamonas	genus	0.0	abund	0.0	4839870	105	73	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
286	286	Pseudomonas	Pseudomonas	genus	0.00028	abund	2.8e-06	6622108	2554	1492	genus	0.00028000011200004474	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
338	338	Xanthomonas	Xanthomonas	genus	0.0	abund	0.0	7875508	219	74	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
352	352	Azotobacter	Azotobacter	genus	0.0	abund	0.0	5268702	16	3	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
357	357	Agrobacterium	Agrobacterium	genus	0.0	abund	0.0	5924932	184	122	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
374	374	Bradyrhizobium	Bradyrhizobium	genus	0.0	abund	0.0	8934883	1189	1069	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
379	379	Rhizobium	Rhizobium	genus	0.0	abund	0.0	6583353	591	310	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
404	404	Methylobacillus	Methylobacillus	genus	0.0	abund	0.0	2965751	2	2	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
407	407	Methylobacterium	Methylobacterium	genus	0.0	abund	0.0	6489463	113	59	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	3905288	34	15	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
416	416	Methylomonas	Methylomonas	genus	0.0	abund	0.0	4861489	97	73	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
425	425	Methylosinus	Methylosinus	genus	0.0	abund	0.0	4797265	30	30	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
429	429	Methylobacter	Methylobacter	genus	0.0	abund	0.0	4906626	7	7	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
434	434	Acetobacter	Acetobacter	genus	0.0	abund	0.0	3355738	45	37	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
441	441	Gluconobacter	Gluconobacter	genus	0.0	abund	0.0	3299618	40	40	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
445	445	Legionella	Legionella	genus	0.0	abund	0.0	3816103	183	148	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
465	465	Tatlockia	Tatlockia	genus	0.0	abund	0.0	6456263	29	18	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
469	469	Acinetobacter	Acinetobacter	genus	7e-05	abund	7e-07	4620169	2059	517	genus	7.000002800001118e-05	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
475	475	Moraxella	Moraxella	genus	0.0	abund	0.0	5257819	57	21	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
482	482	Neisseria	Neisseria	genus	0.0	abund	0.0	2541768	220	147	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
497	497	Psychrobacter	Psychrobacter	genus	0.0	abund	0.0	3161277	37	29	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
507	507	Alcaligenes	Alcaligenes	genus	0.0	abund	0.0	4189078	76	26	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
517	517	Bordetella	Bordetella	genus	0.0	abund	0.0	6021434	116	29	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
522	522	Acidiphilium	Acidiphilium	genus	0.0	abund	0.0	3482438	18	14	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
532	532	Beijerinckia	Beijerinckia	genus	0.0	abund	0.0	4343672	4	4	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
535	535	Chromobacterium	Chromobacterium	genus	0.0	abund	0.0	4946321	70	34	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
538	538	Eikenella	Eikenella	genus	0.0	abund	0.0	2214233	16	13	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
541	541	Zymomonas	Zymomonas	genus	0.0	abund	0.0	2078303	3	2	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
544	544	Citrobacter	Citrobacter	genus	0.1933	abund	0.001933	6514724	13874	7789	genus	0.19330007732003088	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
547	547	Enterobacter	Enterobacter	genus	0.00127	abund	1.27e-05	5591911	1297	928	genus	0.001270000508000203	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
551	551	Erwinia	Erwinia	genus	0.0	abund	0.0	6199367	73	44	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
561	561	Escherichia	Escherichia	genus	1.39382	abund	0.0139382	5936160	74003	40174	genus	1.3938205575282228	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
568	568	Hafnia	Hafnia	genus	0.0	abund	0.0	4735921	32	20	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
570	570	Klebsiella	Klebsiella	genus	0.0045899999999999995	abund	4.59e-05	6259311	5404	3527	genus	0.004590001836000734	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
579	579	Kluyvera	Kluyvera	genus	0.0	abund	0.0	6676087	23	23	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
581	581	Morganella	Morganella	genus	0.0	abund	0.0	3777898	120	105	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
583	583	Proteus	Proteus	genus	8.999999999999999e-05	abund	9e-07	4453826	504	280	genus	9.000003600001438e-05	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
586	586	Providencia	Providencia	genus	0.0	abund	0.0	6195469	147	77	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
590	590	Salmonella	Salmonella	genus	0.00134	abund	1.34e-05	5546245	490	436	genus	0.0013400005360002143	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
613	613	Serratia	Serratia	genus	0.0	abund	0.0	8716508	393	226	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
620	620	Shigella	Shigella	genus	0.01405	abund	0.0001405	4994147	2162	1934	genus	0.014050005620002247	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
626	626	Xenorhabdus	Xenorhabdus	genus	0.0	abund	0.0	4219736	77	65	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
629	629	Yersinia	Yersinia	genus	0.0	abund	0.0	5857893	342	312	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
635	635	Edwardsiella	Edwardsiella	genus	0.0	abund	0.0	3885346	16	4	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
637	637	Arsenophonus	Arsenophonus	genus	0.0	abund	0.0	5116868	28	20	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
642	642	Aeromonas	Aeromonas	genus	0.0	abund	0.0	5280590	257	116	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
657	657	Photobacterium	Photobacterium	genus	0.0	abund	0.0	7214277	75	56	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
662	662	Vibrio	Vibrio	genus	0.0	abund	0.0	5553046	1093	474	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
702	702	Plesiomonas	Plesiomonas	genus	0.0	abund	0.0	3951529	19	15	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
713	713	Actinobacillus	Actinobacillus	genus	0.0	abund	0.0	2807210	39	21	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
724	724	Haemophilus	Haemophilus	genus	0.0	abund	0.0	2147820	245	26	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
745	745	Pasteurella	Pasteurella	genus	0.0	abund	0.0	2430136	58	42	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
768	768	Anaplasma	Anaplasma	genus	0.0	abund	0.0	1367035	4	2	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
773	773	Bartonella	Bartonella	genus	0.0	abund	0.0	3124398	136	95	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
776	776	Coxiella	Coxiella	genus	0.0	abund	0.0	1567833	19	4	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
780	780	Rickettsia	Rickettsia	genus	0.0	abund	0.0	1241129	43	34	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
801	801	Symbiopectobacterium	Symbiopectobacterium	genus	0.0	abund	0.0	4919616	5	5	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
810	810	Chlamydia	Chlamydia	genus	0.0	abund	0.0	1088737	38	14	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
816	816	Bacteroides	Bacteroides	genus	62.00674000000001	abund	0.6200674	5769181	5544643	3519622	genus	62.00676480270592	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
830	830	Butyrivibrio	Butyrivibrio	genus	0.00030000000000000003	abund	3e-06	3656343	126	126	genus	0.00030000012000004796	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
832	832	Fibrobacter	Fibrobacter	genus	0.0	abund	0.0	3810604	7	0	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
836	836	Porphyromonas	Porphyromonas	genus	0.00039999999999999996	abund	4e-06	2306849	980	777	genus	0.0004000001600000639	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
838	838	Prevotella	Prevotella	genus	0.03511	abund	0.0003511	3805857	7931	6329	genus	0.035110014044005614	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
841	841	Roseburia	Roseburia	genus	0.00088	abund	8.8e-06	3968065	376	94	genus	0.0008800003520001408	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
843	843	Wolinella	Wolinella	genus	0.0	abund	0.0	2094385	4	1	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
846	846	Oxalobacter	Oxalobacter	genus	0.0	abund	0.0	6215592	16	9	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
848	848	Fusobacterium	Fusobacterium	genus	0.0	abund	0.0	2977410	549	411	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
862	862	Syntrophomonas	Syntrophomonas	genus	0.0	abund	0.0	2915996	4	4	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
864	864	Pectinatus	Pectinatus	genus	0.0	abund	0.0	2817551	3	3	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
872	872	Desulfovibrio	Desulfovibrio	genus	0.0	abund	0.0	3466113	1664	1282	genus	0.0	0.9999996000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	default	Centrifuger_default
